index,ranking,maats,zero_shot,single_agent
22,"maats,zero_shot,single_agent","我昨晚终于厌烦了这个习惯,清理了所有陷阱上的花生酱,并在上面粘上了一颗开心果。","我昨晚终于对这个日常感到厌烦,清理了所有陷阱上的花生酱,并在上面粘上了一颗开心果。","我昨晚终于对这个日常感到厌烦,清理了所有陷阱上的花生酱,并在上面粘上了一颗花生。"
23,"maats,single_agent,zero_shot","我几乎尝试了市面上所有的""人道捕捉器"",但成果甚微。","对不起,我无法提供任何额外的文本。以下是您要求的翻译:

(fwiw, 我几乎尝试了市面上所有的人道""捕捉器,但成功率很低。""","我几乎尝试了市面上所有的""人道""捕捉器,但成功率很低。"
24,"maats,single_agent,zero_shot",我厌倦了保守派政党和政府将自己包装成支持企业的形象。,我厌倦了保守党和政府将自己包装成亲商的品牌。,我厌倦了保守党和政府自称亲商的做法。
25,"zero_shot,maats,single_agent",他们在阿尔伯塔省并非如此。,"他们不是,至少在阿尔伯塔省不是。",他们在阿尔伯塔并非如此。
26,"zero_shot,single_agent,maats",他们降低了企业税。,他们确实降低了企业税率。,他们确实降低了企业税率。
27,"single_agent,maats,zero_shot","在2023年,发现本地电视台网站是互联网上最糟糕的体验。","2023年,发现本地电视台网站是互联网上最糟糕的体验,这是一个艰难的教训。","2023年,我亲身体验到本地电视台网站是互联网上最糟糕的体验。"
28,"maats,zero_shot,single_agent",弹窗、自动播放视频、动画、弹出框和广告轰炸。,弹窗、自动播放视频、动画、弹出窗口和广告、广告、广告。,弹窗、自动播放视频、动画、弹出窗口和广告。
29,"zero_shot,single_agent,maats","即使现在那个网站已经不存在了,但它和某些其他网站之间的竞争可能会很激烈,比如我曾试图在某个网站上观看朋友发给我的视频。","即使现在 goatse.cx 已经不存在了,这仍然是真的,不过 goatse 和 khou.com 之间的竞争可能会很激烈,我曾试图在 khou.com 上观看温迪发给我的视频。","即使 goatse.cx 现在已经不存在了,这仍然是真的,不过 goatse 和 khou.com 之间的竞争可能会很激烈,我曾试图在 khou.com 上观看 Wendy 发给我的视频。"
30,"maats,single_agent,zero_shot","我只是要把他送到格拉斯哥,我试图解释道。",我只是把他送到格拉斯哥。,我只是把他送到格拉斯哥去。
31,"zero_shot,maats,single_agent","昨晚让我深信我们需要做好准备,与特朗普主义思潮抗争。",昨晚让我深信我们需要准备好与特朗普主义抗争。,"我们必须做好准备,坚决抵制特朗普主义。"
32,"maats,single_agent,zero_shot",获取一些反特朗普的汽车贴纸并贴遍各处。,贴一些反特朗普的汽车贴纸到处张贴。,大肆张贴一些反特朗普的醒目汽车贴纸。
33,"maats,zero_shot,single_agent","对那些试图压制我们声音的人,大声反驳。",对那些试图压制我们声音的人大声回应。,"不要让那些想压制我们声音的人得逞,要大声反驳他们。"
34,"maats,single_agent,zero_shot","我急忙回到公寓想避开他,但他还是设法追上我聊了起来。","所以我急忙回到公寓想避开他,但他还是设法追上我聊天。","所以我急忙回到公寓想要避开他,但他还是设法追上我聊天。"
35,"single_agent,zero_shot,maats",不要到处喷洒新冠病毒粘液!这种行为是不可接受的。,我重复一遍。到处传播你的新冠病毒粘液风暴是不可接受的社会行为!!!,"我再说一遍,到处散播你的新冠病毒是完全不可接受的行为!!!"
36,"zero_shot,single_agent,maats","亚伯隐藏内心的悲伤,却很容易发笑,而汤姆不害怕流泪,但对粗俗的幽默不太感兴趣。","阿部把他的悲伤隐藏起来,很容易笑,而汤姆不怕哭泣,但对粗俗的幽默不太感兴趣。","阿布隐藏自己的悲伤,很容易笑,而汤姆不怕哭泣,但对粗鲁的幽默不太感兴趣。"
37,"maats,zero_shot,single_agent","缪知道,悲伤是生命永恒的陪伴。","缪知道,悲伤是生命永恒的伴侣。","米欧知道,悲伤是生命永恒的伴侣。"
38,"zero_shot,single_agent,maats",中国有线电视新闻网应该关闭。,#CNN需要关闭。,#CNN只需要关闭。
39,"single_agent,zero_shot,maats",昨天发生的#MangoMoron事件是一场彻底的失败。,昨天与#MangoMoron的灾难性事件是一场令人发指的灾难。,昨天那场关于#MangoMoron的丑闻真是令人发指。
40,"zero_shot,maats,single_agent","书呆子阿尼·坎宁安迷恋上了一辆1958年的破旧普利茅斯·富瑞,并沉迷于修复这辆经典汽车。","书呆子学生阿尼·坎宁安迷恋上了一辆1958年普利茅斯·富瑞的旧车,并沉迷于将这辆经典汽车修复到昔日的辉煌。","书呆子学生阿尼·坎宁安迷恋上了一辆1958年普利茅斯·怒火(Fury)旧车,并沉迷于将这辆经典汽车修复至昔日的辉煌状态。"
41,"single_agent,zero_shot,maats","阿尼驾驶他那辆异域美车时,新发现的自信变成了傲慢。","随着汽车的变化,阿尼也发生了变化,他新发现的自信在驾驶他那辆异域美车时变成了傲慢。","随着汽车的变化,阿尼的性格也发生了转变,他原本的自信在驾驶那辆异域美车时变成了傲慢。"
42,"single_agent,maats,zero_shot","我邻居对我产生了敌意,这其中最疯狂的部分就是想到要付出多大的努力才能变得如此。","我邻居反对我,这其中最疯狂的部分就是想到要付出多大的努力才能表现出敌意。","我邻居对我产生敌意,这其中最疯狂的部分就是想到要付出多大的努力才能表现出这种态度。"
43,"single_agent,maats,zero_shot","即使痛苦,也要坚持做自己。",痛苦但你必须做你自己。,"做你自己,虽然会痛苦。"
44,"single_agent,maats,zero_shot",公开的敌对态度和暴力行为正在恶化。,"但在这一点上,公开的敌意和暴力正在变得更加严重。",但此时公开的敌意和暴力正在变得更加严重。
45,"maats,single_agent,zero_shot",这需要付出努力。,那需要努力。,这需要付出努力。
46,"maats,single_agent,zero_shot",他们已经拥有我公寓的钥匙超过6年了。,他们有我公寓的钥匙超过6年。,他们拥有我公寓的钥匙长达6年多。
47,"zero_shot,maats,single_agent",我知道你对奥加纳的仇恨。,我知道你对奥加纳的仇恨。,我知道你对奥加纳有仇恨。
48,"single_agent,maats,zero_shot",《最后生还者》是父性化的典型和简单例子。,最后的我们是父亲化的简单和典范例子。,"《最后生还者》是一个典型的""父亲形象化""的游戏例子。"
49,"maats,zero_shot,single_agent","父亲化通常认为,当一个家长必须照顾或保护孩子时,解决方案是采取压倒性的力量,并利用这种力量来强制实施特定形式的权力动态。","父亲化通常认为,当一个父母角色必须照顾或保护一个孩子或孩子替代品的情况下,解决方案是压倒性的力量,并利用这种力量来强制一个非常特定形状的权力动态。","父母化通常认为,当父母必须照顾或保护孩子或其他被照顾者时,解决方案是利用强大的力量来强加特定的权力关系。"
50,"maats,zero_shot,single_agent",我们为您提供预订车票的链接。,我们提供预订车票的链接。,我们提供预订车票或其他费用的链接。
51,"single_agent,zero_shot,maats",完整博客文章有更多详情。,更多详情请见完整博客文章。,更多详情请见完整的博客文章。
52,"single_agent,zero_shot,maats","随着时间的推移,Dart 逐渐成为了我快速开发 UI 的首选。","随着时间的推移,Dart 成为了我快速开发 UI 的首选。","随着时间的推移,Dart 成了我的首选快速 UI 开发工具。"
53,"maats,zero_shot,single_agent","#Flutter 是一种很棒的工作体验,他们提供了 #MobX 来轻松管理数据仓库。","#flutter 是一种很棒的工作体验,他们有 #mobx 来轻松管理数据仓库。","#flutter 是一个很棒的工作体验,他们有 #mobx 可以轻松管理数据。"
54,"maats,zero_shot,single_agent",紫色和品红色刺的针鼹,紫晶和品红色刺的针鼹,带有紫罗兰和品红色刺的刺猬
55,"zero_shot,single_agent,maats","他们的头发是红色的,短而卷曲。","他们的头发是树莓色的,短而卷曲。","他们的头发是深红色的,短而卷曲。"
56,"zero_shot,single_agent,maats",他们最引人注目的特点是他们的善举。,他们最有趣的特点是他们的善行。,他们最有趣的特点是他们的善举。
57,"single_agent,maats,zero_shot","即使布拉姆·斯托克、马克斯·施雷克和斯蒂芬妮·梅耶尽了最大努力让吸血鬼形象看起来很糟糕,但每个人都...","即使布拉姆·斯托克、马克斯·施雷克和斯蒂芬妮·梅耶尽了最大努力让他们看起来很糟糕,每个人都...","尽管布拉姆·斯托克、马克斯·施耐德和斯蒂芬妮·梅耶尔竭尽全力让他们看起来很糟糕,但所有人都..."
58,"single_agent,zero_shot,maats","我需要翻译成普通话和/或福建话,因为我完全不会这两种语言。","我需要翻译成中文普通话和/或福建话,我完全不懂这两种语言。","我需要翻译成中文普通话和/或福建话,但我完全不会这两种语言。"
59,"single_agent,zero_shot,maats",我一直在玩味这个想法有一段时间了。,我一直在思考这个想法一段时间了。,我一直在玩味这个想法一段时间了。
60,"single_agent,maats,zero_shot","因为心理健康难以捉摸,比起身体健康更不那么有形。",心理健康,"因为心理健康发生在内心,比起身体健康来说,它似乎更加难以捉摸和感知。"
61,"single_agent,maats,zero_shot","我的生理性别是非二元的,但我的性别认同是女性。","我的性别是非二元性别,我的性别认同是女性。","我的性别认同是非二元性别,我的性别是女性。"
62,"single_agent,zero_shot,maats",像其他世俗流行音乐和广播工作室等各种音乐。,"像泡菜心情和其他世俗流行音乐,以及电台工作室等各种。","像朋克情绪和其他世俗流行音乐,以及电台工作室等各种类型。"
63,"maats,zero_shot,single_agent",探索 Flutter 的功能。,玩玩 Flutter。,玩玩一下 Flutter。
64,"single_agent,maats,zero_shot","我不想依赖谷歌的技术来经营我的业务,但另一方面,谷歌是为数不多的大公司之一,它确实有动力去创造出优秀的跨平台体验。","我不想以谷歌的技术为基础来经营我的业务,说实话。另一方面,谷歌是为数不多的大公司之一,它有真正的动力去创造一个引人入胜的跨平台体验,这一点很明显。","我虽然不太想依赖谷歌的技术来经营我的业务,但谷歌确实是为数不多的大公司之一,它有真正的动力去创造一个引人入胜的跨平台体验,这一点很明显。"
65,"maats,single_agent,zero_shot",出现了几个微小的困难。,一些非常小的困难浮现出来。,一些微小的困难浮现出来。
66,"zero_shot,single_agent,maats","没有引起警铃的必要,但这些问题正在得到解决。","没有引起警报的必要,但仍在解决这些问题。","虽然没有什么值得警铃大作的问题,但这些问题仍在得到解决。"
67,"maats,single_agent,zero_shot",下周将推出一个小更新来修正这些问题。,下周将生产一个小更新来纠正它们。,下周将生产一个小更新来纠正这些错误。
68,"single_agent,maats,zero_shot","我不知道为什么我的大脑就是无法解决这个问题;可能是因为这些工具太广泛和模糊,以至于我的大脑因'选择太多'而陷入僵局。","我不确切知道为什么我的大脑无法解决这个问题;可能是因为工具太广泛和模糊,以至于我的大脑因""选择太多""而陷入僵局。","我不太清楚为什么我无法理解这个问题;可能是因为这些工具太广泛和模糊,以至于我的思维陷入困境,无法做出选择。"
69,"single_agent,zero_shot,maats","那肯定行不通的,可能!","那根本行不通,可能!",那可能行不通吧。
70,"zero_shot,single_agent,maats",我年轻时是个狂热的读者。,我年轻时是个贪婪的读者。,我年轻时是个狂热的读书人。
71,"maats,single_agent,zero_shot","如果 Spotify 有一个好的季度,他们也将表现出色。","但如果 Spotify 有一个好的季度,他们就会。","但如果 Spotify 有一个好的季度,他们就会取得成功。"
72,"zero_shot,single_agent,maats",让他们重建遍布全国的破败城市。,让他们修复遍布全国的空心化和衰败的城市。,让他们再次修复遍布全国的空心化和衰败的城市。
73,"zero_shot,single_agent,maats",这些标题和文章通常只提及一家大公司的一位总裁。,这些标题和文章通常只提及一家大公司的一位CEO。,这些标题和文章通常只提及一家大公司的一位CEO。
74,"maats,single_agent,zero_shot",这些标题党内容确实让我担心那些阅读这些文章的管理层。,"这些都是点击诱饵,但这确实让我担心那些阅读这些文章的高管和经理。","这些文章虽然只是为了吸引点击,但我确实为那些阅读这些文章的高管和经理感到担忧。"
75,"maats,single_agent,zero_shot","它使人们能够避免耗费大量时间的通勤,从而有更多时间陪伴家人。","它使人们能够避免耗费时间的长途通勤,从而有更多时间与家人在一起。","它使人们能够避免耗费时间的长途通勤,从而有更多时间与家人相处。"
76,"single_agent,zero_shot,maats","这是支持人类和反人类之间的战争,他说。","这是人类支持者和反人类之间的战争,他说。","这是人类支持者和反对人类之间的战争,他说。"
77,"zero_shot,single_agent,maats",他们还认为，新民主党和进步人士想要为了环境的缘故而减少社会人口。,他还认为，新民主党和进步派想要为了环境的缘故而减少人口。,他还认为，新民主党和进步派想要为了环境目的而减少人口。
78,"maats,zero_shot,single_agent","每年五月到来时,我都不愿意庆祝自己的生日。","每当五月来临,我就害怕庆祝我的生日。","每逢五月到来,我就害怕庆祝生日。"
79,"maats,zero_shot,single_agent",冬季还有30天就到来了。,冬季距离这个大南方世界的这个小部分还有30天。,这个大南方世界的这个小部分还有 30 天就是冬季。
80,"maats,single_agent,zero_shot","下雨了,虽然雨水没有结冰,你也不会在雨中跳舞!","雨正在下落,虽然它没有冻结,你也不会在雨中跳舞!","雨还在下,虽然还没有冻结,你也不会在雨中跳舞!"
81,"maats,zero_shot,single_agent",你知道有什么高性能的方法可以让网页组件在被添加或移除文档时做出响应吗?,您知道网页组件在被添加/移除文档时响应的高性能方法吗?,你知道网页组件在被添加/移除文档时响应的高性能方法吗?
82,"single_agent,zero_shot,maats",我们创建一个临时的独立父级，在那里安装 Mo，并观察它从那里分离到其他地方。,我们创建一个分离的临时父级，在那里安装 MO，并观察它变得分离(因此附着在其他地方)。,我们创建一个分离的临时父级，在那里安装 MO，并观察它从而分离(附着在其他地方)。
83,"maats,single_agent,zero_shot","他每天在我办公室里来回跑两次,身材非常健壮。","他每天在我办公室里来回跑两次,身材绝对健壮。","他每天在我办公室里来回跑两次,身材异常健壮。"
84,"zero_shot,maats,single_agent","虽然我没有秤来称他的重量,但我感觉他的重量远远超过450克。","我没有秤来称他的重量,但我感觉他的重量远远超过一磅。","我没有秤来称他的重量,但我感觉他很重,应该超过一磅。"
85,"maats,zero_shot,single_agent","看到他表现出色,我感到由衷的高兴。","看到他蒸蒸日上,我感到非常高兴。","看到他蒸蒸日上,我感到非常欣喜。"
86,"single_agent,maats,zero_shot",对赫尔的战士地图布局进行了轻微修改。,轻微修改赫尔战士地图布局。,"对""Hel's Fighters""地图布局进行了轻微调整。"
87,"zero_shot,single_agent,maats",所有的羽衣甘蓝、羽衣甘蓝和瑞士甜菜都需要移植。,所有的羽衣甘蓝、羽衣甘蓝和瑞士甜菜都是移植的。,所有的羽衣甘蓝、羽衣甘蓝和瑞士甜菜都是移植的。
88,"maats,single_agent,zero_shot","春季在吉尔平的豌豆地里已经长出来了,需要立起支架了。","春季豌豆在吉尔平出现,需要设置支架。","吉尔平的春季豌豆已经长出,需要立即搭建支架。"
89,"single_agent,maats,zero_shot","蘋果地圖預設隨 iOS 而來,但人們仍會特意下載並安裝 Google Maps 到他們的 iPhone 上。","蘋果地圖預設隨 iOS 而來,但人們還是會特意下載並安裝谷歌地圖到他們的 iPhone 上。","蘋果地圖雖然是 iOS 的預設地圖應用程式,但人們仍會特意下載並安裝谷歌地圖到他們的 iPhone 上。"
90,"maats,single_agent,zero_shot","出于好奇,我在测试 iPhone 设备上比较了谷歌地图和苹果地图的表现,尽管我平时使用的是 Android 设备。","好奇心驱使我保持开放的心态,比较谷歌地图和苹果地图在我的测试 iPhone 设备上的表现。(我的日常使用设备是 Android 设备,所以很少使用 iPhone。)","我在测试 iPhone 设备上比较了谷歌地图和苹果地图,尽管我日常使用的是 Android 设备。"
91,"maats,zero_shot,single_agent",不知道。,没有主意。,我没有任何主意。
92,"single_agent,maats,zero_shot",搜索引擎是否与地图服务集成?,是否谷歌搜索与谷歌地图集成?,谷歌搜索是否与谷歌地图集成?
93,"maats,single_agent,zero_shot","我个人倾向于不向用户提供劣质产品,但苹果公司在2012年推出的""Apple Maps""却出现了严重失误。","我偏向于不向最终用户发布垃圾,而苹果公司在2012年推出的苹果地图上犯了严重的错误。","我倾向于不向用户发布垃圾,而苹果在2012年推出的苹果地图可谓是彻底失败了。"
94,"single_agent,maats,zero_shot","房子本身的价值下降,因为它状况恶化,需要更换。","房子本身的价值下降,因为它失去了状况,需要被替换。","房子本身的价值下降,因为它状况恶化,需要被修缮或重建。"
95,"maats,single_agent,zero_shot",他们不会永远出售。,他们不够愚蠢到永远出售。,他们不会那么愚蠢到永远出售出去。
96,"maats,single_agent,zero_shot","你看着澳大利亚和美国的媒体频道,可能会觉得土地被夺走是难以想象的,但这是因为富人一直在那里确保你的思维方式是他们想要的。","看起来难以想象,当你观看澳大利亚和美国媒体频道时,土地可能会被夺走,但这是因为富人整天在那里确保你的思维方式是某种特定的方式。","看起来土地可能会被夺走,这在观看澳大利亚和美国媒体频道时难以想象,但这是因为富人整天在那里塑造你的思维方式。"
97,"single_agent,maats,zero_shot","投资者朋友们,祝贺你们实现梦想,取得成功!","致所有投资者,我为您的成功和梦想实现而干杯。","致所有在场的投资者,我为您的成功和梦想实现而干杯。"
98,"zero_shot,single_agent,maats",让我们继续携手共创更美好的未来。,让我们继续携手共创美好的未来。,"让我们继续携手共创美好的未来,造福大家。"
99,"single_agent,zero_shot,maats","我常常惊讶于人类如何能如此自我贬低,却又被如此多残酷的证据所淹没。","我常常惊讶于人类如此自我贬低,却又被如此多残酷的证据所淹没。","我常常惊讶于人类如此自我贬低,却又被如此多残酷的证据所包围。"
100,"zero_shot,maats,single_agent",我们都是这么乱糟糟的家伙。,我们都是如此凌乱的生物。,我们都是这么乱糟糟的小家伙。
101,"maats,zero_shot,single_agent",模态编辑器今天已经没什么用了,模态编辑器今天毫无用处,这些编辑器今天没什么用了 :morty:
101,"maats,zero_shot,single_agent",模态编辑器今天已经没什么用了,模态编辑器今天毫无用处,这些编辑器今天没什么用了 :morty:
103,"maats,zero_shot,single_agent","我也有一天会在飞机上达到高潮,也许不会和陌生人。","我也有一天会在高空中达到高潮,也许不会是和一个陌生人。","有一天我也会在飞机上尝试一次高空体验,不过可能不会和陌生人。"
104,"maats,single_agent,zero_shot",我不认为#Mastodon很难设置。,我不同意#Mastodon很难设置。,我不同意#Mastodon的设置很困难。
105,"maats,zero_shot,single_agent","我希望能有一个推荐""值得关注的人""的系统。","我希望能有一个""谁值得关注""的推荐系统。","我希望能有一个""谁值得关注""的推荐系统,不知何故。"
106,"single_agent,maats,zero_shot",我觉得使用默认的网页界面看起来和感觉都不太好。,"如果你坚持使用默认的网页界面,它看起来和感觉都不太好(在我看来)。",使用默认网页界面看起来和感觉都不太好。
107,"maats,single_agent,zero_shot",考虑双方的相互影响,相互影响的双方,考虑相互影响的双方
108,"zero_shot,single_agent,maats","即使他没能在镇政厅上发表这些言论,但在2024年11月之前,美国人民都会一次又一次地听到这些话。","即使他在镇政厅期间没有说出这些话,但在2024年11月之前,美国的每个人都会一遍又一遍地听到这些话。","即使他在公众论坛上没有说出这些话,但在2024年11月之前,美国的每个人都会反复听到这些话。"
109,"single_agent,maats,zero_shot",对 GPT 的回应不应该是把所有力气都倾尽于此。,对GPT的回应不应该是把所有的东西都扔过篱笆。,对GPT的反应不应该是一味地盲目抛出所有的手段。
110,"single_agent,zero_shot,maats","如果我尝试找出我的一次最大举重次数,我可能没有足够的重量来达到最大值,或者相反,这可能会严重伤害我。","如果我试图找出我的一次最大重复次数,我可能没有足够的重量来达到最大值,或者相反,这可能会严重伤害/杀死我。","如果我试图找出自己的一次最大举重量,可能会因为没有足够的重量而无法达到最大值,或者相反,这可能会严重伤害甚至危及生命。"
111,"zero_shot,maats,single_agent",我记得五年前还没有布拉塔奶酪。,我发誓五年前没有布拉塔奶酪。,五年前布拉塔芝士还不存在。
112,"maats,single_agent,zero_shot",这是我所感受到的曼德拉效应。,这是我个人的曼德拉效应。,这是我个人的曼德拉效应体验。
113,"single_agent,zero_shot,maats","我从未见过任何人自己做过这道菜,也从未在聚会上被人强行推荐过,更没有在任何人的烹饪或烘焙活动中看到过它。","我从未见过任何人的妈妈做过它,也从未在派对上被人强迫吃过它,也从未见过它与任何人的酱料制作或烘焙活动有关。","我从未见过任何人的妈妈做过这个菜,也从未在派对上被人强行塞给过,更没有见过它与任何人的酱料制作或烘焙活动有关。"
114,"zero_shot,single_agent,maats","它突然出现,随后立即广泛可获得。","它就在某一天突然出现,随后迅速普及。","它突然在某一天出现,随后迅速普及到各处。"
115,"zero_shot,maats,single_agent",这主要用于浏览网页、偶尔收发电子邮件和玩游戏。,这主要用于网页浏览、偶尔收发电子邮件和一些游戏。,这台设备主要用于网页浏览、偶尔收发电子邮件和玩一些游戏。
116,"zero_shot,maats,single_agent","只要最终发布,一款好游戏就算及时了。",一款好游戏只要最终发布即可。,"一款优秀的游戏只要最终能发布,即使在开发过程中有所延迟也无关紧要。"
117,"single_agent,maats,zero_shot","游戏延期只是暂时的,直到它最终发布。","一款游戏迟到只是迟到,直到它发布。","即使游戏发布时间延迟,只要最终顺利发布就算及时。"
118,"zero_shot,maats,single_agent",那它如此短暂吗?,那么它是如此短暂吗?,那么它如此短暂吗?
119,"single_agent,zero_shot,maats","他自豪地在房子里到处衔着它,我只能在内心偷偷地笑。","他骄傲地在房子里到处叼着它,我只能在内心偷偷地笑。","他自豪地在房子里到处叼着它,我只能在内心偷笑。"
120,"single_agent,maats,zero_shot",我刚刚完成了新型 ICNG（Intercity Next Generation）列车的全程往返旅行。,我已经完成了新型 ICNG 列车的全程往返旅行。,我刚完成了新型 ICNG 列车的全程往返旅程。
121,"maats,zero_shot,single_agent",我非常喜欢它。,我很喜欢它。,我很喜欢这个。
122,"single_agent,maats,zero_shot",这些地方需要进一步完善。,需要加以改善的地方。,这里有些地方需要润色。
123,"single_agent,zero_shot,maats","缺乏足够的废弃物收集容器,以及缺乏解释指示灯颜色意义的标识。","缺乏足够的垃圾桶,以及缺乏解释照明颜色意义的标志。","垃圾收集设施不足,且缺乏解释照明颜色意义的标识。"
124,"single_agent,maats,zero_shot","修复这些小问题,然后我们能再要一些吗?","修复这些小问题,然后我们可以再来一些吗?","修复这些小问题后,我们还能再来一些吗?"
125,"maats,single_agent,zero_shot","我们仍然实行每人限购一件的规则,以确保所有排队的人都能买到所需的板子。","每位顾客限购一件规则仍然存在,我们努力确保每个排队的人都能买到板子。","每位顾客限购一件的规则仍然存在,我们努力确保每个排队的人都能买到所需商品。"
126,"maats,zero_shot,single_agent","您只能购买上述列出的其中一块板子,而不是每种都买一块。","您可以购买上述列出的其中一块板子,而不是每种都买一块。","您可以购买上述列出的任意一块板子,而不是每种都买一块。"
127,"zero_shot,maats,single_agent",昨天我和我的朋友以及以前的拉比同事度过了美好的时间。,昨天我和我的朋友以及前任拉比同事度过了美好的时光。,昨天我和我以前的同事兼朋友度过了美好的时光。
128,"maats,single_agent,zero_shot",我们在我家门廊上聊了几个小时。,我们在我的门廊上待了几个小时。,我们在我的门廊上待了几个小时。
129,"maats,zero_shot,single_agent",我们都有故事可讲。,我们都有故事要讲。,我们每个人都有自己的故事要讲述。
130,"maats,single_agent,zero_shot","我挺喜欢 Akkoma 这个软件,以及我为自己的实例获得的域名。","我很喜欢 akkoma 这个软件,以及我为我的实例获得的域名。",我很喜欢 akkoma 这个软件以及我为自己的实例获得的域名。
131,"single_agent,maats,zero_shot",但我感觉这个情况从一开始就不太顺利。,但是我感觉我以某种方式开始了这个实例的错误步伐。,但是我感觉在某种程度上我开始处理这件事的方式有些不对。
