index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
84,"The director doesn't chase after the viewer with hand outstretched, begging them to appreciate the special effects, sets, or stunts, but is rather like a classical novelist calling out before a great adventure to the center of the Earth or to the edge of the world, ""Onward, reader, great things await us!""","The director does not chase after the audience with an outstretched hand, begging them to appreciate the special effects, sets, or stunts. Instead, he captivates them like an old-fashioned novelist, exclaiming before a grand journey to the center of the earth or to the ends of the world: ""Onward, my reader, great deeds await us!""","The director does not chase after the audience with an outstretched hand, begging them to appreciate the special effects, sets, or stunts. Instead, he captivates them like an old-fashioned novelist, exclaiming in anticipation of a grand journey to the center of the earth or to the ends of the world: ""Onward, my reader, great deeds await us!""","The director does not chase after the audience with an outstretched hand, imploring them to appreciate the special effects, sets, or stunts. Instead, he captivates them like an old-fashioned novelist, inviting them on a grand journey to the center of the earth or to the ends of the world: ""Onward, my reader, we have great adventures ahead!""",0.3951,0.3784,0.3129,0.6319,0.6094,0.5687,0.7367,0.7372,0.7347,0.822,0.8167,0.8223
85,"Besson navigates genre films (about which he knows absolutely everything) joyously and without ceremony, like a little boy raised on old films and Jules Verne.","Besson approaches genre cinema, about which he knows absolutely everything, in a cheeky and fun way, like a boy who has watched old films and read Jules Verne.","Besson approaches genre cinema, about which he knows absolutely everything, unapologetically and joyfully, like a boy who has watched old films and read Jules Verne.","Besson approaches genre cinema, about which he knows decidedly everything, with a cheeky and fun approach like a boy who has immersed himself in classic films and the works of Jules Verne.",0.267,0.2962,0.1298,0.5479,0.5545,0.4469,0.7264,0.729,0.7198,0.8106,0.8136,0.7912
86,"He plays with tropes, allows himself some cynicism, and isn't afraid of risks","Manipulating banalities, not denying oneself cynicism, and not hesitating to take risks.","Manipulating banalities, not denying oneself cynicism, and not hesitating to be bold.","Playing with clichés, indulging in cynicism, and not hesitating to take risks.",0.0695,0.0658,0.0728,0.1453,0.1453,0.2907,0.5043,0.472,0.7072,0.6308,0.6014,0.791
90,The city has been sent into commotion by an ancient creature that has been brought to life by an old psychic medium.,The city was alarmed by an ancient monster that was brought to life by an old medium.,The city was alarmed by an ancient monster that was brought to life by an old medium.,"The city was thrown into a panic by an ancient monster, which was awakened by an old medium.",0.3034,0.3034,0.0888,0.5875,0.5875,0.434,0.6605,0.6605,0.6829,0.8545,0.8545,0.8181
92,"With this goal in mind, the young woman drags a real mummy out of Egypt.","With the same purpose, the girl is bringing a real mummy from Egypt.","With the same purpose, the girl is bringing a real mummy from Egypt.","For the same reason, the girl is dragging a real mummy from Egypt.",0.087,0.087,0.0841,0.3453,0.3453,0.3801,0.6396,0.6396,0.6459,0.7311,0.7311,0.7295
96,"Besson's style in this film is composed of linguistic showmanship, actorly clowning, and a balancing act of plot (circus terms are quite apt — the marriage of the two art forms in the film is stronger and more organic than ever).","Besson's style in this film consists of verbal trickery, acting clownery, and plot acrobatics (circus terms are quite appropriate here—the union of the two arts is as organic and strong as ever).","Besson's style in this film consists of verbal trickery, acting clownery, and plot acrobatics (circus terms are quite appropriate here—the union of the two arts is as organic and strong as ever).","Besson's style in this film consists of wordplay, clownish acting, and plot acrobatics (circus terms are quite appropriate here—the union of the two arts is as organic and strong as ever).",0.2423,0.2423,0.241,0.4221,0.4221,0.4089,0.7081,0.7081,0.7235,0.8405,0.8405,0.85
98,"She exemplifies the undeservedly forgotten type character of the adventure-seeking young woman, who achieves her goals not so much through exploiting her sexuality as though pure panache and courage.",It embodies an undeservedly forgotten archetype of an adventuress who relies not so much on exploiting sexuality as on pure daring and courage.,It embodies an undeservedly forgotten archetype of an adventuress who relies not so much on exploiting sexuality as on pure daring and courage.,She personifies an undeservedly forgotten archetype of a daring woman who relies not so much on exploiting sexuality as on pure daring and courage.,0.0673,0.0673,0.0701,0.4044,0.4044,0.426,0.6319,0.6319,0.6989,0.749,0.749,0.7789
99,Usually in films this type of woman is set against some kind of standard machismo or doe-eyed romanticism,"In movies, such girls are usually paired with some macho guy on duty or a doe-eyed romantic.","In movies, such girls are usually paired with some macho guy on duty or a doe-eyed romantic.","In movies, such girls are usually assigned to a typical macho guy or a wide-eyed romantic.",0.0134,0.0134,0.0108,0.1397,0.1397,0.0843,0.5725,0.5725,0.5701,0.677,0.677,0.6942
104,"Having trained himself on a long string of ""low-hanging"" genre films and having, so it seemed, gone completely stale, Luc Besson showed unexpected creative daring, reminding us that the barrier between the tastes of bored megamall cinema attendees and high-minded art-house film fanatics can be easily overcome by movies made for life-loving weirdos.","Trained on numerous genre ""cats"" and seemingly completely deflated, Luc Besson displayed unexpected creative audacity, reminding us that the boundary between the preferences of bored megamall visitors and the highbrow regulars of arthouse theaters is easily crossed by films for cheerful madmen.","Trained on numerous genre exercises and seemingly completely deflated, Luc Besson displayed unexpected creative audacity, reminding us that the boundary between the preferences of bored megamall visitors and the highbrow regulars of arthouse theaters is easily crossed by films for cheerful madmen.","Trained on numerous genre exercises and seemingly completely dispirited, Luc Besson displayed unexpected creative audacity, reminding us that the boundary between the preferences of bored megamall visitors and the highbrow regulars of arthouse theaters can easily be crossed by films for exuberant eccentrics.",0.1213,0.1177,0.1206,0.4178,0.4178,0.4137,0.5577,0.5761,0.5992,0.6773,0.7107,0.711
107,"Jonathan Liebesman's debut horror film, a claustrophobic thriller with attempts made at psychology and the political context of 2002, was berated by critics but liked by the public. It performed well at the box office and, most importantly, ended up in front of producer Michael Bay.","The airtight horror with a claim to psychological depth and political context, Jonathan Liebesman's debut horror film in 2002 was panned by critics but liked by the audience and did well at the box office. Most importantly, it caught the eye of producer Michael Bay.","The claustrophobic horror film with elements of psychological depth and political context, Jonathan Liebesman's debut horror film in 2002 was panned by critics but liked by the audience and did well at the box office. Most importantly, it caught the eye of producer Michael Bay.","The claustrophobic horror film with an attempt at psychological depth and political context, Jonathan Liebesman's 2002 debut horror film was heavily criticized by critics but appreciated by the audience and performed well at the box office; most importantly, it caught the eye of producer Michael Bay.",0.3461,0.3485,0.2706,0.5941,0.6093,0.5693,0.692,0.7194,0.7326,0.7851,0.7984,0.8082
115,And three men inside a locked room try to work out a strategy to survive: Should they join together as a team or shoot each other?,And three men in a locked room are trying to devise a survival strategy: to team up or to shoot each other?,And three men in a locked room are trying to devise a survival strategy: to team up or shoot each other?,Three men in a locked room are trying to devise a survival strategy: to team up or shoot one another?,0.1759,0.2276,0.0523,0.4991,0.5436,0.4024,0.7673,0.7592,0.7724,0.876,0.8781,0.8809
117,Or should they try to break out of their cage at any cost?,"""Or try to break your cage at any cost?""",Or try to break out of your cage at any cost?,"""Or try to break free from your own cage at any cost.""",0.3696,0.5497,0.246,0.4674,0.7707,0.4565,0.6232,0.716,0.7599,0.769,0.8698,0.8297
118,"They are not undergoing the test alone — so is a young, ambitious special agent who the experienced professor, who has been learning from savage experiments, is testing for her ruthlessness.","The test is being taken not only by them but also by a young ambitious intelligence officer, who is being tested for ruthlessness by an experienced professor skilled in wild experiments.","The test is being taken not only by them but also by a young ambitious intelligence officer, who is being tested for ruthlessness by an experienced professor skilled in wild experiments.","The test is being conducted not only on them but also on a young ambitious intelligence officer, who is being evaluated for ruthlessness by an experienced professor seasoned in unconventional experiments.",0.0245,0.0245,0.0245,0.238,0.238,0.1613,0.6494,0.6494,0.6776,0.7484,0.7484,0.7536
120,They are placed in an isolated room and each is given a bundle of papers with nonsensical questions.,They are placed in an isolated room and given a stack of sheets with meaningless questions.,They are placed in an isolated room and given a stack of sheets with meaningless questions.,They are placed in an isolated room and each is provided with a pile of sheets containing meaningless questions.,0.4509,0.4509,0.5184,0.7096,0.7096,0.7559,0.7493,0.7493,0.7751,0.8791,0.8791,0.8809
122,"A game for survival begins, which is carefully observed from behind glass by government agents.","The survival game begins, closely watched by government agents behind the glass.","The survival game begins, closely watched by government agents behind the glass.","The survival game begins, with government agents watching from behind the glass.",0.0853,0.0853,0.048,0.2901,0.2901,0.2901,0.7481,0.7481,0.7831,0.8815,0.8815,0.8635
126,"She is offended by her father's courtesan lifestyle and openly looks on as he, as if parodying the famous scene from Paul Verhoeven's Showgirls, dives into a pool after his next romantic prey.","She is hurt by her father's courtly lifestyle and openly spies on him as he, seemingly parodying the famous scene from Paul Verhoeven's ""Showgirls,"" dives into the pool after yet another romantic target.","She is hurt by her father's courtly lifestyle and openly spies on him as he, seemingly parodying the famous scene from Paul Verhoeven's ""Showgirls,"" dives into the pool after yet another romantic target.","She is hurt by her father's gallant lifestyle and openly spies on him as he, seemingly parodying the famous scene from ""Showgirls"" by Paul Verhoeven, dives into the pool in pursuit of yet another romantic interest.",0.3457,0.3457,0.2453,0.6923,0.6923,0.5755,0.6755,0.6755,0.6823,0.7704,0.7704,0.7863
129,Mher Mkrtchyan and Pavl Bardin filmed the weak melodramatic comedy Troe I Snezhnika with Ivan Urgant.,"The sluggish melodrama Mger Mkrtchyan, along with Pavel Bardin, made a comedy with Ivan Urgant called ""Three and a Snowflake.""","Mger Mkrtchyan, along with Pavel Bardin, made a comedy with Ivan Urgant titled *Three and a Snowflake*.","Mger Mkrtchyan, along with Pavel Bardin, made a comedy with Ivan Urgant called ""Three and a Snowflake.""",0.0479,0.0549,0.0549,0.2268,0.196,0.196,0.5626,0.5607,0.5602,0.6246,0.6506,0.6487
133,"Especially unfortunate is the plot line about the business of reselling of football players, which was left behind the scenes.",It's especially unfortunate that the storyline about the business of trading football players was left out.,It's especially unfortunate that the storyline about the business of trading football players was left behind the scenes.,It's especially unfortunate that the business of trading football players remained behind the scenes.,0.1575,0.3634,0.1741,0.3796,0.6243,0.4241,0.7099,0.7491,0.7181,0.7943,0.8168,0.734
137,"But the film's writer ""scored a goal"" with a potential slogan for the film's audience: ""Don't look for problems where there are none."" It couldn't be more apt.","However, the author hit the bullseye with a potential slogan for the film's audience: ""Don't look for a problem where there isn't one."" You couldn't say it better.","However, the author hit the bullseye with a potential slogan for the film's audience, ""Don't look for a problem where there isn't one."" Couldn't have put it more accurately.","However, the author hit the mark with a potential slogan for the film's audience: ""don't look for a problem where there isn't one."" It couldn't be said better.",0.4241,0.338,0.4332,0.6425,0.6106,0.6914,0.6165,0.6227,0.6846,0.8289,0.8305,0.8455
140,The films' protagonists run around the same parts of the world (both films begin in Latin America and end in the port of Los Angeles) and use the same screen effects: in both cases something filled with American bills explodes and a whirlwind of greenbacks drifts down onto the set.,"The heroes gallop through almost the same parts of the world (both films start in Latin America and end at the Port of Los Angeles) and exploit the same spectacular shots—in both, something stuffed with dollar bills explodes, and a whirlwind of cash descends on the set.","The heroes gallop through almost the same parts of the world (both films start in Latin America and end at the Port of Los Angeles) and exploit the same spectacular shots, in both, something stuffed with dollar bills explodes, and a whirlwind of cash descends on the set.","The heroes traverse nearly identical parts of the world (both films start in Latin America and end at the Port of Los Angeles) and use the same spectacular shots—in both, something stuffed with dollar bills explodes, and a whirlwind of bucks rains down on the set.",0.3627,0.3693,0.3761,0.6308,0.6467,0.6321,0.7205,0.7113,0.7397,0.7863,0.7727,0.7921
146,"It's astonishing how they, without conferring with one another, drew different material down to an absolutely identical, explosion-filled common denominator. They made trundling, predictable, and unneeded action films that recall a great bulk of the movies made by Willis and Schwarzenegger (with the comparison always falling in favor of Bruce and Arnold).","It's simply amazing how they, without colluding, brought different material to an absolutely identical thundering denominator, creating rather heavy, predictable, unnecessary action films that evoke a multitude of images of Willis and Schwarzenegger (the comparisons invariably favor Bruce and Arnold).","It's simply amazing how they, without colluding, brought different material to an absolutely identical thundering denominator, creating rather heavy, predictable, unnecessary action films that evoke a multitude of images of Willis and Schwarzenegger (the comparisons invariably favor Bruce and Arnold).","It's simply amazing how they, without colluding, brought different material to an absolutely identical thundering conclusion, resulting in rather heavy, predictable, unnecessary action films that evoke a multitude of images of Willis and Schwarzenegger (the comparisons invariably favor Bruce and Arnold).",0.2234,0.2234,0.2244,0.4349,0.4349,0.448,0.6408,0.6408,0.6511,0.7604,0.7604,0.7727
151,"But they are alive — alive and determined to get revenge, whatever it takes, on the ne'er-do-well with the ominous voice who orchestrated the whole event.",But they are alive—and determined to avenge the scoundrel with the languid voice who orchestrated all of this at any cost.,But they are alive—and determined to avenge the scoundrel with the languid voice who orchestrated all of this at all costs.,But they are alive—and determined to take revenge on the scoundrel with the seductive voice who orchestrated all of this.,0.0692,0.0692,0.0738,0.4239,0.4239,0.4998,0.6505,0.6564,0.6325,0.7905,0.7918,0.7689
153,It's made from recycled material like a highly-digestible action flick,"Made from recycled materials, a conditionally edible action movie.","An action movie made from recycled materials, barely palatable.","Made from recycled materials, a somewhat palatable action flick.",0.0474,0.1003,0.0596,0.4505,0.3788,0.4505,0.5635,0.5131,0.652,0.6982,0.7127,0.7728
154,A simple story about an escapee from a Romanian labor camp,A Simple Story About a Fugitive Romanian Convict,A Simple Story About a Fugitive Romanian Convict,A simple tale of a Romanian convict sentenced to hard labor on the run.,0.0251,0.0251,0.0418,0.5257,0.5257,0.3947,0.4732,0.4732,0.5399,0.7152,0.7152,0.7427
158,"It's sure to be realistic and, indeed, brutal.","Certainly, it will be realistic, and quite tough at that.","Certainly, it will be realistic, and quite tough at that.","Certainly, it will be realistic and quite strict.",0.0432,0.0432,0.0972,0.061,0.061,0.2344,0.7389,0.7389,0.6465,0.8637,0.8637,0.8348
159,There's a high chance it will star non-professional actors.,There is a high likelihood of participation by non-professional actors.,There is a high likelihood of participation by non-professional actors.,Non-professional actors are very likely to participate.,0.1228,0.1228,0.0227,0.4121,0.4121,0.0568,0.7776,0.7776,0.7371,0.8397,0.8397,0.8441
161,"Moreover, without knowing the film's year of release, it's possible to simply interpret the film's action as the exercises of some underground critical realists from Warsaw Pact countries who read Bresson's lectures from the early 80s","Also, without knowing the year of release, one might easily mistake what is happening on the screen for the exercises of some underground critical realists from Warsaw Pact countries, who attended a lecture on Bresson in the early 80s.","Also, without knowing the year of release, one might easily mistake what is happening on the screen for the exercises of some underground critical realists from Warsaw Pact countries, who attended a lecture on Bresson in the early 80s.","Also, without knowing the year of release, one might easily mistake what is happening on the screen for the exercises of some underground critical realists from Warsaw Pact countries, who were lectured about Bresson in the early 80s.",0.3819,0.3819,0.3913,0.5557,0.5557,0.5573,0.7365,0.7365,0.6951,0.791,0.791,0.7936
168,"converted into an exploitation film à la 1970s, with a cowboy who decides to walk out of prison — which he was soon to be released from — over to the nearest saloon).","Translate to exploitation-style like the '70s, with a cowboy who decides to take a stroll from the prison, from which he is soon to be released, to the nearest saloon.","Convert to a '70s-style exploitation film, with a cowboy who decides to take a stroll from the prison, from which he is soon to be released, to the nearest saloon.","Convert to a '70s exploitation style, with a cowboy deciding to take a stroll from the prison before his release to the nearest saloon.",0.316,0.3297,0.1416,0.4587,0.5033,0.3152,0.6763,0.7518,0.6861,0.7285,0.7593,0.7113
175,"It's a decent debut providing a modicum of hope that, someday, Romanian art-house cinema will begin to develop in a decent direction","A decent debut, inspiring a faint hope that Romanian arthouse might one day develop into a respectable movement.","A decent debut, inspiring a faint hope that Romanian arthouse might one day develop into a respectable movement.",A decent debut instilling a weak hope that Romanian arthouse cinema might eventually evolve into a respectable movement.,0.0275,0.0275,0.0264,0.162,0.162,0.1852,0.6679,0.6679,0.6106,0.8366,0.8366,0.7885
