index,original,single_agent_translation,single_agent_improved_translation
163,"כמו כן, החל מ-10 באוגוסט, תיקבע הפחתה נוספת של עוד חצי שקל, כך שרק ממועד זה מחירו של ליטר בנזין יפחת בשקל אחד וזאת עד ל-15 בנובמבר 2022.","Additionally, starting from August 10, there will be a further reduction of half a shekel, so that only from this date will the price of a liter of gasoline decrease by one shekel, and this will last until November 15, 2022.","Additionally, starting from August 10, there will be a further reduction of half a shekel, meaning that from this date, the price of a liter of gasoline will decrease by one shekel until November 15, 2022."
172,"למחיר הדלק יש השפעה דרמטית על יוקר המחיה במשק - משום שהוא משפיע גם על הוצאות משקי הבית וגם על הוצאות העסקים, על מחירי התחבורה הציבורית והטיסות, על עלויות ההובלה ועוד.","The price of fuel has a dramatic impact on the cost of living in the economy - because it affects both household expenses and business expenses, public transportation and flight prices, transportation costs, and more.","The price of fuel has a dramatic impact on the cost of living in the economy because it affects both household expenses and business expenses, public transportation and flight prices, transportation costs, and more."
178,אשדוד היא העיר הידידותית ביותר לעסקים קטנים ובינוניים.,Ashdod is the most business-friendly city for small and medium-sized enterprises.,Ashdod is the most business-friendly city for small and medium-sized enterprises.
181,"אחריהן ממוקמות לפי הסדר: אשקלון, ראשון לציון, תל אביב־יפו, חיפה, רמת גן, חולון, באר שבע, ירושלים, בת ים, נתניה ובני ברק.","After them, in order, are: Ashkelon, Rishon LeZion, Tel Aviv-Yafo, Haifa, Ramat Gan, Holon, Be'er Sheva, Jerusalem, Bat Yam, Netanya, and Bnei Brak.","After them, in order, are: Ashkelon, Rishon LeZion, Tel Aviv-Yafo, Haifa, Ramat Gan, Holon, Be'er Sheva, Jerusalem, Bat Yam, Netanya, and Bnei Brak."
182,הסוכנות עורכת את מדד הרשויות המקומיות.,The agency compiles the local authorities index.,The agency compiles the local authorities index.
198,"פיתוח העסקים הקטנים הוא אינטרס ציבורי של כולנו, אולם לרשות המקומית יש השפעה ישירה על העסקים שנמצאים בה.","The development of small businesses is a public interest for all of us, but the local authority has a direct impact on the businesses located within it.","The development of small businesses is a public interest for all of us, but the local authority has a direct impact on the businesses located within it."
199,"הקורונה הדגישה את חשיבותו של השלטון המקומי וראינו כי רשויות שפעלו ועודדו את קידום העסקים הקטנים ומצאו פתרונות יצירתיים עבורם, הפכו לממשק השלטוני הראשון עבורם"".","The coronavirus emphasized the importance of local government, and we saw that authorities that acted and encouraged the promotion of small businesses and found creative solutions for them became the primary governmental interface for them.","The coronavirus emphasized the importance of local government, and we saw that authorities that acted and encouraged the promotion of small businesses and found creative solutions for them became the primary governmental interface for them."
200,"רן קויתי, מנהל הסוכנות לעסקים קטנים ובינוניים במשרד הכלכלה והתעשייה, מוסיף: ""לרשויות המקומיות חלק מרכזי ומהותי ביכולתם של עסקים בתחומן לשגשג ולפרוח.","Ran Kivity, Director of the Small and Medium Business Agency at the Ministry of Economy and Industry, adds: ""Local authorities play a central and essential role in the ability of businesses in their area to thrive and flourish.""","Ran Kivity, Director of the Small and Medium Business Agency at the Ministry of Economy and Industry, adds: ""Local authorities play a central and essential role in the ability of businesses in their area to thrive and flourish."""
201,"בשנתיים האחרונות, שבהן אנו מתמודדים עם משבר הקורונה, לרשויות משקל גדול יותר בסיוע לעסקים לשרוד בתחומן ולשרוד בכלל"".","""In the past two years, during which we have been dealing with the coronavirus crisis, the authorities have had a greater role in helping businesses survive in their field and survive in general.""","""In the past two years, during which we have been dealing with the coronavirus crisis, the authorities have had a greater role in helping businesses survive in their field and survive in general."""
217,"יותר חבילות הגיעו בדצמבר מבכל חודש אחר, ככל הנראה בעקבות חגי הקניות של נובמבר, דוגמת יום הרווקים הסיני, בלאק פריידי וסייבר מאנדיי.","More packages arrived in December than in any other month, likely due to the November shopping holidays, such as Singles' Day, Black Friday, and Cyber Monday.","More packages arrived in December than in any other month, likely due to the November shopping holidays, such as Singles' Day, Black Friday, and Cyber Monday."
220,"לשכירים רבים מגיע כסף מהמדינה, שיכול להגיע לעשרות אלפי שקלים •","Many employees are entitled to money from the state, which can amount to tens of thousands of shekels.","Many employees are entitled to money from the state, which can amount to tens of thousands of shekels."
221,שיניתם מקום עבודה?,Did you change your workplace?,Did you all change your workplace?
223,עברתם מהעיר ליישוב?,"""Did you move from the city to a settlement?""","""Did you move from the city to a community?"""
249,100% מהעוברים לישוב מזכה קיבלו החזר מס על שנת המעבר היות ואישור על תושבות בישוב מזכה ניתנת רק לאחר 12 חודשים מיום הפיכת התושב לתושב מזכה ובכך למעשה השנה הראשונה משולם מס מלא.,"100% of those moving to a qualifying settlement received a tax refund for the year of the move because the residency approval in a qualifying settlement is only granted 12 months after the resident becomes a qualifying resident, and thus, in effect, full tax is paid in the first year.","100% of those moving to a qualifying settlement received a tax refund for the year of the move because the residency approval in a qualifying settlement is only granted 12 months after the resident becomes a qualifying resident, and thus, in effect, full tax is paid in the first year."
253,שיעור ההחזר יכול להגיע לעשרות אלפי שקלים לאורך 6 שנים.,The repayment amount can reach tens of thousands of shekels over 6 years.,The repayment amount can reach tens of thousands of shekels over 6 years.
255,"מנכ״ל tax:on, טל כרמון: ""משבר הקורונה גרם לכך שציבור השכירים בישראל הפך להרבה יותר אקטיבי.","CEO of tax:on, Tal Carmon: ""The coronavirus crisis has caused the salaried public in Israel to become much more active.""","CEO of tax:on, Tal Carmon: ""The coronavirus crisis has caused the salaried public in Israel to become much more active."""
256,"הוא מתעניין, בודק ודורש את מה שמגיע לו בהחזרים ממס הכנסה.","He is interested, checks, and demands what he is entitled to in tax refunds from the income tax authority.","He is interested, checks, and demands what he is entitled to in tax refunds from the income tax authority."
264,"לפי הדו""ח, מחפשי העבודה התעניינו בעיקר בתחומים רוויי משרות כמו אדמיניסטרציה ומכירות, שלגביהן נשלחו 1,738,485 קורות חיים.","According to the report, job seekers were mainly interested in fields with abundant job opportunities such as administration and sales, for which 1,738,485 resumes were sent.","According to the report, job seekers were mainly interested in fields with abundant job opportunities such as administration and sales, for which 1,738,485 resumes were sent."
268,"השכר החודשי בתחום התוכנה היה 17,915 שקלים בממוצע, ובניתוח מערכות מידע הוא עמד על 17,140 שקלים.","The average monthly salary in the software field was 17,915 shekels, and in information systems analysis, it was 17,140 shekels.","The average monthly salary in the software field was 17,915 shekels, and in information systems analysis, it was 17,140 shekels."
276,ההיצע הגדול ביותר היה למשרות ללא ניסיון - וכאלה היו יותר מ-58 אלף באתר.,"The largest number of job offers was for positions that require no experience - and there were more than 58,000 of these on the site.","The largest number of job offers was for positions requiring no experience - and there were more than 58,000 of these on the site."
286,"במילים אחרות, מדובר ב- 193 אלף לא מועסקים לעומת 180.3 אלף.","In other words, it is about 193 thousand unemployed compared to 180.3 thousand.","In other words, it is about 193 thousand unemployed compared to 180.3 thousand."
289,"מאלה שבכוח העבודה 95.5% המהווים 4,059,700 הם מועסקים והשאר בלתי מועסקים.","Of those in the labor force, 95.5%, which constitutes 4,059,700 people, are employed, and the rest are unemployed.","Of those in the labor force, 95.5%, which constitutes 4,059,700 people, are employed, and the rest are unemployed."
295,"הסקר מאפשר מעקב אחר ההתפתחות בכוח העבודה, גודלו ותכונותיו, היקף האבטלה ועוד.","The survey allows for monitoring the development of the workforce, its size and characteristics, the extent of unemployment, and more.","The survey allows for monitoring the development of the workforce, its size and characteristics, the extent of unemployment, and more."
301,הקידוש והמסורת הם שורש מאוד עמוק בנשמה שלי.,"""The Kiddush and the tradition are a very deep root in my soul.""","""The Kiddush and the tradition are very deep-rooted in my soul."""
302,"ימי שישי אצלי מוקדשים לילדים, אור (10) ויונתן (8).","Fridays at my place are dedicated to the kids, Or (10) and Yonatan (8).","Fridays at my place are dedicated to the kids, Or (10) and Yonatan (8)."
310,"כשאנחנו מגיעים לחמותי, כבר מלובי הבניין עולים ריחות מדהימים מהדירה שלה.","When we arrive at my mother-in-law's, amazing smells are already coming from her apartment from the building's lobby.","When we arrive at my mother-in-law's, amazing smells are already coming from her apartment."
316,כל פינה נידחת בארץ עשתה לו גאווה בלב.,"""Every remote corner of the country filled him with pride.""","""Every remote corner of the country gave him pride in his heart."""
323,שבוע־שבועיים לפני יום העצמאות כבר הייתי מטפס על עצים וקושר לבית חוטים עם דגלי ישראל.,"A week or two before Independence Day, I would already be climbing trees and tying strings with Israeli flags to the house.","A week or two before Independence Day, I would already be climbing trees and tying Israeli flags on strings to the house."
348,"""הייתי פותחת שולחן גדול ומזמינה את 'המתים שלי'.","""I would set a big table and invite 'my dead'.""",I would set a big table and invite 'my dead'.
349,"לפעמים אני מדמיינת מה היה אילו אחי דניאל ז""ל היה בחיים, או אם אבא שלי, שניאור ז""ל, היה רואה את הילדים שלי: אוריאל (23) והתאומות תמרה ונעמה (16 וחצי).","Sometimes I imagine what it would be like if my late brother Daniel were alive, or if my late father, Shneor, could see my children: Uriel (23) and the twins Tamara and Naama (16 and a half).","Sometimes I imagine what it would be like if my late brother Daniel were alive, or if my late father, Shneor, could see my children: Uriel (23) and the twins Tamara and Naama (16 and a half)."
364,"ביבי תשחק בתפקיד נועה, שאותו גילמה דפנה ארמוני.","Bibi will play the role of Noa, which was portrayed by Dafna Armoni.","Bibi will play the role of Noa, which was portrayed by Dafna Armoni."
371,את הידיעה המשמחת חלקה אתמול בערב (שישי) לופז עם מעריציה באתר הרשמי שלה onthejlo.com,The joyful news was shared by Lopez with her fans on her official website onthejlo.com yesterday evening (Friday).,The joyful news was shared by Lopez with her fans on her official website onthejlo.com yesterday evening (Friday).
390,"עכשיו אנחנו יותר חשופות, פונות ישירות למצלמה באופן טבעי, לא רק ריאליטי אלא סדרה דוקומנטרית אותנטית"".","""Now we are more exposed, facing the camera directly in a natural way, not just reality but an authentic documentary series.""","Now we are more exposed, naturally facing the camera directly, not just a reality show but an authentic documentary series."
402,אינדינגב בניחוח בינלאומי: אפגן וויגז מצטרפים אל אביתר בנאי ונגה ארז,Indie Negev with an international flair: Afghan Whigs join Evyatar Banai and Noga Erez,Indie Negev with an international flair: Afghan Whigs join Evyatar Banai and Noga Erez
407,"אינדינגב החל את דרכו בשנת 2007 כאירוע נישתי קטן, שאיגד את השמות החמים בסצנת האינדי הישראלית.",IndieNegev began its journey in 2007 as a small niche event that brought together the hottest names in the Israeli indie scene.,IndieNegev began its journey in 2007 as a small niche event that brought together the hottest names in the Israeli indie scene.
409,אביב גפן ושרית חדד: פסטיבל חוצות היוצר בירושלים בהפתעות חדשות,Aviv Geffen and Sarit Hadad: The Jerusalem International Arts and Crafts Fair with new surprises,Aviv Geffen and Sarit Hadad: The Hutzot Hayotzer Festival in Jerusalem with new surprises
410,"הפסטיבל הבינלאומי בבירה, שהפך למסורת ויתקיים במספר מוקדים יציג מופעים מוזיקליים של אמנים מקומיים מובילים, וישלב מופעי קרקס ומיצגים אמנותיים חדשניים ומפתיעים","The international festival in the capital, which has become a tradition and will take place at several venues, will feature musical performances by leading local artists and will include circus shows and innovative and surprising art installations.","The international festival in the capital, which has become a tradition and will take place at several venues, will feature musical performances by leading local artists and will include circus shows and innovative and surprising art installations."
417,"SPARKS הוא מופע קרקס, תנועה וריחוף אווירי של קרקס Y, תערוכת צילום אינסטגרמית בהשראת יצירות אמנות מפורסמות.","SPARKS is a circus show featuring movement and aerial acrobatics by Circus Y, and an Instagram photography exhibition inspired by famous works of art.","SPARKS is a circus show featuring movement and aerial acrobatics by Circus Y, and an Instagram photography exhibition inspired by famous works of art."
418,"The Black Box Gallery – היא גלריית ההצצה של היוצר והמבצע ליאור כלפון, שתוצב ברחבת היריד עם חורי הצצה שיחשפו את הקהל לתערוכת יצירותיו הזרחניות של ליאור כלפון, יצירות אמנות של פסלים מוארים של האמן הרב תחומי אלון בירגר (תיאטרון האור) ועוד.","The Black Box Gallery is the peep gallery of creator and performer Lior Kalfo, which will be set up in the fairground with peepholes that will expose the audience to the fluorescent exhibition of Lior Kalfo's works, illuminated sculptures by the multidisciplinary artist Alon Birger (Theater of Light), and more.","The Black Box Gallery is the peep gallery of creator and performer Lior Kalfon, which will be set up in the fairground with peepholes that will expose the audience to the fluorescent exhibition of Lior Kalfon's works, illuminated sculptures by the multidisciplinary artist Alon Birger (Theater of Light), and more."
444,.,It seems like your message is incomplete. Could you please provide the text you would like translated from Hebrew to English?,Please provide the Hebrew text you would like translated into English.
446,"היא מרוויחה על קמפיינים יותר מוונדר וומן, היא יפה מדי, היא יודעת להעמיד במקום את דנה ויס, וכשצריך - גם לסנגר על השותף העסקי שלה.","She earns more from campaigns than Wonder Woman, she is too beautiful, she knows how to put Dana Weiss in her place, and when necessary - also to defend her business partner.","She earns more from campaigns than Wonder Woman, she is too beautiful, she knows how to put Dana Weiss in her place, and when necessary - also to advocate for her business partner."
457,כאן מחפשים גיבורי־על.,Heroes wanted here.,Superheroes wanted here.
465,"תגידו: ספונג'ה וניקיונות, סירים על הגז וריחות בחדר המדרגות, ירון אילן או אבי כאכון בטלוויזיה, אבל הכי מוזר יהיה אם מישהו יגיד פתאום ""גיל ססובר"".","Say: mopping and cleaning, pots on the stove and smells in the stairwell, Yaron Ilan or Avi Kakon on TV, but the strangest thing would be if someone suddenly said ""Gil Sassover.""","Say: mopping and cleaning, pots on the stove and smells in the stairwell, Yaron Ilan or Avi Kakon on TV, but the strangest thing would be if someone suddenly said ""Gil Sassover."""
468,לאורך מחצית ממנה - ססובר עומד.,"""Throughout half of it - Sassover stands.""","""Sassover stands for half of it."""
477,"רותי רוסו בתגובה: ""שמחה שיש מקומות שמשקיעים יותר בקולינריה של אוכלוסייה זו"".","Ruti Russo responded: ""I'm glad there are places that invest more in the culinary culture of this population.""","Ruti Russo responded: ""I'm glad there are places that invest more in the culinary culture of this population."""
481,בישראל בשנים האחרונות יותר ויותר משפחות ואנשים מבוגרים מבינים כי בדידות זו המחלה הקשה ביותר בגיל מבוגר ורואים במקומות הקהילתיים כפתרון מוכח למחלה.,"In recent years in Israel, more and more families and elderly individuals understand that loneliness is the most severe illness in old age and view community places as a proven solution to this issue.","In recent years in Israel, more and more families and elderly individuals understand that loneliness is the most severe illness in old age and view community places as a proven solution to this issue."
483,מרבית בתי הדיור המוגן נעזרים בשפים מקצועיים על מנת לבנות תפריט.,Most assisted living facilities employ professional chefs to create their menus.,Most sheltered housing facilities employ professional chefs to create their menus.
487,"אני מכבדת את עבודתם הקשה של טבחים, טבחיות, שפיות ושפים בכל מקום, גם בדיור המוגן"".","""I respect the hard work of cooks, female cooks, chefs, and female chefs everywhere, including in assisted living.""","""I respect the hard work of cooks, female cooks, chefs, and female chefs everywhere, including in sheltered housing."""
491,"הזמר בתגובה: ""הפלישה לאוקראינה שונה מאוד מהקונפליקט הישראלי-פלשתיני","The singer responded: ""The invasion of Ukraine is very different from the Israeli-Palestinian conflict.""","The singer responded: ""The invasion of Ukraine is very different from the Israeli-Palestinian conflict."""
518,"לבקשת שר הבריאות ניצן הורוביץ, ימשיך במקביל בתפקידו כפרויקטור.","At the request of Health Minister Nitzan Horowitz, he will continue in his role as a project manager.","At the request of Health Minister Nitzan Horowitz, he will continue in his role as a project lead."
527,"דו""ח מבקר המדינה: התקציב בפועל ברוב שנות פעילות ועדת סל התרופות – קטן מהתקציב המומלץ",State Comptroller's report: The actual budget in most years of the Drug Basket Committee's activity is smaller than the recommended budget.,State Comptroller's report: The actual budget in most years of the Drug Basket Committee's activity is smaller than the recommended budget.
528,"על פי הדו""ח של מתניהו אנגלמן, במשך יותר מ-20 שנות פעילות הסל – משרד הבריאות לא פיקח על פעילות הוועדה •","According to the report by Matanyahu Englman, for more than 20 years of the basket's activity, the Ministry of Health did not oversee the committee's activities.","According to the report by Matanyahu Englman, for more than 20 years of the health basket's activity, the Ministry of Health did not oversee the committee's activities."
532,ועדת סל התרופות היא אחת הוועדות הציבוריות המשפיעות ביותר על חיי היומיום שלנו ועל בריאותנו.,The Drug Basket Committee is one of the most influential public committees on our daily lives and our health.,The Health Basket Committee is one of the most influential public committees on our daily lives and our health.
535,"על פי הדו""ח של מתניהו אנגלמן, הוא ממליץ ""לבצע בתהליך הרחבת הסל תיקונים ושיפורים, שיביאו למיצוי איכותי יותר של תקציב סל שירותי הבריאות שהציבור זכאי לו"".","According to Matanyahu Englman's report, he recommends ""making corrections and improvements in the process of expanding the basket, which will lead to a more qualitative utilization of the health services basket budget that the public is entitled to.""","According to Matanyahu Englman's report, he recommends ""making corrections and improvements in the process of expanding the basket, which will lead to better utilization of the health services basket budget that the public is entitled to."""
539,"ברוב שנות פעולת הוועדה (90% מהזמן), גובה התוספת התקציבית היה קטן מ-1.5% של סל הבריאות, שיעור שהומלץ על ידי ועדות שונות כשיעור התוספת הרצוי.","For most of the committee's years of operation (90% of the time), the amount of the budget increase was less than 1.5% of the health basket, a rate recommended by various committees as the desired increase rate.","For most of the committee's years of operation (90% of the time), the budget increase was less than 1.5% of the health basket, a rate recommended by various committees as the desired increase rate."
559,אנגלמן ממליץ למשרד הבריאות לעדכן את נהלי עבודת הסל וגם לקבוע האם יש צורך בתוספת כספית נפרדת עבור שירותים אלו.,Englman recommends that the Ministry of Health update the procedures for the basket's work and also determine whether there is a need for a separate financial addition for these services.,"Englman recommends that the Ministry of Health update the procedures for the health basket's work, and also determine whether there is a need for additional funding for these services."
581,"ד""ר נעמה נוס אחראית אפדימיולוגיה לשכת הבריאות בת""א ציינה כי ""אנחנו לא יכולים לקבוע חד משמעית ממה שלושת הידיירים נפטרו.","Dr. Naama Nus, responsible for epidemiology at the Tel Aviv Health Bureau, noted that ""we cannot definitively determine what the three divers died from.""","Dr. Naama Nus, responsible for epidemiology at the Tel Aviv Health Bureau, noted that ""we cannot definitively determine what the three patients died from."""
593,"יגאל נחתומי, מנכ""ל בית אקשטיין שמנהל את המעון ואף ניהל את המעון בעצמו אמר ""מאות ואלפי אנשים בכל המערך קמים רק במטרה אחת: לעשות טוב לאנשים.","Yigal Nechtoomi, CEO of Beit Ekstein, which manages the institution and even managed the institution himself, said, ""Hundreds and thousands of people throughout the system get up with only one goal: to do good for people.""","Yigal Nechtoomi, CEO of Beit Ekstein, which manages the institution and even managed the institution himself, said, ""Hundreds and thousands of people throughout the system get up with only one goal: to do good for people."""
595,את אחת הדיירות הרדמתי על הידיים.,I put one of the tenants to sleep in my arms.,I cradled one of the tenants to sleep.
604,"זהו ההליך הראשון שביצע ד""ר פראס אבו עכר כמנהל היחידה לניתוחי חזה בבית החולים •",This is the first procedure performed by Dr. Firas Abu Akher as the head of the thoracic surgery unit at the hospital.,This is the first procedure performed by Dr. Firas Abu Akher as the head of the thoracic surgery unit at the hospital.
619,"לדבריו, הלב היה מרוקן מדם, לחצי הדם היו אפסיים, והגישה הניתוחית היתה שגויה.","According to him, the heart was drained of blood, the blood pressure was negligible, and the surgical approach was incorrect.","According to him, the heart was drained of blood, the blood pressure was negligible, and the surgical approach was incorrect."
622,"עוד ציין: ""מדובר בהליך לא מסובך, שנמשך כמה דקות"", והוסיף: ""לא ניתן שלא להתייחס לתהליך הלקוי של קבלת ד""ר אבו עכר לתפקיד.","He also noted: ""This is an uncomplicated procedure that takes a few minutes,"" and added: ""The flawed process of appointing Dr. Abu Aker to the position cannot be ignored.""","He also noted: ""This is an uncomplicated procedure that takes a few minutes"", and added: ""It is impossible not to address the flawed process of appointing Dr. Abu Aker to the position."""
647,"ד""ר שלומי קודש לא שוכח, גם ממרום תפקידו, את הדחיפה מפרופ' שאול סוקניק ז""ל •","Dr. Shlomi Kodesh does not forget, even from the height of his position, the push from Prof. Shaul Sukenik, of blessed memory.","Dr. Shlomi Kodesh does not forget, even from the height of his position, the encouragement from Prof. Shaul Sukenik, of blessed memory."
674,"על פרופ' שאול סוקניק ז""ל",The late Prof. Shaul Sukenik,About the late Prof. Shaul Sukenik.
676,.,"Sure, please provide the Hebrew text you would like translated.",.
684,"כאשר סיימתי את ההתמחות והתלבטתי אם לנסוע לתקופת השתלמות בחו""ל, שאול דחף וכיוון אותי, וסייע לי במכתבי המלצה ובעצות כיצד להתנהל.","When I finished my internship and was contemplating whether to go abroad for a fellowship, Shaul pushed and guided me, and assisted me with recommendation letters and advice on how to proceed.","When I finished my internship and was contemplating whether to go abroad for a fellowship, Shaul pushed and guided me, and assisted me with recommendation letters and advice on how to proceed."
692,הביא לאור: איליה יגורוב,Brought to light: Ilya Yegorov,Published by: Ilya Yegorov
701,אבל למדתי ממנו דברים משמעותיים ועמוקים אף יותר.,But I learned from him even more significant and profound things.,But I learned even more significant and profound things from him.
709,זו הסיבה שד״ר טומי שינפלד מהווה עבורי הרבה יותר מדמות מעוררת השראה.,This is why Dr. Tommy Shinfield is much more than an inspiring figure for me.,This is why Dr. Tommy Shinfield is much more than just an inspiring figure to me.
717,"מגפת האומיקרון משתוללת והעומס כבר מורגש בבתי החולים: 37,847 אלף נדבקים אובחנו אתמול (שני) עם קורונה.","The Omicron outbreak is rampant and the strain is already felt in hospitals: 37,847 thousand infections were diagnosed yesterday (Monday) with Corona.","The Omicron outbreak is rampant and hospitals are already feeling the strain. 37,847 infections were diagnosed yesterday with the Coronavirus."
731,"אנשי צוות רפואי מבודדים, מתוכם 542 רופאים.","Medical staff isolated, including 542 doctors.","Medical staff isolated, among them 542 doctors."
737,"ואולם, למרבה הצער, לעתים מסתיימות לידות בנזקים חמורים הנגרמים ליולדת או ליילוד כתוצאה מהתרשלות הצוות הרפואי.","However, unfortunately, sometimes births result in serious harm to the mother or the newborn due to the negligence of the medical staff.","However, unfortunately, sometimes births result in serious harm to the mother or the newborn due to the negligence of the medical staff."
738,"במקרים שבהם הסתיימה הלידה בפגיעה גופנית, ליילוד או לאם, יש מקום לבחון את השתלשלות האירועים אשר הובילו לפגיעה ואף לשקול פנייה לקבלת ייעוץ משפטי.","In cases where childbirth results in physical injury to the newborn or the mother, it is appropriate to examine the sequence of events that led to the injury and even consider seeking legal advice.","In cases where childbirth results in physical injury to the newborn or the mother, it is appropriate to examine the sequence of events that led to the injury and even consider seeking legal advice."
745,שלב הצירים נמשך בממוצע בין 8 ל-14 שעות.,The contraction phase lasts on average between 8 to 14 hours.,The contraction phase lasts on average between 8 and 14 hours.
766,"במקרים מסוימים, מתפתחת לידה דיספונקציונלית, קרי, חוסר התקדמות של תהליך הלידה האקטיבית.","In certain cases, dysfunctional labor develops, meaning a lack of progress in the active labor process.","In certain cases, dysfunctional labor develops, meaning a lack of progress in the active labor process."
778,שיתוק על שם ERB,Erb's palsy,Erb's paralysis
781,שיתוק זה נגרם לא פעם בשל קושי בהוצאתו של היילוד בשל התרחשות 'פרע כתפיים' - מצב חירום מיילדותי המרחש כאשר כתפיו של העובר נכלאות בפנים תעלת הלידה לאחר שראשו יצא.,Paralysis is often caused by difficulty in delivering the newborn due to the occurrence of 'shoulder dystocia' - an obstetric emergency that occurs when the baby's shoulders become trapped inside the birth canal after the head has emerged.,Paralysis is often caused by difficulty in delivering the newborn due to the occurrence of 'shoulder dystocia'—an obstetric emergency that occurs when the baby's shoulders become trapped inside the birth canal after the head has emerged.
795,פטירת יולדת במהלך הלידה הינו אירו נדיר למדי.,The death of a mother during childbirth is quite a rare event.,The death of a mother during childbirth is quite a rare event.
797,במקרים מסוימים לא מאתר הצוות הרפואי דימום אצל היולדת במועד או מגיב באיחור לדימום כאמור.,"In certain cases, the medical staff does not detect bleeding in the mother in time or responds late to such bleeding.","In certain cases, the medical staff does not detect bleeding in the mother in time or responds late to such bleeding."
