index,original,zero_shot_translation,reference_translation
62,【紀伊御坊駅】のホテル・旅館を予約するならじゃらん。,"Here is the translation:

Book hotels and inns near Kii-Gobo Station on Jalan.",Jalan for hotel or ryokan reservations near【Kii-Gobo Station】
63,じゃらん限定・格安プランも充実。,Abundant discounted plans exclusive to Jalan.,Wide range of Jalan-exclusive and discount plans also available.
64,会員登録でポイント貯まる・当日予約OKの宿多数・お得なクーポン配布中。,"Many accommodations where you can accumulate points by registering as a member, accept same-day reservations, and distribute discount coupons.","Earn points by registering as a member, many accommodations that accept same-day reservation, special coupons available."
65,入力簡単60秒で無料査定依頼 - 路線価・地価の相場を調べるなら,"Easy input, free appraisal request in 60 seconds - If you want to check the market price and land price.",Request a free appraisal in 60 seconds with easy input - for market prices of roadside land and land prices
66,マンション・土地・一戸建ての無料売却査定が可能。,"Possible free real estate appraisal for condominiums, land, and detached houses.","We can appraise apartment buildings, land, and detached houses for free."
67,エリアから価格相場の把握ができます。,You can grasp the price range from the area.,You can grasp average market prices by area.
68,不動産売却のお悩みはプロが解決！,Real estate sale worries are solved by professionals!,Professionals will solve your real estate sales concerns!
71,マンションの売却・査定・最適な売却プランをご提案・売主様へ安心サポート。,"Proposal of the optimal sales plan, assessment, and sale of the condominium. Providing peace of mind support to the seller.","We offer plan proposals for selling apartment buildings, appraisals, optimal sale, and reliable support for sellers."
75,ダイキン エアコン お客様 センター見つけましょう。,Daikin air conditioning customer center.,Find a Daikin Customer Center.
78,来場予約キャンペーン実施中 - 都市型狭小3階建てモデルハウス,Come and visit campaign in progress - Urban compact 3-story model home.,Visitor reservation promotion underway - Urban-style compact three-story model house
83,ITツールを駆使し業務コストを削減し、リーズナブルな価格でのサービス提供を実現,Utilizing IT tools to reduce business costs and realize the provision of services at reasonable prices.,Make full use of IT tools to reduce operation costs and provide services at a reasonable cost
92,どうしても今すぐお金が必要 - 【厳選3社】即日キャッシング,I need money urgently right now.,Desperately Need Money Now - 【Three Hand-Picked Companies】 Same-Day Small Loans
98,レストラン予約するなら一休.com、お店の口コミも掲載。,"Restaurant reservations can be made on Ikyu.com, which also features reviews of the establishments.","For restaurant reservations, use ikyu.com, which also includes restaurant reviews."
102,幸せウエディングを叶える情報満載／結婚式準備はゼクシィ。,"""Information-packed for realizing a happy wedding / Prepare for your wedding with Zexy.""",Full of information to make your dream wedding a reality/Zexy for wedding ceremonies
107,ゴールドカードはメリットばかり！,Gold card is all benefits!,Gold cards are full of benefits!
110,自宅用のホームルーターをお探しの方必見！,Home router for home use must-see!,Must see if you're looking for a residential-use home router!
112,置くだけで使えるWiFiも！,Plug-and-play WiFi too!,WiFi that can be used just by plugging in also featured!
115,蒲田イン ソーシャル- トリップアドバイザー,Kamata Inn Social - TripAdvisor,Business Hotel Social Kamata - Trip Advisor
119,ショートが似合うか不安な方でもしっかりとカウンセリングして似合わせをいっしょに考えます。,"A person who is unsure if a short hairstyle would suit them can receive thorough counseling, and we will consider together what style would be most suitable.","For those unsure if short hairstyles will work for them, we offer thorough counseling and work with you to find the right fit."
124,ロハコ限定、くらしになじむデザインが多数。,"Rohaco limited, many designs that fit into your lifestyle.",Many LOHACO exclusive designs which fit your daily life are available.
125,最短翌日お届け、PayPay決済対応。,"Next-day delivery, PayPay payment accepted.","Next-day delivery at the earliest, PayPay payments supported."
127,都心へのマルチアクセスを叶えるタワーレジデンス。,A tower residence that provides multi-access to the city center.,Tower residences with multiple routes of access to central Tokyo.
128,4路線利用できる‘目黒’駅に誕生。,"Meguro Station, where you can use 4 train lines, has been born.","Located near 'Meguro' Station, with access to 4 train lines."
129,野村不動産グループ×JR東日本グループ開発エリア【MEGURO MARC】の32階建タワー。,"Meguro Marc, a 32-story tower developed by the Nomura Real Estate Group and the JR East Japan Group.",32-story Tower in the Nomura Real Estate Group x East Japan Railway Company development area 【MEGURO MARC】
132,続くから変われる、人生を変える英会話の力をあなたへ。,"Your life can change through the power of English conversation, because it continues to evolve.","Things can change because they continue, delivering the life-changing power of English conversation to you."
136,クラウド電話を1内線200円から - 【公式】サテライトオフィス,Cloud phone from 200 yen per extension.,Cloud telephony starting from 200 yen per extension -【Official】Satellite Office
145,glovesdepoを探すなら、日本最大級通販ショップ楽天市場。,"Rakuten Ichiba, Japan's largest online shopping mall, is where you can find glovesdepot.","If you're looking for glovesdepo items, Rakuten Marketplace is one of the largest online shops in Japan."
148,目黒 恵比寿 五反田エリアで顧問弁護士をお探しなら目黒国際法律事務所。,"Meguro, Ebisu, and Gotanda area, if you are looking for a legal counsel, Meguro International Law Office.","If you are looking for a legal advisor in the: Meguro, Ebisu, or Gotanda area, head to the Meguro International Law Office."
151,若手弁護士がフットワーク軽く迅速に対応します。,The young lawyer will respond quickly and nimbly.,Our young lawyers respond promptly and proactively.
152,20代～シニアまで申込める保険 - 【生命保険】はなさく生命,Life insurance for ages 20s to seniors - Hanasaku Life.,Insurance anyone in their 20s to the elderly can apply for - 【Life Insurance】Hanasaku Life Insurance
161,素肌が喜ぶ、FOOD(食べもの)から生まれた化粧品。,Skincare products born from FOOD.,A cosmetic product made from FOOD that makes your skin happy.
162,食べてカラダにいいFOODをお肌にも！,"Eat foods that are good for your body, and also for your skin!",Food good for your body is also good for your skin!
164,特別セールやキャンペーンをお見逃しなく。,Don't miss out on special sales and campaigns.,Don't miss the special sale campaign.
165,韓国で人気のスキンフード・韓国コスメのスキンフード・SKINFOOD公式通販。,Skinfood - popular Korean skincare brand. Official Skinfood online store.,"SKINFOOD, popular in Korea, Korean cosmetic SKINFOOD, SKINFOOD official online shop."
166,【広島】ホットヨガTOP3 - 人気No1のホットヨガスタジオ,"Here is the translation from Japanese to English:

【Hiroshima】Top 3 Hot Yoga - The most popular No. 1 Hot Yoga studio",【Hiroshima】 TOP 3 Hot Yoga spots - No.1 most popular hot yoga studio
169,お得なキャンペーン中,Limited-time special offer.,Currently having a special campaign
175,活力サポートサプリ・テストフェン配合・スーパーマカ配合。,Vitality support supplement - containing TestoFen - containing Super Maca.,Vitality supplements containing testofen and super maca.
177,【東京23区】で一戸建て探しならオープンハウス。,Open House for detached house search in the 23 wards of Tokyo.,Open House is the best place to find detached homes within the【23 Tokyo Wards】
180,厳選した大泉学園の一戸建てを掲載中。,Detached houses in Oizumi Gakuen are now available for viewing.,Carefully selected detached homes in Oizumigakuen are available now.
186,宿泊&航空券をあんしん予約。,Secure reservation for accommodation and airline tickets.,Book accommodations & flights with peace of mind.
196,モテ髪ヘアカタログ・人気サロンをネット予約・ネット予約でポイントGet。,"Hair catalog for attracting attention, popular salon online reservation, get points by online reservation.","Browse our hottest hair catalogs, reserve popular salons online, and earn points."
198,クチコミ比較、最安値予約、現地払い。,"Word-for-word translation:
Word-of-mouth comparison, lowest price reservation, on-site payment.","Compare reviews, book at the cheapest prices, pay-on-arrival."
204,全国のビューティーサロンの検索、空席確認、ネット予約。,"Beauty salon search, vacancy check, and online booking across Japan.","Search for beauty salons throughout the country, check availability, and book online."
206,理想の照明がない… - 取扱いブランド数、日本最大級,"""There is no ideal lighting...""",I can't find the ideal lighting... - we feature the largest number of brands in Japan.
209,各種カード、ポイント還元・日本最大級2万点の品ぞろえ。,"A wide variety of cards, point redemption, and Japan's largest selection of over 20,000 items.","Earn reward points with various cards, we offer Japan's largest selection of 20,000 items."
214,"【公式】ヴァージンクリニック - 全身医療脱毛5回88,000円／京都","Virgin Clinic - Full-body medical hair removal 5 times 88,000 yen / Kyoto","【Official】Virgin Clinic - Full body medical hair removal, 5 treatments 88,000 yen/Kyoto"
217,追加料金も0円で安心,"Additional fees are also 0 yen, so you can rest assured.",No worries with zero additional charges
218,幕張本郷 口コミ第1位の整体院 - 多くの専門家が絶賛する技術,"Makuhari Honcho, the No. 1 osteopathic clinic in word-of-mouth - Highly praised techniques by many experts.",Makuharihongo No.1 reviewed chiropractic clinic - Techniques highly praised by numerous experts
232,料金も時間も節約しよう。,Save on both cost and time.,Save your time and money.
234,お気に入りの宿を特別料金で。,Your favorite accommodation at a special rate.,Special rates at your favorite accommodations.
238,自分で淹れたおいしい一杯を味わいながら、プロの技をマスター。,Savor a delicious cup that you brewed yourself while mastering the techniques of a professional.,Master professional techniques while enjoying delicious coffee you made yourself.
244,25歳以下または対象期間内に引越した方でAirターミナル5を購入・契約し、開通後アンケート回答で,"25 years old or younger, or those who have moved within the target period, who have purchased or contracted for AirTerminal 5 and responded to the questionnaire after activation.","For those under 25 years of age or those who have moved within the eligible period, after purchasing an Air Terminal 5, signing a contract, and answering a questionnaire after service has started."
246,3層タイプのプリーツマスクで、オメガ形状のプリーツが大きく広がり、鼻や口を圧迫しにくく、呼吸しやすくなっています。,"The pleated mask is of a 3-layer type, with large, wide omega-shaped pleats that do not easily press against the nose or mouth, making it easy to breathe.","These three-layer masks feature omega-shaped pleats which open wide to reduce pressure on the nose and mouth, making it easier to breathe."
248,10枚/袋×2袋で包装しており、持ち運び便利な仕様です。,"20 sheets per package, packaged for easy portability.",Packaged in 2 bags of 10 masks/bag for convenience and ease-of-carrying.
249,ゴム紐は6mmの平ゴム形状なので、耳への当たりが柔らかく、よくある耳の痛みも軽減してくれます。,"The rubber band has a flat rubber shape of 6mm, so it is soft on the ears and can reduce the common ear pain.","The strap has a flat and 6mm wide, making it easy on the ears and reducing common ear pain."
263,※A4 5冊入の商品に掲載の画像は新しいパッケージの商品です。,The image shown is of the new package of the product that comes in a set of 5 A4-sized items.,*The image shown for the A4 5-pack uses the new package design.
264,以前のパッケージ商品の用紙と仕様は同一です。,The paper and specifications of the previous packaged product are the same.,The paper and specifications are identical to those of the previous design.
266,箱に記載されている注文コードと500枚入の包装紙記載の注文コードは異なります。,The order code printed on the box is different from the order code printed on the 500-sheet packaging paper.,The order code on the box and the order code on the wrapping paper of the 500-sheet pack differ.
267,(500枚入の1冊で販売するためです),"""It is for sale as a single volume containing 500 sheets.""",(To sell 500-sheet packs as a single pack.)
270,ブレーキライニングやブレーキドラムや機械部品等に付着したオイルやグリース等の汚れをきれいに落としブレーキ装置から発生する様々な粉塵を空気中に飛散させることなく、油脂類やカーボン等の汚れを素早くきれいに落とします。,"The dirt such as oil and grease attached to brake linings, brake drums, and mechanical parts is thoroughly removed, and the various dusts generated from the brake system are prevented from scattering into the air, quickly and cleanly removing oil, grease, and carbon deposits.","Quickly clean oil, grease, and other grime from brake linings, brake drums, mechanical parts, etc., as well as remove oil, grease, carbon, and other contaminants without dispersing particles into the air."
271,又、オゾン層の破壊や環境汚染の原因となるフロン及びトリクロロエタンを一切含まない有機溶剤中毒予防規則適用外の洗浄剤です。,"It is a cleaning agent that is not subject to the Organic Solvent Poisoning Prevention Regulation, and does not contain any chlorofluorocarbons or trichloroethane, which are the causes of ozone layer depletion and environmental pollution.","Also, this cleaning agent doesn't contain any chlorofluorocarbons or trichloroethane, which attribute to ozone layer depletion and environmental pollution, so it does not fall under the Ordinance on the Prevention of Organic Solvent Poisoning."
274,缶の逆さ使用OK。,Upside-down use of the can is okay.,This product can be sprayed even when the can is upside-down.
276,ニトリルゴム手袋 極薄 粉なし ブルー色 100枚入,"Nitrile rubber gloves, ultra-thin, powder-free, blue color, 100 pieces.","Nitrile rubber gloves, extra thin, powder free, blue, 100 pack"
277,柔らかく手にピッタリフィットするので、長時間の細かな作業に適しています。,Fits snugly in the hand and is suitable for long periods of detailed work.,"Soft and snugly fitting, these gloves are ideal for tasks requiring detailed work over a long period of time."
279,便利な左右兼用タイプのためムダなくお使いいただけます。,You can use it without waste as it is a convenient ambidextrous type.,Convenient left/right dual usage allows for waste-free use.
283,※体質によっては、かゆみ、かぶれ、発疹等をおこすことがあります。,"May cause itching, rash, or other skin irritations, depending on individual constitution.","*Some people may experience itchiness, rashes, etc."
286,膨潤、浸透、老化することがあります。,"It may swell, penetrate, and age.","The gloves might swell, deteriorate, or the chemical/solvent might permeate through."
289,※爪先、刃物や尖ったもの等で傷をつけないよう注意してください。,"Be careful not to scratch yourself with your fingertips, sharp objects, or pointed items.","*Be careful not to damage them with your fingernails, blades, or other sharp objects."
290,水漏れの原因になります。,The cause of water leakage.,This leads to leakage.
295,サイズが一目瞭然のデザイン。,The design is self-evident in size.,The design makes the size obvious at first glance.
299,※電池のアルカリ液が目に入ったときは失明などのおそれがあるので、すぐに多量のきれいな水で洗い流し、 医師の治療を受ける。,"If the alkaline battery liquid gets into the eyes, there is a risk of blindness, so immediately rinse with a large amount of clean water and receive medical treatment.","*If the alkaline liquid from a battery gets in your eyes, it can cause loss of vision, so immediately rinse your eyes with a large amount of clean water, and then receive treatment from a doctor."
306,※この電池は充電式でないので、充電すると液漏れ、発熱、破裂のおそれがある。,"This battery is not rechargeable, so charging it may cause leakage, overheating, or explosion.","*These batteries are not rechargeable, so charging them can lead to leakage, overheating, or rupture."
315,着け具合も柔らかくフィット感のある軍手です。,It is a work glove that fits softly and comfortably.,These gloves are soft and well-fitting.
318,※回転体を伴う機械作業では、使用しないでください。,Do not use for machinery operations involving rotational bodies.,*Do not use during mechanical work involving rotating parts.
321,マスキングテープ 高品質 和紙基材,"Masking tape, high quality, Japanese paper-based.",High Quality Washi Paper-based Masking Tape
323,のり残りが少なくタテ裂けが起こりにくいです。,The nori (seaweed) residue is minimal and vertical tearing is less likely to occur.,"Minimal adhesive residue, and vertical tearing is unlikely to occur."
324,※被着体、塗料の種類によっては貼り跡やのり残りが発生する場合がありますので、問題がないことを確かめてからご使用下さい。,"Please check that there are no issues before use, as adhesive residue or staining may occur depending on the surface and type of paint.","*Depending on the type of surface or paint used, adhesive marks or adhesive residue may remain, so please test that there are no issues before use."
329,※ティシューは水に溶けにくいため、水洗トイレには流さないでください。,"Please do not flush tissues down the water-flushing toilet, as they do not dissolve easily in water.","*Tissues don't dissolve in water, so please don't flush them down the toilet."
331,※引火の原因になりますので、火気の近くに置かないでください。,Do not place it near open flames as it may cause ignition.,"*Do not place near fire, as they are combustible."
334,プロユーザーにも安心してご使用いただける品質の、弱粘着タイプ養生テープです。,It is a low-tack masking tape that can be used with confidence by professional users as well.,Weak adhesive masking tape with a quality that is suitable even for professional use.
339,手で簡単にカットできる養生用ポリエチレンクロステープで耐候性・耐水性に優れています。,The polyethylene cross tape for protection is easy to cut by hand and has excellent weather and water resistance.,This polyethylene cloth masking tape can be easily torn by hand and has superior weather and water resistance.
340,再はくり性が良好です。,Good repeatability.,It can easily be peeled off and reapplied.
341,※貼る対象物や使用環境によっては、粘着力等数値通りの値が出ない場合がございます。,"The adhesive strength and other values may not be as indicated, depending on the object to be attached and the usage environment.","*Depending on the surface or environment, adhesive strength and other aspects may not perform as expected."
349,※養生後、テープを早く剥すと破断する恐れがありますので、ゆっくり剥してください。,Remove the tape slowly as there is a risk of tearing if removed too quickly.,"*After masking, remove the tape slowly, as it may tear if peeled too quickly."
350,※粘着剤特有のにおいがありますので、換気の良い所でのご使用をお勧めします。,Please use the product in a well-ventilated area as it has a characteristic adhesive odor.,"*The adhesive has a distinctive smell, so it's recommended to use this product in a well ventilated area."
351,※被着体と養生期間によっては、被着体を汚染・損傷する場合がありますので、ご使用前にお確かめください。,"The surface to be applied and the curing period may cause contamination or damage to the surface, so please check before use.","*Depending on the surface and the period of masking, it is possible to mark or damage the surface, so please test before use."
356,従来品に比べ耐候性がアップしました。,Weatherability has been improved compared to the conventional product.,They have superior weatherproofing compared to other cable ties.
360,保管する場合は密閉することを推奨します。,It is recommended to store in a sealed container.,Storing them in an airtight container is recommended.
362,※一度ご使用された製品を再度ご使用にされることで、結束力不足により不具合が発生する可能性があります。,The product may malfunction due to insufficient cohesion if used again after initial use.,*Reusing the cable ties may cause problems due to a loss in binding strength.
365,※取り付けの際には現車取り付け部に真っ直ぐ取り付け作業を行ってください。,Please install it straight onto the vehicle mounting part.,"*When installing, please install flush with the vehicle's mounting area."
368,現在販売している商品は品質確認済になりますのでご安心してご使用下さい。,"The products currently on sale have undergone quality inspection, so please use them with confidence.",Please be assured that all of the products we currently sell are quality assured.
369,※当製品は交換作業を整備業者へ依頼して行う事をおすすめします。,We recommend that the replacement work be entrusted to a maintenance service provider.,*It is recommended that this product be fitted by a mechanic.
370,個人で交換作業を行った場合は補償出来ない場合もございます。,"In the event that the exchange work is carried out individually, there may be cases where compensation cannot be provided.",In some cases we may not be able to compensate you if you do the work yourself.
371,※ネジ寸法が各オイルフィルターで異なっている為、高さや外径などが同じフィルターに見えても取り付け前に再度、車種とネジ寸法をご確認ください。,"The screw dimensions vary for each oil filter, so even if the height and outer diameter appear to be the same as the filter, please reconfirm the vehicle model and screw dimensions before installation.","*Screw dimensions differ between oil filters, so even if the height and outer diameter look the same, please check the model of car and screw dimensions before installation."
373,※わずかな違いでも大きなトラブルになる場合がございます。,There may be cases where even a slight difference can lead to a major problem.,*Even slight differences can cause major problems.
378,白メリヤスウエス 中古生地,"White knitted fabric, used.","White Knitwear Ragcloth, Made from Used Fabric"
380,ウエス製品の中で優れた製品です。,It is an excellent product among Ues products.,An excellent product even among ragcloths.
382,カット済。,Cut.,Pre-cut.
390,※用途以外に使用しないでください。,Do not use for purposes other than intended.,*Use only for the intended purpose.
393,ケミカル製品と接触することによって色落ちが発生する可能性がありますのでケミカル品のご使用をお避けください。,Avoid using chemical products as they may cause color fading.,"Avoid using together with chemical products, as contact with them may cause the color to fade."
395,食品に触れる用途には使用しないでください。,Do not use for applications that come into contact with food.,Do not use for applications where the product comes in contact with foodstuffs.
398,※ケミカル製品と接触することによって色落ちが発生する可能性がありますのでケミカル品のご使用をお避けください。,Please avoid using chemical products as they may cause color fading.,"*Please avoid using together with chemical products, as contact with them can cause the color to fade."
399,ハンドクリーナー 工業用 オレンジエキス保湿成分配合 スクラブ入り,"Hand cleaner, industrial, with orange extract moisturizing ingredients, with scrub.","Industrial hand cleaner, including orange extract moisturizing agents and exfoliant"
409,異物感が残る場合は、眼科医にご相談ください。,"If you continue to feel a foreign body sensation, please consult an ophthalmologist.","If a strange sensation persists, consult an eye specialist."
421,※使用後の本製品の廃棄は、お住まいの各自治体で定められたゴミ廃棄方法に従ってください。,Please dispose of this product after use according to the waste disposal methods specified by your local municipality.,"*After use, please dispose of this product in accordance with the proper garbage disposal methods specified by your local government."
422,※袋を閉じる際は結束バンドでしっかり結んでください。,Please securely tie the bag closed with a cable tie.,"*When closing the bag, tie it tightly with a zip tie."
428,※本来の用途以外には使用しないでください。,Do not use for purposes other than the original intended use.,*Please do not use it for other than its intended purpose.
434,※フタが開けにくい際はフタを少し潰す様に押すと開けやすくなります。,The lid can be opened more easily by pressing it down slightly as if flattening it.,"*If you experience difficulty in opening the lid, pressing down on it slightly will make it easier to open."
435,※内容物、洗浄廃液や容器を廃棄する場合は、都道府県の許可を受けた専門の廃棄物処理業者に委託してください。,"When disposing of the contents, cleaning waste liquid, or containers, please entrust it to a specialized waste disposal company that has obtained permission from the prefectural government.","*When disposing the contents, detergent wastewater or container, please use the service of a specialised waste disposal company authorized by the respective prefecture."
438,透明度があり加工後も封入物の文字をクッキリ読めます。,"The text translates to:

""It has transparency and the text of the encapsulated material can be clearly read even after processing.""",The film's transparency allows clear readability of the covered contents even after application.
439,※機器には接着加工してあるシール部分から挿入してください。,Please insert from the adhesive-processed seal portion of the device.,*Please insert it into the device from the adhesive part of the film.
443,※一度加工したシートは再生不能となります。,The sheet once processed becomes irreparable.,*The sheet is non-reusable after being processed.
450,※工業用の薬品やアルコール、石油製品などには絶対に使用しないで下さい。,"Do not use for industrial chemicals, alcohol, petroleum products, or the like.","*DO NOT use for industrial chemicals, alcohol, or oil-based products."
451,※熱湯は入れないで下さい。,Do not pour in hot water.,*Please do not use it for boiling water.
455,中身が漏れる恐れがございます。,The contents may leak.,There's a risk of the contents leaking.
459,店頭でフックなどに吊り下げることができる便利な穴付きです。,It has a convenient hole that can be hung on hooks or the like at the store counter.,Comes equipped with a hole for easy hanging from a hook when being displayed in storefront.
460,フック用穴と本体の間はミシン目入りなので、フックに掛けて本体を引っ張れば穴の下から切れて使える構造になっています。,"The space between the hook hole and the main body is perforated, so you can hook it and pull the main body to cut it from the bottom of the hole, making it usable.","The hook hole and the bag are separated by a perforation, which allows for easy tearing and detachment of the bag by simply pulling downward."
461,表面にエンボス加工入り。,Embossed surface.,Surface with embossing process.
464,※幼児や子供がかぶって遊ぶと窒息などの危険がありますのでご注意ください。,Please be careful as there is a risk of suffocation if infants or children play by putting it over their heads.,"*Caution, toddlers and children may suffocate if they place the bags over their heads to play."
465,※高温多湿を避け、火の気のない場所で保管してください。,"Keep in the place away from high temperature and high humidity, and away from fire.","*Please avoid storing it in high temperature, humid, or flammable environments."
481,OPPテープ 透明色,Transparent color OPP tape.,"Oriented polypropylene tape, transparent"
482,梱包用テープとして、価格も安く強度も強い為、良く使われています。,Packing tape is widely used because it is inexpensive and has high strength.,"Commonly used as packing tape, due to its low cost and high durability."
487,※梱包用途以外の使用は避けてください。,Please avoid using for purposes other than packaging.,*Please do not use it for other than its intended purpose.
488,貼る面を損傷する場合がございます。,May cause damage to the surface to be applied.,It may damage the adhering surface.
492,※物性は測定値であり、規格値或いは保証値でありません。,The physical properties are measured values and not specification values or guaranteed values.,*The properties show the measured value; they do not represent any standard or guarantee value.
499,※内容物、洗浄廃液や容器を廃棄する場合は、都道府県の許可を受けた専門の廃棄物処理業者に委託してください。,"When disposing of the contents, cleaning waste liquid, or containers, please entrust it to a specialized waste disposal company that has obtained permission from the prefectural government.","*When disposing of the contents, detergent drain, or container, please use the service of a specialised waste disposal company certified by the respective prefecture."
