index,original,translated,locale_convention_annotation
151,若手弁護士がフットワーク軽く迅速に対応します。,The young lawyer will respond quickly and nimbly.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation contains a malformed HTML entity with extra whitespace, e.g., ""[ ]"" instead of ""[]""."
152,20代～シニアまで申込める保険 - 【生命保険】はなさく生命,Life insurance for ages 20s to seniors - Hanasaku Life.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
161,素肌が喜ぶ、FOOD(食べもの)から生まれた化粧品。,Skincare products born from FOOD.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text.

The source Japanese text is:
素肌が喜ぶ、FOOD(食べもの)から生まれた化粧品。

The English translation is:
Skincare products born from FOOD.

The design and markup error is that the emoji format in the target text does not match the source text. The source text does not contain any emojis, but the target text has an emoji that is not present in the source."
162,食べてカラダにいいFOODをお肌にも！,"Eat foods that are good for your body, and also for your skin!","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese emoji format ""FOOD"" is not correctly rendered in the English translation."
164,特別セールやキャンペーンをお見逃しなく。,Don't miss out on special sales and campaigns.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese emoji format ""特別セールやキャンペーンをお見逃しなく。"" has been changed to a different format in the English translation ""Don't miss out on special sales and campaigns."""
165,韓国で人気のスキンフード・韓国コスメのスキンフード・SKINFOOD公式通販。,Skinfood - popular Korean skincare brand. Official Skinfood online store.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character `&gt;` contains an extra whitespace, making it malformed."
166,【広島】ホットヨガTOP3 - 人気No1のホットヨガスタジオ,"Here is the translation from Japanese to English:

【Hiroshima】Top 3 Hot Yoga - The most popular No. 1 Hot Yoga studio","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese locale convention for the title ""【Hiroshima】Top 3 Hot Yoga - The most popular No. 1 Hot Yoga studio"" is not preserved in the English translation. The square brackets ""【】"" around ""Hiroshima"" are not properly translated."
169,お得なキャンペーン中,Limited-time special offer.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
175,活力サポートサプリ・テストフェン配合・スーパーマカ配合。,Vitality support supplement - containing TestoFen - containing Super Maca.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
177,【東京23区】で一戸建て探しならオープンハウス。,Open House for detached house search in the 23 wards of Tokyo.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese locale convention for representing the 23 wards of Tokyo as ""【東京23区】"" is not properly translated into the English target text. The markup tags should be preserved to maintain the formatting."
180,厳選した大泉学園の一戸建てを掲載中。,Detached houses in Oizumi Gakuen are now available for viewing.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese locale convention for the address format ""Prefecture/Region> City> Street"" is not correctly translated. The target text uses the incorrect HTML entity format with extra whitespaces."
186,宿泊&航空券をあんしん予約。,Secure reservation for accommodation and airline tickets.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese characters ""宿泊&航空券"" are not properly escaped in the English translation, resulting in a malformed HTML entity."
196,モテ髪ヘアカタログ・人気サロンをネット予約・ネット予約でポイントGet。,"Hair catalog for attracting attention, popular salon online reservation, get points by online reservation.","MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The escaped HTML characters `&gt;` are malformed due to the insertion of whitespaces."
198,クチコミ比較、最安値予約、現地払い。,"Word-for-word translation:
Word-of-mouth comparison, lowest price reservation, on-site payment.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese word ""クチコミ"" is not properly formatted as an emoji or other markup element in the English translation."
204,全国のビューティーサロンの検索、空席確認、ネット予約。,"Beauty salon search, vacancy check, and online booking across Japan.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
206,理想の照明がない… - 取扱いブランド数、日本最大級,"""There is no ideal lighting...""","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese text ""理想の照明がない…"" is not properly enclosed in markup tags in the English translation."
209,各種カード、ポイント還元・日本最大級2万点の品ぞろえ。,"A wide variety of cards, point redemption, and Japan's largest selection of over 20,000 items.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
214,"【公式】ヴァージンクリニック - 全身医療脱毛5回88,000円／京都","Virgin Clinic - Full-body medical hair removal 5 times 88,000 yen / Kyoto","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text.

The translation provided is:
""Virgin Clinic - Full-body medical hair removal 5 times 88,000 yen / Kyoto""

The source Japanese text is:
【公式】ヴァージンクリニック - 全身医療脱毛5回88,000円／京都

The error identified is:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text. The source text contains a Japanese symbol, but the translation does not preserve the original formatting."
217,追加料金も0円で安心,"Additional fees are also 0 yen, so you can rest assured.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese text ""追加料金も0円で安心"" is correctly translated as ""Additional fees are also 0 yen, so you can rest assured."" There are no design or markup errors in the English translation."
218,幕張本郷 口コミ第1位の整体院 - 多くの専門家が絶賛する技術,"Makuhari Honcho, the No. 1 osteopathic clinic in word-of-mouth - Highly praised techniques by many experts.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
232,料金も時間も節約しよう。,Save on both cost and time.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese text ""料金も時間も節約しよう。"" is correctly translated as ""Save on both cost and time."" However, the translation does not contain any markup tags or design elements that need to be annotated."
234,お気に入りの宿を特別料金で。,Your favorite accommodation at a special rate.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese emoji format ""お"" in the source text is not properly represented in the English translation."
238,自分で淹れたおいしい一杯を味わいながら、プロの技をマスター。,Savor a delicious cup that you brewed yourself while mastering the techniques of a professional.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
244,25歳以下または対象期間内に引越した方でAirターミナル5を購入・契約し、開通後アンケート回答で,"25 years old or younger, or those who have moved within the target period, who have purchased or contracted for AirTerminal 5 and responded to the questionnaire after activation.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
246,3層タイプのプリーツマスクで、オメガ形状のプリーツが大きく広がり、鼻や口を圧迫しにくく、呼吸しやすくなっています。,"The pleated mask is of a 3-layer type, with large, wide omega-shaped pleats that do not easily press against the nose or mouth, making it easy to breathe.","Source Japanese:
3層タイプのプリーツマスクで、オメガ形状のプリーツが大きく広がり、鼻や口を圧迫しにくく、呼吸しやすくなっています。

Translation English:
The pleated mask is of a 3-layer type, with large, wide omega-shaped pleats that do not easily press against the nose or mouth, making it easy to breathe.

MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation does not contain any design or markup errors."
248,10枚/袋×2袋で包装しており、持ち運び便利な仕様です。,"20 sheets per package, packaged for easy portability.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation contains extra whitespaces within the escaped HTML characters, causing them to be malformed.

The source text is:
10枚/袋×2袋で包装しており、持ち運び便利な仕様です。

The translation is:
20 sheets per package, packaged for easy portability.

The annotated translation is:
20 sheets per package, packaged for easy portability."
249,ゴム紐は6mmの平ゴム形状なので、耳への当たりが柔らかく、よくある耳の痛みも軽減してくれます。,"The rubber band has a flat rubber shape of 6mm, so it is soft on the ears and can reduce the common ear pain.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The rubber band shape is described as ""6mm of flat rubber"", but the translation uses the term ""6mm flat rubber shape"", which slightly changes the phrasing."
263,※A4 5冊入の商品に掲載の画像は新しいパッケージの商品です。,The image shown is of the new package of the product that comes in a set of 5 A4-sized items.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed.

The translation provided is:
""The image shown is of the new package of the product that comes in a set of 5 A4-sized items.""

The source segment is:
""※A4 5冊入の商品に掲載の画像は新しいパッケージの商品です。""

The minor error is related to the markup tag, where the escaped HTML character `&gt;` has extra whitespaces inserted, making it malformed."
264,以前のパッケージ商品の用紙と仕様は同一です。,The paper and specifications of the previous packaged product are the same.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The paper and specifications of the previous packaged product are the same.

The translation does not contain any design or markup errors. The target text accurately reflects the source text without any issues related to markup tags, HTML characters, or emoji formats."
266,箱に記載されている注文コードと500枚入の包装紙記載の注文コードは異なります。,The order code printed on the box is different from the order code printed on the 500-sheet packaging paper.,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The order code printed on the box is different from the order code printed on the 500-sheet packaging paper, which indicates a potential issue with the markup or formatting of the information."
267,(500枚入の1冊で販売するためです),"""It is for sale as a single volume containing 500 sheets.""","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese source text contains a parenthetical note ""(500枚入の1冊で販売するためです)"", which is not properly translated into the English target text. The parentheses and the content within them should be preserved in the translation to maintain the original formatting."
270,ブレーキライニングやブレーキドラムや機械部品等に付着したオイルやグリース等の汚れをきれいに落としブレーキ装置から発生する様々な粉塵を空気中に飛散させることなく、油脂類やカーボン等の汚れを素早くきれいに落とします。,"The dirt such as oil and grease attached to brake linings, brake drums, and mechanical parts is thoroughly removed, and the various dusts generated from the brake system are prevented from scattering into the air, quickly and cleanly removing oil, grease, and carbon deposits.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The target text contains malformed HTML entities with extra whitespaces, such as ""[ & gt ;]"" instead of the correctly escaped ""&gt;""."
271,又、オゾン層の破壊や環境汚染の原因となるフロン及びトリクロロエタンを一切含まない有機溶剤中毒予防規則適用外の洗浄剤です。,"It is a cleaning agent that is not subject to the Organic Solvent Poisoning Prevention Regulation, and does not contain any chlorofluorocarbons or trichloroethane, which are the causes of ozone layer depletion and environmental pollution.","Source Japanese:
又、オゾン層の破壊や環境汚染の原因となるフロン及びトリクロロエタンを一切含まない有機溶剤中毒予防規則適用外の洗浄剤です。

Translation English:
It is a cleaning agent that is not subject to the Organic Solvent Poisoning Prevention Regulation, and does not contain any chlorofluorocarbons or trichloroethane, which are the causes of ozone layer depletion and environmental pollution.

MQM annotations:
design and markup errors:
[Minor]: markup/tag - The translation does not contain any markup tags, but the source text includes Japanese characters that may require special handling or formatting in the target language."
274,缶の逆さ使用OK。,Upside-down use of the can is okay.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation uses square brackets `[]` to enclose the upside-down can symbol, which is a deviation from the source text format."
276,ニトリルゴム手袋 極薄 粉なし ブルー色 100枚入,"Nitrile rubber gloves, ultra-thin, powder-free, blue color, 100 pieces.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
277,柔らかく手にピッタリフィットするので、長時間の細かな作業に適しています。,Fits snugly in the hand and is suitable for long periods of detailed work.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
279,便利な左右兼用タイプのためムダなくお使いいただけます。,You can use it without waste as it is a convenient ambidextrous type.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The target text contains a malformed HTML entity with extra whitespace: ""without waste as it is a convenient ambidextrous type[.]MARKUP TAG"""
283,※体質によっては、かゆみ、かぶれ、発疹等をおこすことがあります。,"May cause itching, rash, or other skin irritations, depending on individual constitution.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The escaped HTML character `&gt;` contains an extra whitespace, making it malformed."
286,膨潤、浸透、老化することがあります。,"It may swell, penetrate, and age.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation contains a malformed HTML entity with extra whitespace, e.g., ""浸透、老化することがあります[& gt ;]""."
289,※爪先、刃物や尖ったもの等で傷をつけないよう注意してください。,"Be careful not to scratch yourself with your fingertips, sharp objects, or pointed items.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
290,水漏れの原因になります。,The cause of water leakage.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The cause of water leakage."
295,サイズが一目瞭然のデザイン。,The design is self-evident in size.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The design is self-evident in size.

The translation does not contain any design or markup errors. The target text accurately conveys the meaning of the source text without any issues related to markup tags, HTML characters, or emoji formats."
299,※電池のアルカリ液が目に入ったときは失明などのおそれがあるので、すぐに多量のきれいな水で洗い流し、 医師の治療を受ける。,"If the alkaline battery liquid gets into the eyes, there is a risk of blindness, so immediately rinse with a large amount of clean water and receive medical treatment.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
306,※この電池は充電式でないので、充電すると液漏れ、発熱、破裂のおそれがある。,"This battery is not rechargeable, so charging it may cause leakage, overheating, or explosion.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters cause them to be malformed.

The translation provided is:
""This battery is not rechargeable, so charging it may cause leakage, overheating, or explosion.""

The source Japanese text is:
""※この電池は充電式でないので、充電すると液漏れ、発熱、破裂のおそれがある。""

The design and markup error identified is:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters cause them to be malformed."
315,着け具合も柔らかくフィット感のある軍手です。,It is a work glove that fits softly and comfortably.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The target text contains a malformed HTML entity with extra whitespace: ""軍手です[。]MARKUP TAG""."
318,※回転体を伴う機械作業では、使用しないでください。,Do not use for machinery operations involving rotational bodies.,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The target text contains a malformed HTML entity with extra whitespace within the brackets, which affects the visual integrity of the content."
321,マスキングテープ 高品質 和紙基材,"Masking tape, high quality, Japanese paper-based.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese paper-based material is not properly marked up in the target text.

The source text ""マスキングテープ 高品質 和紙基材"" indicates that the masking tape is made of high-quality Japanese paper material. However, the target text ""Masking tape, high quality, Japanese paper-based"" does not properly convey this information through markup or formatting."
323,のり残りが少なくタテ裂けが起こりにくいです。,The nori (seaweed) residue is minimal and vertical tearing is less likely to occur.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The nori (seaweed) residue is minimal and vertical tearing is less likely to occur.

The translation is accurate, and there are no design or markup errors in the target text. The only potential issue is that the term ""nori"" is not explained or defined, which may require additional context for some readers. However, this is not a design or markup error, so it is not annotated."
324,※被着体、塗料の種類によっては貼り跡やのり残りが発生する場合がありますので、問題がないことを確かめてからご使用下さい。,"Please check that there are no issues before use, as adhesive residue or staining may occur depending on the surface and type of paint.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
