index,reference,zero_shot_translation,single_agent_translation,improved_translation,bleu_zero_shot,bleu_single_agent,bleu_improved,meteor_zero_shot,meteor_single_agent,meteor_improved,bleurt_zero_shot,bleurt_single_agent,bleurt_improved,comet_zero_shot,comet_single_agent,comet_improved
19,"The 77-year-old Sissi Engl is the heart and soul of the dance studio at the East station. She is an actress, dancer and choreographer. ""We are one big family; we welcome big and small, old and young.""","77-year-old Sissi Engl is the heart and soul of the dance studio at the Ostbahnhof (East Train Station). She is an actress, dancer, and choreographer. ""We are a big family; everyone is welcome here, young and old, big and small.""","77-year-old Sissi Engl is the heart of the dance studio at the Ostbahnhof; she is an actress, dancer, and choreographer, and says, ""We are a big family; everyone of all ages is welcome here."".","77-year-old Sissi Engl is the heart and soul of the dance studio at the Ostbahnhof. She is an actress, dancer, and choreographer. ""We are a big family; everyone is welcome here, young and old, big and small.""",0.5246,0.3637,0.5787,0.7211,0.556,0.727,0.766,0.6814,0.7319,0.8712,0.8539,0.8898
22,"As digitalization advances, some people are rediscovering their desire for analog","As digitalization progresses, some people are experiencing a renewed interest in analog.","As digitalization progresses, some people are becoming interested in analog again.","As digitalization advances, some people are experiencing a renewed interest in analog.",0.2197,0.239,0.4471,0.436,0.5114,0.5393,0.7882,0.7985,0.7808,0.8879,0.8761,0.8899
23,"The speed at which our everyday life is becoming digital does not allow us time to create rules for how to deal with it and adapt the way that we communicate and work, opines DNN columnist Claudia Muntschick.","The speed at which our everyday life became digital barely left us time to establish rules for how to deal with it and adapt our communication and working methods accordingly, says DNN columnist Claudia Muntschick.","The rapid digitalization of our everyday life barely left us time to establish rules for how to deal with it and adapt our communication and working methods accordingly, says DNN columnist Claudia Muntschick.","The speed at which our everyday life became digital left us little time to establish rules for dealing with it and adapting our communication and working methods accordingly, says DNN columnist Claudia Muntschick.",0.4663,0.355,0.2973,0.7029,0.6281,0.6298,0.7883,0.7848,0.7878,0.881,0.8737,0.8847
24,"Dresden. In 1985, there were three options if you wanted to hold a telephone conversation in Bautzen. Either you belonged to the six percent of lucky people who had a private line. Otherwise, you knew someone from this exclusive group in your neighborhood and could phone relatives from their house in exchange for a bottle of Radeberger. Alternatively, you had to look for a telephone booth. The smell of the plastic receiver and the clicks as the change fell into the coin machine were unforgettable. It was my greatest dream to be able to see the face of the other person when calling - a visual telephone, how great would that be, I thought!","Dresden. If you wanted to make a phone call in Bautzen in 1985, there were three possibilities. Either you belonged to the six percent of lucky people who had a private connection. Or you were among those who knew someone from this exclusive group in the neighborhood and could call relatives there for a bottle of Radeberger beer. Or you went to a phone booth. Unforgettable was the smell of the plastic receiver and the clicking of the small coins in the machine. My biggest dream was to be able to see the other person's face when calling - videotelephony, I thought, what a great thing that would be!","Dresden. If you wanted to make a phone call in Bautzen in 1985, there were three possibilities: either you were among the six percent of lucky people who had a private line, or you knew someone in the neighborhood from this exclusive group and could use their phone to call relatives in exchange for a bottle of Radeberger, or you went to a phone booth. The smell of the plastic receiver and the clicking of the small coins in the machine were unforgettable. My biggest dream was to see the other person's face when calling – Videotelephony, I thought, what a great thing that would be!","Dresden. If you wanted to make a phone call in Bautzen in 1985, there were three possibilities: either you were among the fortunate six percent who had a private line; or you knew someone in this exclusive group who lived nearby and would let you call your relatives in exchange for a bottle of Radeberger beer; or you went to a phone booth. I'll never forget the smell of the plastic receiver and the clinking of coins in the machine. My biggest dream was to be able to see the person I was calling – videotelephony, I thought, what a fantastic thing that would be!",0.3797,0.3472,0.255,0.656,0.6321,0.5148,0.7115,0.7147,0.6899,0.8354,0.8458,0.8269
28,"After just one and a half years in office, Prime Minister Natalia Gavralita surprisingly resigned. The head of the pro-European government was under extreme pressure, which was the explanation she gave publicly for her resignation - she was apparently treated with hostility by pro-Russian forces.","After only a year and a half in office, Prime Minister Natalia Gavrilita unexpectedly resigned. The pro-European head of government was under massive pressure, as she herself announced as an explanation for her resignation - apparently she was being attacked by pro-Russian forces.","After only a year and a half in office, Prime Minister Natalia Gavrilita unexpectedly resigned, citing massive pressure, apparently from pro-Russian forces, as she explained in her resignation announcement.","After only a year and a half in office, Prime Minister Natalia Gavrilita unexpectedly resigned. The pro-European head of government was under massive pressure, as she herself stated when explaining her resignation, apparently due to attacks from pro-Russian forces.",0.293,0.1466,0.2139,0.6242,0.3237,0.4605,0.7593,0.6918,0.7598,0.8449,0.7988,0.8531
33,That was what the stars were wearing,Those were the costumes of the celebrities.,These were the celebrities' costumes.,Those were the celebrities' costumes.,0.033,0.0393,0.0393,0.1429,0.1471,0.1471,0.6462,0.6457,0.6273,0.7969,0.8125,0.818
35,"Father figure of the state Markus Söder may appear to have dressed as Moses, which his costume suggests. But he considers himself to be the Bavarians' tribal elder. Wife Karin Baumüller-Söder is at his side.","State Premier Markus Söder didn't go as Moses, as his costume might suggest. He sees himself more as a tribal elder of Bavaria. At his side, his wife Karin Baumüller-Söder.","Father of the State Markus Söder didn't dress as Moses, despite what his costume suggested; he sees himself more as a tribal elder of Bavaria, accompanied by his wife, Karin Baumüller-Söder.","State Premier Markus Söder did not dress as Moses, despite what his costume might suggest. He sees himself more as a Bavarian tribal elder. His wife, Karin Baumüller-Söder, was at his side.",0.0489,0.049,0.1347,0.2933,0.3384,0.3638,0.6004,0.6501,0.6635,0.7823,0.8124,0.8059
36,"The Bavarian Minister of Environmental and Consumer Protection, Thorsten Glauber, chose to dress as the children's hero Chase from PAW Patrol.","Bavaria's Environment and Consumer Protection Minister, Thorsten Glauber, chose the children's hero Chase from Paw Patrol for his costume.",Bavaria's Environment and Consumer Protection Minister Thorsten Glauber dressed up as the popular children's character Chase from Paw patrol for his costume.,"Bavaria's Environment and Consumer Protection Minister, Thorsten Glauber, chose the children's hero Chase from Paw Patrol as his costume.",0.3969,0.0712,0.4027,0.5235,0.4542,0.5662,0.7249,0.6699,0.7439,0.878,0.8236,0.8751
38,"His head is in the clouds: The Minister of Science and Art, Markus Blume, is on his way to outer space.","Completely detached: Minister for Science and Art, Markus Blume, is drawn to space.","Out of touch: The Minister of Science and Art, Markus Blume, is drawn to space.","Completely out there: Markus Blume, Minister for Science and Art, is drawn to space.",0.302,0.4711,0.1674,0.426,0.5337,0.3777,0.4939,0.5823,0.5685,0.5925,0.621,0.6736
41,"Bob the Builder, also known as Minister of Construction Christian Bernreiter, with his wife Ann-Kathrin Jandt-Bernreiter as Wendy.","Bob the Builder, a.k.a. Construction Minister Christian Bernreiter, with his wife Ann-Kathrin Jandt-Bernreiter as Wendy.","Construction Minister Christian Bernreiter, also known as Bob the Builder, with his wife Ann-Kathrin Jandt-Bernreiter as Wendy.","Bob the Builder, also known as Construction Minister Christian Bernreiter, with his wife Ann-Kathrin Jandt-Bernreiter as Wendy.",0.6268,0.682,0.7844,0.7817,0.9288,0.9435,0.8513,0.844,0.9215,0.8717,0.9026,0.9179
47,The SPD faction leader loves hiking: Florian von Brunn with the SPD state chairperson Ronja Endres.,Hiking is the SPD parliamentary group leader's delight: Florian von Brunn with SPD state chairwoman Ronja Endres.,Hiking is the delight of SPD parliamentary leader Florian von Brunn with SPD state chairwoman Ronja Endres.,"Hiking is SPD parliamentary group leader Florian von Brunn's delight, pictured with SPD state chairwoman Ronja Endres.",0.2908,0.2329,0.0986,0.6668,0.7184,0.5823,0.7054,0.6743,0.7005,0.8372,0.8296,0.8247
49,"He would otherwise have a lot to say. Manfred Weber, faction chairperson in the EU Parliament, was out and about as a mime in Veitshöchheim. Wife Andrea at his side.","Otherwise, he certainly speaks more. In Veitshöchheim, the parliamentary group leader in the EU Parliament, Manfred Weber, was acting as a pantomime. At his side was Mrs. Andrea.","Otherwise, he certainly speaks more; in Veitshöchheim, Manfred Weber, the parliamentary group leader in the EU Parliament, was acting as a pantomime, accompanied by Ms. Andrea.","Otherwise, he certainly speaks more. In Veitshöchheim, Manfred Weber, the leader of the parliamentary group in the EU Parliament, was acting as a pantomime, accompanied by Mrs. Andrea.",0.1792,0.2006,0.1945,0.3854,0.3415,0.3392,0.5527,0.5406,0.5455,0.712,0.6694,0.6948
52,"Back to the 1920s: the legal director of the Bavarian Broadcasting Service, Eva Majuntke, Bavarian Broadcasting Service artistic director Katja Wildermuth, and Bavarian Broadcasting Service cultural program director Björn Wilhelm.","Back to the 1920s: BR's Legal Director Eva Majuntke, BR Director General Katja Wildermuth, and BR's Cultural Program Director Björn Wilhelm.","Back to the 1920s: the BR Legal Director Eva Majuntke, BR Director General Katja Wildermuth, and the BR Cultural Program Director Björn Wilhelm.","Back to the 1920s: BR Legal Director Eva Majuntke, BR Director General Katja Wildermuth, and BR Cultural Program Director Björn Wilhelm.",0.2239,0.2624,0.2191,0.5538,0.6323,0.5538,0.742,0.73,0.7354,0.6852,0.6764,0.668
53,"A small potshot was taken at environmental activists by Franconian crime scene detective Sebastian Fleischer, played by Alexander Leopold Schadt.","A small jab at climate activists from Franconian Tatort commissioner Sebastian Fleischer, played by Alexander Leopold Schadt.","A small jab at climate activists from Sebastian Fleischer, a Franconian Crime Scene commissioner, played by Alexander Leopold Schadt.","A small jab at climate activists, delivered by Franconian ""Tatort"" commissioner Sebastian Fleischer, played by Alexander Leopold Schadt.",0.417,0.3623,0.4149,0.5871,0.6595,0.5948,0.5308,0.5717,0.5605,0.6532,0.7029,0.6695
56,"Bö continued his impressive run despite challenging conditions and also won the sixth sprint race of the season. The five-time Olympic champion has now won 14 World Cup titles and is closing in on his compatriot Ole Einar Björndalen. The biathlon icon, who is attending the event as a TV expert, is the uncontested recordholder with 20 World Cup gold medals. Even the fog, which was sometimes dense, did not prevent Bö from continuing his winning streak and earning his second gold medal on the racetrack. The mixed Norwegian team had already successfully defended its title on Wednesday.","Bö continued his impressive streak despite difficult conditions, winning his sixth sprint race of the season. The five-time Olympic champion has now collected 14 World Championship titles and is closing in on his compatriot Ole Einar Björndalen. The biathlon icon, who is on-site as a TV expert, remains the undisputed record champion with 20 World Championship gold medals. Even periods of heavy fog didn't stop serial winner Bö from collecting his second gold on the Rennsteig. On Wednesday, it was enough for a successful title defense with Norway's mixed relay team.","Despite difficult conditions, Bö continued his impressive streak, winning his sixth sprint race of the season; the five-time Olympic champion has now collected 14 World Championship titles and is catching up to his compatriot Ole Einar Björndalen. As a TV expert working on-site, the biathlon icon remains the undisputed record champion with 20 World Championship gold medals. Despite periods of heavy fog, serial winner Bö still managed to win his second gold on the Rennsteig. On Wednesday, it was enough for a successful title defense with Norway's Mixed relay team.","Bø continued his impressive streak despite difficult conditions, winning his sixth sprint race of the season. The five-time Olympic champion has now collected 14 World Championship titles and is closing in on his compatriot Ole Einar Bjørndalen. The biathlon icon, who is on-site as a TV expert, remains the undisputed record champion with 20 World Championship gold medals. Even periods of heavy fog didn't stop serial winner Bø from collecting his second gold at the Rennsteig. On Wednesday, he secured a successful title defense with Norway's mixed relay team.",0.41,0.2228,0.3621,0.5582,0.457,0.493,0.6657,0.6437,0.6577,0.8259,0.8001,0.8308
57,"Hardly anyone doubts that number three will follow during the cross-country skiing. Bö is once again the obvious favorite in the race. His skiing form is exceptional, meaning that he is surprisingly easily capable of compensating for shooting errors to a certain extent.","Hardly anyone doubts that pursuit number three will follow in the hunting race. In the pursuit, Boe is once again the clear favorite. His running form is outstanding, allowing him to compensate for shooting errors to a certain extent with terrifying ease.","Hardly anyone doubts that the third pursuit race will follow. In the pursuit, Boe is once again the clear favorite. His outstanding running form makes it surprisingly easy for him to overcome shooting errors to a certain extent.","Few doubt that pursuit number three will follow. In the pursuit, Boe is once again the clear favorite. His running form is outstanding, allowing him to compensate for shooting errors to a certain extent with terrifying ease.",0.3208,0.2645,0.2571,0.5588,0.4509,0.4491,0.5688,0.5938,0.5823,0.7401,0.7852,0.7519
59,"Six years ago, he surprisingly beat Bö by a narrow margin of 0.7 seconds in Hochfilzen. It was one of three career victories for Doll, who has only been on the podium once so far this winter. The eighth place finisher in the Beijing Olympics disappeared without a word after his poor performance and initially gave no interviews. Roman Rees made it to 19th place, and the second World Cup debutant David Zobel took 35th place.","In Hochfilzen, six years ago, he surprisingly won by a hair's breadth, with a 0.7-second lead over Bö. It was one of only three career victories for Doll, who has so far been on the podium once this winter. The Olympic eighth-place finisher from Beijing left wordlessly after his weak performance and initially gave no interviews. Roman Rees finished in 19th place, while the second World Championship debutant, David Zobel, finished 35th.","In Hochfilzen six years ago, he surprisingly won by a narrow 0.7-second margin over Bö, one of only three career victories for Doll, who has achieved one podium finish this winter; the Olympic eighth-place finisher from Beijing departed wordlessly after his poor showing and initially declined interviews, while Roman Rees finished 19th and fellow World Championship debutant David Zobel placed 35th.","In Hochfilzen, six years ago, he achieved a surprising victory by a hair's breadth, leading Bö by 0.7 seconds. It was one of only three career victories for Doll, who has reached the podium once so far this winter. The Olympic eighth-place finisher from Beijing departed wordlessly after his weak showing and initially gave no interviews. Roman Rees finished 19th, while David Zobel, the second World Championship debutant, finished 35th.",0.3896,0.2019,0.3839,0.6349,0.4789,0.5811,0.6696,0.6811,0.6825,0.7907,0.7951,0.7786
61,"The main focus of a meeting between U.S. President Joe Biden and his counterpart from Brazil, Luiz Inácio Lula da Silva, was the value of democracy. Both of them reflected on their predecessors.","A meeting between US President Joe Biden and his Brazilian counterpart, Luiz Inácio Lula da Silva, will primarily focus on the value of democracy. Both are looking back at their predecessors.","A meeting between U.S. President Joe Biden and his Brazilian counterpart, Luiz Inácio Lula da Silva, will primarily focus on the value of democracy, with both reflecting on their predecessors.","A meeting between US President Joe Biden and his Brazilian counterpart, Luiz Inácio Lula da Silva, will primarily focus on the value of democracy. Both are looking back at their predecessors.",0.4315,0.4716,0.4315,0.6478,0.6934,0.6478,0.7553,0.7762,0.7553,0.8773,0.8944,0.8773
68,"In a country with a culture of denunciation, which was already present before the coronavirus, this was how an atmosphere targeting the most dangerous opponents of the Federal Republic of Germany was created; you can call it civil democracy, you can call it late-stage capitalistic society. (Putting aside the truly dangerous in pinstripe suits and ties for the moment.)","In a country with a culture of denunciation, which existed even before Corona, public sentiment was incited against the most dangerous opponents of the Federal Republic of Germany; let's say of bourgeois democracy, let's say of late-capitalist society. (Here, nothing about the truly dangerous ones in pinstripe suits and ties.)","In a country with a culture of denunciation, which existed even before Corona, public sentiment was incited against the most dangerous opponents of the Bundesrepublik Deutschland—namely, bourgeois democracy and late-capitalist society. (Here, nothing about the truly dangerous ones in pinstripe suits and ties.)","In a country with a culture of denunciation, which existed even before Corona, public sentiment was incited against the most dangerous opponents of the Federal Republic of Germany—let's say of bourgeois democracy, or even late-capitalist society. (Here, nothing is said about the truly dangerous ones in pinstripe suits and ties.)",0.375,0.2951,0.3554,0.4572,0.4049,0.4572,0.6121,0.5923,0.618,0.7428,0.7411,0.7567
69,"Now the Stuttgarter Zeitung, which would otherwise be chasing stories about rowdy individuals on the regional trains or people masturbating in the park, has published a new edition featuring friends of the ""war criminal"" Putin. Since they are so good-looking, there is picture gallery. Obviously, the Stuttgarter Zeitung is poorly informed, since there may be more ""Russian friends"" around the world in Asia, Africa, and Latin America than the Stuttgarter Zeitung has room for pictures.","Now, the Stuttgarter Zeitung, which is usually more interested in chasing hooligans in commuter trains or masturbators in the park, is publishing a new edition featuring the ""war criminal"" Putin's friends. Because they're so beautiful, there's a picture gallery. Of course, the StZ is poorly informed, because in this world, which includes Asia, Africa, and Latin America, there are perhaps more ""friends of Russia"" than the StZ has space for pictures.","Now, the Stuttgarter Zeitung, which usually chases hooligans on commuter trains or perverts in the park, is publishing a new edition featuring the ""war criminal"" Putin's friends, accompanied by a picture gallery because they are so beautiful. Of course, the StZ is poorly informed, because in this world, which includes Asia, Africa, and Latin America, there are perhaps more ""friends of Russia"" than the StZ has space for in pictures.","Now the Stuttgarter Zeitung, usually preoccupied with chasing hooligans on commuter trains or exhibitionists in the park, is releasing a new edition featuring friends of the ""war criminal"" Putin. Because they are so charming, a photo gallery is included. Of course, the StZ is poorly informed, because in this world—including Asia, Africa, and Latin America—there are likely more ""friends of Russia"" than the StZ has room to depict.",0.3065,0.3072,0.3336,0.4703,0.4391,0.4639,0.6546,0.651,0.6754,0.7697,0.7685,0.779
72,"And by now at the very latest, stated kindly, Mrs. Wagenknecht should be the most popular politician among any people who are not yet completely daft, i.e., those who are peace-loving, pacifist, and anti-military. (And now there is no further need to differentiate.)","And at the very latest now, dialectically speaking, Wagenknecht should be the most popular politician for all not-quite-stupid, i.e., peace-loving, pacifist, and antimilitarist people. (And no further differentiation is needed here.)","And to put it dialectically, Wagenknecht should now be the most popular politician among all those who are not entirely foolish—that is, peace-loving, pacifist, and antimilitarist people. (And no further differentiation is needed here.)","And at the very latest, dialectically speaking, Wagenknecht should be the most popular politician among all not-quite-stupid, that is, peace-loving, pacifist, and antimilitarist people. (And no further differentiation is needed here.)",0.2841,0.2422,0.3062,0.4567,0.5075,0.4885,0.6347,0.6405,0.6316,0.7624,0.7827,0.7463
76,SS massacres in Oradour-sur-Glane: The last survivor has died,SS Massacre in Oradour-sur-Glane: Last Survivor Dead,SS massacre in Oradour-sur-Glane: Last survivor dies.,SS Massacre in Oradour-sur-Glane: Last Survivor Dies,0.115,0.1207,0.115,0.6692,0.6692,0.7641,0.7708,0.8365,0.7941,0.8645,0.9086,0.8777
80,"Deutsche Bank CEO Christian Sewing believes that additional interest-rate hikes are ""absolutely"" necessary to combat high inflation. ""The inflationary risks remain high. Energy prices can easily increase again, and China opening up may temporarily push up prices,"" Sewing told ""Welt am Sonntag.""","Deutsche Bank CEO Christian Sewing believes further interest rate hikes are ""absolutely"" necessary in the fight against the high inflation rate. ""The inflationary risks remain high. Energy costs could easily rise again, and the opening of China could also give prices a temporary boost,"" Sewing told ""Welt am Sonntag.""","Deutsche Bank CEO Christian Sewing stated that further interest rate hikes are ""absolutely"" necessary to combat the high inflation rate. ""The inflationary risks remain high. Energy costs could easily rise again, and the opening of China could also give prices a temporary boost,"" Sewing told ""Welt am Sonntag"".","Deutsche Bank CEO Christian Sewing believes further interest rate hikes are ""absolutely"" necessary in the fight against the high inflation rate. ""The inflationary risks remain high. Energy costs could easily rise again, and the opening of China could also give prices a temporary boost,"" Sewing told ""Welt am Sonntag.""",0.465,0.4635,0.465,0.6606,0.6622,0.6606,0.8088,0.7968,0.8088,0.8837,0.8761,0.8837
82,"Higher interest rates make borrowing more expensive. This may reduce demand and therefore counteract high inflation rates. Higher borrowing rates may also lead to delayed investment, thereby weakening economic growth.","Higher interest rates make loans more expensive. This can dampen demand and thus counteract high inflation rates. At the same time, higher loan interest rates can lead to investments being postponed, resulting in weaker economic growth.","Higher interest rates make loans more expensive, which can dampen demand and thus counteract high inflation rates. Simultaneously, higher loan interest rates can lead to investments being postponed, resulting in weaker economic growth.","Higher interest rates make loans more expensive, which can dampen demand and thus counteract high inflation rates. Higher loan interest rates can also lead to postponed investments, resulting in weaker economic growth.",0.2523,0.2222,0.289,0.5992,0.5263,0.5833,0.8507,0.8534,0.8553,0.8939,0.891,0.9025
84,"The ECB aims for price stability in the Eurozone over the medium-term with an inflation rate of two percent. This target has remained very distant for months. Though inflation weakened in January, consumer prices in the currency area among the now 20 countries were 8.5 percent higher than at the same time last year.","The ECB aims for price stability in the euro area in the medium term, with an inflation rate of two percent. This target has been far from reach for months. In January, the rise in prices did weaken again, but consumer prices in the currency area, now comprising 20 countries, were still 8.5 percent above the level of the same month last year.","The ECB aims for price stability in the Eurozone in the medium term, with an inflation rate of two percent. This target has not been met for months. In January, the rise in prices did weaken again, but consumer prices in the currency area, now comprising 20 countries, were still 8.5 percent above the level of the same month last year.","The ECB aims for price stability in the euro area over the medium term, targeting an inflation rate of two percent. This target has remained distant for months. Although the rise in prices weakened again in January, consumer prices in the now 20-country currency area were still 8.5 percent higher than the same month last year.",0.3714,0.3982,0.4998,0.6593,0.6618,0.7688,0.7452,0.7412,0.7707,0.8628,0.859,0.8683
