index,original,zero_shot_translation,reference_translation
79,"Popups, auto-play videos, animations, popovers, and ads, ads, ads.",弹出窗口、自动播放视频、动画、弹出层和广告、广告、广告。,弹出窗口、自动播放视频、动画、弹出窗口和一而再再而三的广告。
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.",即使现在goatse.cx已经不存在了，这仍然是事实，尽管goatse和比如khou.com之间的竞争可能会非常激烈，我曾尝试在khou.com上观看Wendy发给我的视频。,我曾在 khou.com 尝试观看 Wendy 发给我的视频，尽管 goatse 和 khou.com 之间的竞争会非常激烈，goatse.cx 已经消失却是事实。
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",“我只是把他送到格拉斯哥，”我试图解释，指着我的旅伴。,“我只是让他在格拉斯哥下车，”我试图解释，并向我的旅伴做了个手势。
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,昨晚让我确信的一件事是，我们需要准备好反击特朗普主义。,昨晚，我确信，我们有必要准备好反击特朗普主义。
94,Get some bumper stickers that are anti-Trump and plaster them all over.,弄一些反特朗普的保险杠贴纸到处贴上。,找一些反特朗普的车尾贴，贴满。
95,Yell back at those who would try to talk over us.,对那些试图打断我们的人大声回应。,对那些试图凌驾于我们之上的人大声呼喊。
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,所以我赶紧进公寓以避免见到他，但他还是设法追上我聊天。,所以我跑进我的公寓来避开他，但他仍然试图赶上我，与我聊天。
102,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,我再说一遍。到处传播你的新冠病毒粘液风暴是不可接受的行为！！！,我重复一遍。到处传播你的带有新冠肺炎病毒的痰是社会所无法接受的！！！
104,Abe keeps his sorrows hidden and laughs easily while Tom is not afraid to cry but is less amused by rude humor.,阿贝把他的悲伤藏起来，容易发笑，而汤姆不怕哭泣，但对粗鲁的幽默不太感兴趣。,Abe 隐藏了他的悲伤，坦然一笑，而 Tom 不怕流泪，但不喜欢粗鲁的幽默。
106,Mio knows that sorrow is life's constant companion.,美绪知道悲伤是生活的常伴。,Mio 知道悲伤伴随着一个人的一生。
108,#CNN needs to just close down.,CNN需要关闭。,#CNN 需要做的就是关门大吉。
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨天与#MangoMoron的事件是一个令人愤慨的惨败。,昨天 #MangoMoron 的惨败真的令人愤慨。
115,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.",书呆子学生阿尼·坎宁安爱上了一辆生锈的1958年普利茅斯狂怒，并痴迷于将这辆经典汽车恢复到昔日的辉煌。,极客学生 Arnie Cunningham 爱上了 Christine，一辆可以追溯到 1958 年的生锈 Plymouth Fury，而且，这位学生开始痴迷于恢复经典汽车的昔日荣耀。
116,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.",随着汽车的变化，阿尼也在改变，他的新信心在驾驶他那辆异国情调的美丽汽车时变成了傲慢。,随着汽车的变化，Arnie 也在变化，在他异域佳人的车轮下，他新获得的自信转变成了傲慢。
123,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,关于我的邻居反对我这件事，最疯狂的部分之一就是想到他们需要花费多少精力才能表现出敌意。,我的邻居与我针锋相对，最不可理喻的是，惦记着要花多大力气对付我。
126,It hurts but you gotta do you.,虽然很痛，但你还是要做自己。,会很痛苦，但必须这样做。
127,But at this point the open hostility and violence is getting worse.,但在这一点上，公开的敌意和暴力正在恶化。,而此时公开的敌意和暴力正在加速恶化。
128,That takes effort.,那需要努力。,那样做需要花力气。
132,They had keys to my apartment for 6+ years.,他们有我公寓的钥匙超过6年。,他们 6 年多之前就有我公寓的钥匙了。
134,I am aware of your hatred of Organa.,我知道你对欧加纳的憎恨。,我了解你对 Organa 的仇恨。
142,The Last of Us is an easy and canonical example of dad-ification.,《最后生还者》是父亲化的一个简单且经典的例子。,《最后生还者》是一个关于父亲化的经典示例。
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.",父化通常假设，当父母角色必须照顾或保护孩子或孩子替代物的情况下，解决方案是压倒性的力量，并利用这种力量强制形成一个非常具体的权力动态。,父亲化一般意味着，在父母必须照顾或保护孩子或弱势人员时，这种方法就屡试不爽，他们使用这种方法强制将自己的这种特定权力凌驾于他人之上。
149,- We provide links to where you can book the fare.,我们提供可以预订票价的链接。,- 我们会给您提供预订机票的链接。
151,- More details are in the full blog post.,更多详情请参见完整的博客文章。,- 请查看完整的博客帖子了解更多细节。
159,Over time dart became my go-to for quick UI.,随着时间的推移，Dart 成为我快速 UI 的首选。,dart 逐渐成为我快速与用户对接的首选。
160,"#flutter is a pleasure to work with, and they have #mobx for easy store management.",#flutter 很好用，他们有 #mobx 可以轻松进行状态管理。,#flutter 是一个绝佳合作伙伴，他们拥有可以简化商店管理的 #mobx。
164,Echidna with amethyst and magenta spikes.,带有紫水晶和紫红色尖刺的针鼹。,长有紫水晶色和洋红色尖刺的针鼹。
167,"Their hair is raspberry, short and curly.",他们的头发是覆盆子色的，短而卷曲。,它们的毛发是红莓色的，短小而卷曲。
169,Their most interesting feature is their good deeds.,他们最有趣的特点是他们的善行。,它们最吸引人的是它们友好的行为。
172,"Despite the best efforts of Bram Stoker, Max Schreck, and Stephenie Meyer in trying to make them look bad - everyone ...",尽管布拉姆·斯托克、马克斯·施雷克和斯蒂芬妮·梅耶尽力让他们看起来很糟糕——每个人……,尽管 Bram Stoker、Max Schreck 和 Stephenie Meyer 已经竭尽全力让他们深陷窘境——每个人...
177,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.",需要将其翻译成普通话和/或福建话，我对这两种语言都一无所知。,我需要把它翻译成普通话和/或闽南语，这两种语言我都不懂。
179,Been toying with this thought for a little while:,一直在琢磨这个想法。,考虑这个想法已经有一段时间了：
182,Because it happens in the mind and seems less tangible than physical health.,因为它发生在大脑中，看起来比身体健康更不具体。,因为它针对的是大脑，似乎不像身体健康那样看得见摸得着。
189,"My sex is non-binary, my gender is female.",我的性别是非二元的，我的性别认同是女性。,我的性是非二元的，我的性别是女。
193,Like krauty moods and other worldly pop music and radiophonic workshop and all sorts.,喜欢酸菜心情和其他世俗流行音乐、无线电工作室和各种各样的东西。,比如 krauty moods、其他通俗流行音乐、广播电台直播间等各种形式。
196,Playing around a bit with Flutter.,玩转 Flutter。,试玩了下 Flutter。
197,"I'd hate to base my business on tech from Google, to be honest, on the other hand Google is one of the few big players with real incentives to create a compelling cross platform experience and it shows.",老实说，我不愿意把我的业务建立在谷歌的技术上，另一方面，谷歌是少数真正有动力创造引人注目的跨平台体验的大公司之一，这一点显而易见。,说实话，我不喜欢把我的业务建立在谷歌的技术上，但另一方面，谷歌是少数几个真正有动力创造引人注目的跨平台体验的大玩家之一，这一点也很明显。
203,A few very small difficulties have come to light.,出现了一些很小的困难。,一些细微困难已经表现出来。
204,Nothing to set alarm bells ringing but nevertheless they are being addressed.,没有什么需要敲响警钟，但它们仍在被解决。,没有什么能敲响警钟，无论如何，正在解决这些问题。
205,A small update will be produced next week to correct them.,下周将进行一个小更新以纠正它们。,下周会发布一次小更新来纠正这些错误。
209,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.,我不知道为什么我的大脑无法弄清楚；可能是因为工具太宽泛和模糊，以至于我的大脑因“选项太多”而死机。,我不知道或者不能确切知道为什么我想不通；可能是因为这些工具太宽泛和模糊了，以至于我的大脑因为“选项过多”而锁死了。
217,"There's... no way that would work, probably!",那……这绝对行不通，可能吧！,那...那可能行不通！
219,I was a voracious reader in my youth.,我年轻时是个贪婪的读者。,我年轻时是个如饥似渴的读者。
228,"But if Spotify has a good quarter, they will.",但如果 Spotify 季度表现良好，他们会。,但是如果 Spotify 某个季度卖的很好，他们就会这么做。
230,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,让他们重建全国那些被掏空和衰败的城市。,让他们为全国各地被掏空后萧条衰败的城市平反。又来了。
235,These headlines and articles usually reference one CEO at one large company.,这些标题和文章通常提到一家大型公司的某位首席执行官。,这些头条和文章通常会提及一家大公司的首席执行官。
236,It's all clickbait but it does worry me about the executives and managers who read these articles.,这都是标题党，但我确实担心那些阅读这些文章的高管和经理。,这些都是引诱别人点击的诱饵，但我确实担心阅读这些文章的高管和经理们。
242,It enables people to avoid lengthy commutes that take time away from their day and their families.,它使人们能够避免耗时的通勤，从而节省时间，让他们有更多时间陪伴家人。,它使人们能够避免漫长的通勤，而漫长的通勤会削减日常生活和陪家人的时间。
247,"""This is a war between the pro-humans and anti-humans,"" he said.",“这是人类支持者和反人类者之间的战争，”他说。,“这是亲人类和反人类之间的一场战争，”他说。
249,He also argues that NDP and progressives want to depopulate society for the sake of the environment.,他还争辩说，新民主党和进步人士为了环境的缘故想要减少人口。,他还认为，NDP 和进步人士希望以保护环境为目的减少社会人口。
252,Whenever May would pop up I dreaded trying to celebrate my bday.,每当五月来临，我都害怕庆祝我的生日。,每当遇到五月，我为庆祝生日感到恐惧。
258,Winter is 30 days away in this little part of the Great Southern World.,冬天距离这个大南方世界的小地方还有30天。,离冬天还有 30 天，在大南方的一个小地方。
261,"The rain is falling and whilst/while it is not frozen, you ain't going dancing in it!",雨正在下，虽然它没有结冰，但你不会在雨中跳舞！,雨还在下，当它还没结冰时，你不能在雨里跳舞！
265,Does you know of a performant way for a web component to respond to being added/removed from a document?,你知道有什么高效的方法可以让一个网页组件对被添加或移除文档做出响应吗？,你知道 web 组件响应从文档中添加/删除的有效方式吗？
270,"We create a detached temp parent, install MO there, and observe it becoming detached (thus attached elsewhere).",我们创建一个独立的临时父级，在那里安装MO，并观察它变得独立（因此附加到其他地方）。,我们会创建一个分离的临时父对象，在该对象中安装 MO，并观察其分离过程（从而附加到其他地方）。
276,He's just absolutely ripped from tearing around my office twice a day.,他每天在我的办公室里跑两次，身材变得非常健美。,他一天在我的办公室里乱翻两次，简直是疯了。
277,"I don't have a scale to weigh him, but he feels like he's well over a pound.",我没有秤来称他的重量，但感觉他已经超过一磅了。,我没有体重秤给他称体重，但他感觉自己胖了一磅多。
278,It makes me so happy to see him thriving.,看到他兴旺发达让我很高兴。,看到他茁壮成长，我很开心。
280,1) Slight modifications to the Hel's Fighters map layout.,对地狱战士地图布局进行轻微修改。,1）轻微修改了 Hel 的战斗机地图布局。
286,"All collards, kale, chard is transplanted.",所有羽衣甘蓝、羽衣甘蓝、瑞士甜菜都已移植。,所有的羽衣甘蓝、甜菜都已完成移植。
288,Spring peas at Gilpin are showing up so trellise needs to be set.,吉尔平的春豌豆已经开始长出来了，所以需要搭建支架。,吉尔平的春豌豆正在出芽，所以需要设置棚架。
291,"Apple Maps comes default with iOS, and yet people would go out of their way to download and install Google Maps onto their iPhones.",苹果地图是iOS的默认应用，但人们仍然会特意下载并安装谷歌地图到他们的iPhone上。,苹果地图是苹果系统的默认地图软件，然而人们会专门下载谷歌地图并安装到苹果手机上。
293,"Curious, I kept an open mind to compare how Google Maps and Apple Maps compare, on my test iPhone device (my daily driver is an Android device, so it's rare that I use an iPhone).",出于好奇，我保持开放的心态，在我的测试iPhone设备上比较Google地图和Apple地图的表现（我的日常设备是Android设备，所以我很少使用iPhone）。,出于好奇，我在我的测试苹果手机上（我的日常驱动程序是安卓手机，所以我很少使用苹果手机），对谷歌地图和苹果地图进行了比较。
297,No idea.,不知道。,不太明白。
300,Could it be that Google Search is integrated with Google Maps?,谷歌搜索是否与谷歌地图集成在一起？,会不会是谷歌搜索和谷歌地图整合在一起造成的？
303,"I'm biased in favour of not releasing garbage to end users, and Apple royally fucked up with their Apple Maps when it came out in 2012.",我倾向于不向最终用户发布垃圾产品，而苹果在2012年推出的Apple Maps时彻底搞砸了。,我的偏见在于，苹果不会向终端用户发布垃圾产品，并且苹果公司在 2012 年推出苹果地图时，彻底搞砸了。
306,The house itself declines in value because it loses its condition and needs to be replaced.,房屋本身的价值下降，因为它的状况变差，需要更换。,房子本身的价值会不断下降，因为它的优越性会逐渐失去，然后就需要用其它房子取而代之。
310,They're not stupid enough to sell the sell forever.,他们还不至于愚蠢到永远出售。,他们不会蠢到卖掉它的永久所有权。
313,It seems inconceivable that land may be taken away one day when you watch Australian and United States media channels but that's because the rich are on there all day ensuring your mind thinks a certain way.,当你观看澳大利亚和美国的媒体频道时，土地可能有一天会被夺走，这似乎是不可思议的，但那是因为富人整天都在上面，确保你的思想以某种方式思考。,当你观看澳大利亚和美国的媒体频道时，有一天土地会被拿走，这一点似乎不可思议，但那是因为富人一直都在那里，确保你的思维追随某种形式。
321,"To all the investors out there, I raise a toast to your success and the realization of your dreams.",向所有投资者致敬，祝贺你们的成功和梦想的实现。,在场的所有投资者们，我为你们的成功和梦想的实现干杯。
322,Let us continue to work together towards creating a brighter future for all.,让我们继续携手共创更加光明的未来。,让我们继往开来，为所有人创造一个更加光明的未来。
325,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,我常常对人类能如此自我贬低感到惊讶，同时又被大量关于真正残酷的证据所淹没。,我经常想知道人类面对大量真实残忍的证据时，为什么会如此自暴自弃。
327,We're all such messy critters.,我们都是如此混乱的小动物。,我们都很邋遢。
332,"or ""Modal editors are useless today"" :morty:",或者“模式编辑器今天没用” :morty:,或者“模态编辑器现在没有用武之地了”:morty:
336,How would you share personal libraries?,你会如何分享个人图书馆？,你是怎么共享个人库的？
341,"Also one day I am totally gonna do the mile high orgasm, maybe not with a str",还有一天，我一定要尝试空中高空高潮，也许不需要一个str。,总有一天我会达到一英里高的高潮，也许不是靠力气
342,I don't agree that #Mastodon is difficult to setup.,我不同意 #Mastodon 很难设置。,我认为 #Mastodon 设置起来不难。
345,"I wish there was a ""who to follow"" recommendation somehow.",我希望能有一个“推荐关注”的功能。,不知何故，关于“关注谁”，我想听一些建议。
347,If you stick to the default web interface it doesn't look and feel good (imho).,如果你坚持使用默认的网页界面，它看起来和感觉都不好（仅代表个人意见）。,如果你坚持默认的网络界面，外观和感觉都不是很好。
352,Explanation: account for both sides of mutual influence,解释：考虑到相互影响的双方。,解释：将双方之间的相互影响纳入考量
356,"Even if he didn't get to say them during the town hall, everyone in America will hear them anyway, repeatedly, between now and November 2024.",即使他在市政厅上没有机会说出来，从现在到2024年11月，美国的每个人都会反复听到这些话。,即使他没有在市政厅说这些话，从现在到 2024 年 11 月，所有美国人都会反复听到这些话。
366,Throwing everything you've got over the fence in response to GPT is not it.,把你所有的东西都扔过围栏来回应GPT并不是解决办法。,把你所有的一切都扔掉去回复 GPT 似乎适得其反。
372,"If I try and figure out my one rep max is I might not own enough weights to max out, or conversely it could seriously injure/kill me.",如果我尝试计算我的一重复最大重量，我可能没有足够的重量来达到最大值，或者相反，这可能会严重伤害/杀死我。,如果我试图找出我最大的一个缺点，那就是我可能没有举重极限，或者反而，这可能会给我造成严重伤害/害死我。
375,I swear burrata didn't exist five years ago,我发誓五年前根本没有布拉塔奶酪。,我敢肯定五年前布拉塔芝士不存在
376,This is my personal Mandela effect thing.,这是我个人的曼德拉效应现象。,这东西是我自身的曼德拉效应造成的。
379,I'd never seen anyone's mom make it or had it shoved at me at a party or seen it appear in conjunction with anyone's saucemaking escapades or baking days,我从未见过谁的妈妈做过，也没有在聚会上被塞给过，也没有在任何人的调味或烘焙日中出现过。,我从未见过别的妈妈做这道菜，或在聚会上推荐给我，也没有看到它与任何人的酱料恶搞或烘焙日餐品一起出现过
380,It just appeared one day and suddenly it was available everywhere.,有一天它突然出现，然后到处都能买到。,有一天它出现了，突然它变得随处可见。
385,"This would be mainly for web browsing, occasional email, and some games.",这主要用于网页浏览、偶尔的电子邮件和一些游戏。,它将主要用于浏览网页、偶尔收发电子邮件或者玩游戏。
387,"""A good game is only late until it ships.",好游戏只会迟到，直到它发货。,“一款好游戏只有在上市后才会被发掘。
392,"""Or, as an industry catch phrase goes: A late game is only late until it ships.",或者，正如行业流行语所说：一款跳票的游戏只会在发售前跳票。,“或者，正如一句行业流行语所说：一款迟到的游戏只有在它发售时才算迟到。
394,Is it so ephemeral then?,那么它是如此短暂吗？,它真的稍纵即逝？
397,"He carries it in his mouth proudly all over the house, and I just have to laugh inwardly.",他骄傲地把它叼在嘴里，满屋子走，我只能在心里偷笑。,他骄傲地叼着它满屋跑，我只能暗自发笑。
399,Have now done a full round trip on the new ICNG train.,现在已经乘坐新的ICNG列车完成了一次往返旅程。,我现在已经在新 ICNG 列车上完成了一次完整的往返旅行。
400,I really like it.,我真的很喜欢。,我很喜欢这个列车。
402,There's areas that could use some polish.,有些地方需要润色。,有些地方有待提高。
403,"Namely the lack of enough bins, and the lack of signs to explain the significance of the lighting colours.",即缺乏足够的垃圾桶，也缺乏解释灯光颜色意义的标志。,比如，垃圾箱不足，并且缺少指示灯光颜色所代表的意义的标志。
404,"Fix those minor issues, and then can we have more of these please?",修复那些小问题，然后我们可以多要一些吗？,解决这些小问题，然后我们还会有更多这样的小问题吗？
406,One per customer rules remain as we try to ensure everyone who queues up can get their hands on a board.,每位顾客限购一块，以确保每位排队的人都能买到一块。,人手一个的规则仍然存在，因为我们试图确保每个排队的人都可以得到一个板。
407,"You can buy ONE of the boards listed above, not one of each.",您可以购买上面列出的其中一块板，而不是每种都买一块。,你可以买上面列出的一种板，而不是每种各买一个。
409,Yesterday I had the best time with my friend and former rabbi colleague.,昨天我和我的朋友兼前拉比同事度过了最美好的时光。,昨天我和我的朋友也是之前的拉比同事玩得很开心。
410,We visited for a couple hours on my porch.,我们在我的门廊上待了几个小时。,在我的走廊，我们一同度过了几个小时。
412,We all have stories to tell.,我们都有故事要讲。,我们都有相告彼此的故事。
415,I quite like akkoma the software and the domain name I got for my instance.,我非常喜欢 Akkoma 这个软件和我为我的实例获得的域名。,我很喜欢 akkoma 软件还有我为我的实例申请的域名。
416,"But I feel somehow I started this instance on the wrong foot, so to speak.",但我觉得不知怎么地，我在这个情况下有点不太顺利，可以这么说。,但我觉得不知何故，我一开始就走错了路，可以这么说。
423,Repnids have tunnelled below the surface and you fall into a boiling mass of hundreds of Repnid bodies in a cavern below.,Repnid在地表下挖掘隧道，你掉入了下面洞穴中沸腾的数百个Repnid身体之中。,Repnid 在地表下挖了一条隧道，你掉进了下面的一个洞穴里，里面有一堆挤满整个洞穴的 Repnid 尸体。
424,"The end is swift, as several pairs of fangs inject their deadly venom and the air of Dyskra contaminates your lungs.",结局迅速，几对毒牙注入致命的毒液，迪斯克拉的空气污染了你的肺部。,很快就到结局了，几对尖牙喷射出致命的毒液，Dyskra 的空气污染了你的肺部。
427,"The eight-eyed Repnids seem to be watching, but they make no move towards you, in fact they are motionless as you walk slowly towards them.",八眼的Repnids似乎在注视着你，但它们没有向你移动，事实上，当你慢慢走向它们时，它们一动不动。,八眼 Repnid 似乎在看着你，但它们不会向你移动，事实上，当你慢慢走向它们时，它们是静止的。
432,"You decide that establishing contact again would be dangerous and return to your flyer, but the experience has cleared your mind which had been befuddled ever since you jumped into the future.",你决定再次建立联系会很危险，于是返回飞行器，但这次经历清醒了你的头脑，自从你跳入未来以来，它一直处于混乱状态。,你想到，再次建立沟通会很危险，然后你回到你的飞行器上，但是这一经历已经清除了你的头脑，自从你跳入未来以来，你的头脑一直是混乱的。
437,I started a new shawl.,我开始了一条新的披肩。,我开始做新披肩。
442,I am using a H hook with a similar double crochet pattern as I have done before.,我正在使用H钩和以前相似的长针图案。,我用了一个 H 型钩，和我以前用过的类似的双钩针图案。
448,The literature class hatred is even worse: I love to read.,文学课的仇恨更严重：我喜欢阅读。,我对文学课的厌恶更不可一世：我喜欢读书。
454,Humanity is out in 5 days.,人类将在5天后消失。,《Humanity》五天后发布。
456,What will people think of it?,人们会怎么想？,大家会怎么看？
463,Came home on my lunch break to see this sitting outside uwu.,午休时回家看到这个坐在外面uwu。,我在午休时回到家，在威斯康辛大学外面看到这句话。
464,Wish I could take it back to work with me to setup more.,希望我能把它带回去工作，设置更多。,希望我可以把它带回去和我一起工作，创造更多可能。
466,So I finally watched #Heartstopper,所以我终于看了《心跳漏一拍》。,然后我终于观看了 #Heartstopper
477,"But it's important to not make excuses for issues and just fix them, especially in production when your lead needs changes.",但重要的是不要为问题找借口，而是要解决它们，尤其是在生产中当你的主管需要更改时。,但重要的是，没有借口，只需去解决它，尤其是在生产中，你的领导要求改变时。
480,"Good critique is there to correct the problem quickly, and isn't directed at your ability.",好的批评是为了迅速纠正问题，并不是针对你的能力。,好的评判是为了让你快速改变错误的做法，而不是针对你的能力。
485,These roots are hidden.,这些根是隐藏的。,这些根被隐藏起来。
486,Work is not visible.,工作不可见。,工作看不到结果。
492,He waited until he was in the darkness of the bunk room before he pulled the note out and read it in a beam of light coming through the blackout curtains.,他等到在铺位房间的黑暗中才拿出纸条，在透过遮光窗帘的光束中读了起来。,他一直在宿舍等到天黑，才抽出纸条，在透过遮光窗帘射进来的一束光线下读了起来。
495,I've met some marvelous new #Mastodon mates lately and want to maintain the trend.,最近我认识了一些很棒的新的 #Mastodon 朋友，并希望保持这种趋势。,我最近新遇到一些非常厉害的 #Mastodon 伙伴，我想继续结识一些这样的人。
