index,original,zero_shot_translation,improved_translation
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,"""Closely connected to the local area; up to 30 photos; free property assessments also available.""","""Focused on the local area, includes up to 30 photos, and free property appraisals are also being conducted."""
36,お急ぎ便が使い放題。,Unlimited use of express delivery.,Unlimited express delivery service.
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Points can be accumulated, a smartphone app is available, and there is a selection of hundreds of millions of products.","You can earn points, a smartphone app is available, and there is a selection of billions of products."
45,あの人気漫画を今こそ一気読み。,Now is the time to binge-read that popular manga.,Now's the perfect time to dive into that popular manga.
46,全作品試し読みアリ・買うよりお得。,"""All works available for trial reading - more economical than buying.""","""All works available for trial reading—better value than buying."""
50,クチコミ情報も満載です。,"The translation of the Japanese sentence ""クチコミ情報も満載です。"" to English is: ""It is also full of reviews.""",It is also packed with user-generated content and reviews.
51,タイムセールや限定プランも。,"""Time sales and exclusive plans, too.""","""There are also flash sales and exclusive plans."""
52,自宅で簡単予約・ビジネスホテルが充実・プラン充実・会員登録でポイント貯まる。,Easily book from home - Business hotels are well-equipped - Comprehensive plans - Earn points by registering as a member.,Easily book from home; Business hotels are plentiful; A wide range of plans available; Earn points when you register as a member.
54,端子台 貫通をこの価格で買える通販モノタロウ。,"""MonotaRO, an online store where you can buy terminal blocks with through-holes at this price.""","""MonotaRO is an online store where you can purchase through-hole terminal blocks."""
56,端子台 貫通の通販。,Terminal block through-hole online shopping.,Online shopping for terminal blocks with through connections.
59,紀伊御坊駅の格安ホテル - 【じゃらん】公式サイト,Budget Hotels Near Kii-Gobo Station - [Jalan] Official Website,Budget Hotels Near Kii-Gobō Station – Jalan Official Website (a Japanese travel agency)
62,【紀伊御坊駅】のホテル・旅館を予約するならじゃらん。,"If you're looking to book hotels or inns near Kii-Gobo Station, try Jalan.","If you're looking to book hotels or inns near Kii-Gobo-eki, consider using じゃらん, a popular Japanese travel booking site."
63,じゃらん限定・格安プランも充実。,Exclusive to Jalan: Affordable plans are also available.,"Exclusive to Jalan, comprehensive and affordable plans are available."
64,会員登録でポイント貯まる・当日予約OKの宿多数・お得なクーポン配布中。,"Earn points with membership registration, many accommodations available for same-day booking, and great coupons currently being distributed.","Earn points by registering as a member, many lodgings offer same-day booking, and great coupons are currently available."
65,入力簡単60秒で無料査定依頼 - 路線価・地価の相場を調べるなら,"""Request a free appraisal in just 60 seconds - If you're looking to check the standard land prices and market values.""","""Get a free appraisal in just 60 seconds. Check rosenka (standard land prices) and chika (market values)."""
66,マンション・土地・一戸建ての無料売却査定が可能。,"Free sale assessments are available for apartments, land, and single-family homes.","We offer free sale assessments for condominiums, land, and detached houses."
67,エリアから価格相場の把握ができます。,"""You can grasp the price range from the area.""","""You can understand the price level from the area."""
68,不動産売却のお悩みはプロが解決！,"""Real estate sale concerns? Let the professionals solve them!""","""Concerned about selling real estate? Let the professionals handle it."""
71,マンションの売却・査定・最適な売却プランをご提案・売主様へ安心サポート。,"Sale and appraisal of apartments, proposal of the optimal sale plan, and reliable support for sellers.","Sale and appraisal of condominiums, proposing the optimal sale plan, and providing reliable support for sellers."
75,ダイキン エアコン お客様 センター見つけましょう。,Let's find the Daikin Air Conditioner Customer Center.,Let's locate the Customer Center for Daikin Air Conditioners.
78,来場予約キャンペーン実施中 - 都市型狭小3階建てモデルハウス,Ongoing Visit Reservation Campaign - Urban Narrow Three-Story Model House,Ongoing Visit Reservation Campaign - Urban-Style Compact Three-Story Model House
83,ITツールを駆使し業務コストを削減し、リーズナブルな価格でのサービス提供を実現,Utilize IT tools to reduce operational costs and achieve the provision of services at a reasonable price.,Make full use of IT tools to reduce costs and provide services at a reasonable price.
92,どうしても今すぐお金が必要 - 【厳選3社】即日キャッシング,"""I really need money right now - [Carefully Selected 3 Companies] Same-Day Cash Advance""","""I urgently need money right now: 3 Carefully Selected Companies for Quick Loans"""
98,レストラン予約するなら一休.com、お店の口コミも掲載。,"If you're making a restaurant reservation, try Ikkyu.com, which also features customer reviews.","If you're making a restaurant reservation, consider using Ikyu.com. It also features customer reviews."
102,幸せウエディングを叶える情報満載／結婚式準備はゼクシィ。,Information packed with everything you need for a happy wedding / Wedding preparations with Zexy.,Information full of making a happy wedding come true. Wedding preparations with ZEXY.
107,ゴールドカードはメリットばかり！,"""The gold card has nothing but benefits!""","""The gold card is full of benefits!"""
110,自宅用のホームルーターをお探しの方必見！,A must-see for those looking for a home router!,"If you're looking for a router for home use, don't miss this."
112,置くだけで使えるWiFiも！,"""WiFi that you can use just by placing it!""","""WiFi that is ready to use as soon as you set it down."""
115,蒲田イン ソーシャル- トリップアドバイザー,Kamata Inn Social - TripAdvisor,Kamata Inn Social – TripAdvisor
119,ショートが似合うか不安な方でもしっかりとカウンセリングして似合わせをいっしょに考えます。,"Even if you're worried about whether a short hairstyle will suit you, we will provide thorough consultation and work together to find a style that suits you.","Even if you're worried about whether short hair will suit you, we will provide thorough consultation and work with you to find a style that suits you."
124,ロハコ限定、くらしになじむデザインが多数。,"LOHACO exclusive, numerous designs that blend into everyday life.",Lohaco offers numerous designs that seamlessly fit into daily living.
125,最短翌日お届け、PayPay決済対応。,"""Delivery as soon as the next day, PayPay payment supported.""","""Next-day delivery available, with PayPay payment supported."""
127,都心へのマルチアクセスを叶えるタワーレジデンス。,A tower residence that provides multi-access to the city center.,A tower residence that fulfills the promise of providing multiple convenient access points to the city center.
128,4路線利用できる‘目黒’駅に誕生。,"Born at ""Meguro"" Station, where four lines are available.","Opened at Meguro Station, where four lines are accessible."
129,野村不動産グループ×JR東日本グループ開発エリア【MEGURO MARC】の32階建タワー。,"The 32-story tower in the development area of [MEGURO MARC], a collaboration between the Nomura Real Estate Group and the JR East Group.",The 32-story tower located in the MEGURO MARC development area is a collaboration between the Nomura Real Estate Group and the JR East Group.
132,続くから変われる、人生を変える英会話の力をあなたへ。,"""Because it continues, you can change; the power of English conversation that can change your life, to you.""","""You can change because it continues; the power of English conversation that can change your life is for you."""
136,クラウド電話を1内線200円から - 【公式】サテライトオフィス,Cloud phone from 200 yen per extension - [Official] Satellite Office,Cloud phone service starting at ¥200 per extension – 【Official】 Satellite Office
145,glovesdepoを探すなら、日本最大級通販ショップ楽天市場。,"If you're looking for glovesdepo, check out Rakuten Ichiba, Japan's largest online shopping site.","If you're looking for glovesdepo, visit Rakuten ichiba, one of Japan's largest online shopping sites."
148,目黒 恵比寿 五反田エリアで顧問弁護士をお探しなら目黒国際法律事務所。,"If you are looking for a legal advisor in the Meguro, Ebisu, or Gotanda area, Meguro International Law Office.","If you are looking for a legal advisor in the Meguro, Ebisu, or Gotanda area, please consider Meguro International Law Office."
151,若手弁護士がフットワーク軽く迅速に対応します。,A young lawyer will respond promptly and with agility.,Young lawyers will respond promptly and with flexibility.
152,20代～シニアまで申込める保険 - 【生命保険】はなさく生命,Insurance available for people in their 20s to seniors - [Life Insurance] Hanasaku Life,Life insurance that can be applied for by people in their 20s to seniors – [Life Insurance] Hanasaku Seimei.
161,素肌が喜ぶ、FOOD(食べもの)から生まれた化粧品。,"Skincare that delights your bare skin, cosmetics derived from food.","Cosmetics that make your skin happy, born from FOOD (食べもの)."
162,食べてカラダにいいFOODをお肌にも！,"""Eat food that's good for your body and also for your skin!""","""Eat FOOD that's beneficial for both your body and your skin."""
164,特別セールやキャンペーンをお見逃しなく。,Don't miss out on special sales and campaigns.,Don't miss special sales and events.
165,韓国で人気のスキンフード・韓国コスメのスキンフード・SKINFOOD公式通販。,"SKINFOOD, a popular skincare and cosmetics brand in South Korea, official online store.","SKINFOOD, a popular Korean cosmetics brand in South Korea, official online store."
166,【広島】ホットヨガTOP3 - 人気No1のホットヨガスタジオ,[Hiroshima] Top 3 Hot Yoga - The Most Popular Hot Yoga Studio No. 1,[Hiroshima] Top 3 Hot Yoga: The No. 1 Most Popular Hot Yoga Studio
169,お得なキャンペーン中,"""Special promotion ongoing""","""A special offer is currently ongoing."""
175,活力サポートサプリ・テストフェン配合・スーパーマカ配合。,Vitality Support Supplement - Contains Testofen - Contains Super Maca.,"Vitality Support Supplement, with Testofen and Super MACA."
177,【東京23区】で一戸建て探しならオープンハウス。,"If you're looking for a house in the 23 wards of Tokyo, Open House is the place to go.","If you're looking for a house in Tokyo's 23 special wards, Open House is the best choice."
180,厳選した大泉学園の一戸建てを掲載中。,We are featuring a carefully selected collection of single-family homes in Ōizumigakuen.,"We are featuring a curated selection of detached houses in Oizumi-Gakuen, a neighborhood in Japan."
186,宿泊&航空券をあんしん予約。,"""Book accommodations and flights with peace of mind.""","""book accommodations and flights securely."""
196,モテ髪ヘアカタログ・人気サロンをネット予約・ネット予約でポイントGet。,Popular salon hairstyles catalog - Make online reservations and earn points with online booking.,Catalog of Attractive Hairstyles - Book online and earn rewards points with online reservations.
198,クチコミ比較、最安値予約、現地払い。,"Review comparison, lowest price booking, pay on site.","Compare customer reviews, book at the lowest price, pay on site."
204,全国のビューティーサロンの検索、空席確認、ネット予約。,"Search for beauty salons nationwide, check availability, and make online reservations.","Find beauty salons nationwide, check their availability, and book online."
206,理想の照明がない… - 取扱いブランド数、日本最大級,"""The ideal lighting is not available... - Number of brands handled, one of the largest in Japan.""","""We don't have the ideal lighting... - We handle one of the largest numbers of brands in Japan."""
209,各種カード、ポイント還元・日本最大級2万点の品ぞろえ。,"Various cards, point rewards - Japan's largest selection with 20,000 items.","Various cards, point rewards; one of Japan's largest assortments of 20 000 items."
214,"【公式】ヴァージンクリニック - 全身医療脱毛5回88,000円／京都","[Official] Virgin Clinic - Full Body Medical Hair Removal 5 Sessions for 88,000 Yen / Kyoto","[Official] Virgin Clinic - 5 sessions of full-body medical hair removal for ¥88,000 in Kyoto."
217,追加料金も0円で安心,"""No additional charges, so you can feel at ease.""","""Additional charges are also zero yen, for peace of mind."""
218,幕張本郷 口コミ第1位の整体院 - 多くの専門家が絶賛する技術,Makuhari Hongō's No. 1 Rated Chiropractic Clinic - Techniques Highly Praised by Many Experts,Top-Rated Holistic Therapy Clinic in Makuhari Hongo - Techniques Highly Praised by Many Experts
232,料金も時間も節約しよう。,"""Let's save both money and time.""","""Let's save money and time."""
234,お気に入りの宿を特別料金で。,"""Your favorite accommodation at a special rate.""","""Enjoy special rates at your preferred accommodation."""
238,自分で淹れたおいしい一杯を味わいながら、プロの技をマスター。,"""Master professional techniques while enjoying a delicious cup you brewed yourself.""","""Savor a delicious cup that you brewed yourself while mastering the skills of a professional."""
244,25歳以下または対象期間内に引越した方でAirターミナル5を購入・契約し、開通後アンケート回答で,"""Those who are 25 years old or younger, or who have moved during the specified period, and have purchased or contracted Air Terminal 5, will receive a survey after activation.""","""Those who are 25 years old or younger, or who have moved house during the specified period, and have purchased or contracted Airターミナル5, will be asked to complete a survey after activation."""
246,3層タイプのプリーツマスクで、オメガ形状のプリーツが大きく広がり、鼻や口を圧迫しにくく、呼吸しやすくなっています。,"With its three-layer pleated design, the omega-shaped pleats of the mask expand widely, making it less likely to press against the nose and mouth, thus allowing for easier breathing.","With its three-layer pleated design, the mask's pleats expand widely in an omega shape, reducing pressure on the nose and mouth and allowing for easier breathing."
248,10枚/袋×2袋で包装しており、持ち運び便利な仕様です。,"It is packaged as 10 pieces per bag × 2 bags, making it convenient to carry.",It is packaged as 10 pieces per bag by 2 bags and is designed to be convenient to carry.
249,ゴム紐は6mmの平ゴム形状なので、耳への当たりが柔らかく、よくある耳の痛みも軽減してくれます。,"The elastic cord has a 6mm flat shape, making it soft on the ears and helping to reduce the common pain associated with wearing it.",The elastic cord has a 6 mm flat shape which makes it gentle on the ears and helps to reduce the common ear pain.
263,※A4 5冊入の商品に掲載の画像は新しいパッケージの商品です。,The image shown for the product containing 5 A4 notebooks is of the new packaging.,The image shown for the product with 5 volumes of A4 is of the new packaging.
264,以前のパッケージ商品の用紙と仕様は同一です。,"""The paper and specifications of the previous packaged product are the same.""","""The paper and specifications of the previous package product remain unchanged."""
266,箱に記載されている注文コードと500枚入の包装紙記載の注文コードは異なります。,The order code listed on the box is different from the order code listed on the packaging of 500 sheets.,The order code listed on the box is different from the order code listed on the 500-sheet packaging.
267,(500枚入の1冊で販売するためです),"""(This is because it is sold as a book containing 500 sheets)""","""(This is because it is sold as a single volume containing 500 sheets)"""
270,ブレーキライニングやブレーキドラムや機械部品等に付着したオイルやグリース等の汚れをきれいに落としブレーキ装置から発生する様々な粉塵を空気中に飛散させることなく、油脂類やカーボン等の汚れを素早くきれいに落とします。,"It effectively cleans oil, grease, and other dirt adhered to brake linings, brake drums, and mechanical parts, and quickly removes grease, carbon, and other contaminants without dispersing various dust particles generated from the brake system into the air.","It effectively and cleanly removes oil, grease, and other dirt adhered to brake linings, brake drums, and mechanical parts, and quickly and effectively cleans grease, carbon, and other contaminants without dispersing various dust particles into the air."
271,又、オゾン層の破壊や環境汚染の原因となるフロン及びトリクロロエタンを一切含まない有機溶剤中毒予防規則適用外の洗浄剤です。,"Additionally, this cleaning agent does not contain any chlorofluorocarbons (CFCs) or 1,1,1-trichloroethane, which cause ozone layer depletion and environmental pollution, and is exempt from the Organic Solvent Poisoning Prevention Regulations.","Additionally, this cleaning agent does not contain any chlorofluorocarbons (CFCs) or trichloroethane, which cause ozone layer depletion and environmental pollution, and is not subject to the regulations applying to organic solvent poisoning prevention."
274,缶の逆さ使用OK。,"""It is okay to use the can upside down.""","""You can safely use the can upside down."""
276,ニトリルゴム手袋 極薄 粉なし ブルー色 100枚入,"Nitrile rubber gloves, ultra-thin, powder-free, blue color, pack of 100.","Nitrile rubber gloves, ultra-thin, powder-free, blue color, 100-pack."
277,柔らかく手にピッタリフィットするので、長時間の細かな作業に適しています。,"It fits softly and perfectly in your hand, making it suitable for detailed work over long periods.","It fits snugly and softly in your hand, making it suitable for detailed work over long periods."
279,便利な左右兼用タイプのためムダなくお使いいただけます。,You can use it efficiently without waste because it is a convenient type that is suitable for both left and right-handed use.,You can use it without waste because it is a convenient type suitable for both left and right-handed use.
283,※体質によっては、かゆみ、かぶれ、発疹等をおこすことがあります。,"※ Depending on your constitution, it may cause itching, rashes, or other skin reactions.","Depending on your individual sensitivity, it may cause itching, rashes, or similar symptoms."
286,膨潤、浸透、老化することがあります。,"The translation from Japanese to English is: ""It may swell, permeate, and age.""","It may swell, permeate, and deteriorate."
289,※爪先、刃物や尖ったもの等で傷をつけないよう注意してください。,"Please be careful not to scratch or damage it with your fingertips, blades, or other sharp objects.","Please be careful not to scratch or damage it with toes, blades, or other sharp objects."
290,水漏れの原因になります。,"""It can cause a water leak.""","""It will lead to a water leak."""
295,サイズが一目瞭然のデザイン。,A design where the size is immediately apparent.,A design where the size is clearly visible at a glance.
299,※電池のアルカリ液が目に入ったときは失明などのおそれがあるので、すぐに多量のきれいな水で洗い流し、 医師の治療を受ける。,"If alkaline battery fluid gets into your eyes, there is a risk of blindness, so immediately rinse with plenty of clean water and seek medical attention.","If alkaline battery fluid gets into your eyes, as it may cause blindness or other risks, rinse your eyes immediately with plenty of clean water; then receive treatment from a doctor."
306,※この電池は充電式でないので、充電すると液漏れ、発熱、破裂のおそれがある。,"※This battery is not rechargeable, so attempting to recharge it may result in leakage, overheating, or rupture.","*This battery is not rechargeable, so charging it can cause leakage, overheating, or rupture."
315,着け具合も柔らかくフィット感のある軍手です。,These are work gloves that are soft and have a comfortable fit.,These cotton work gloves are soft and fit comfortably.
318,※回転体を伴う機械作業では、使用しないでください。,"""Please do not use during machine operations involving rotating bodies.""","""Do not use in machine work involving rotating bodies."""
321,マスキングテープ 高品質 和紙基材,"Masking tape, high quality, Japanese paper base","Masking tape, high quality, washi base"
323,のり残りが少なくタテ裂けが起こりにくいです。,"""The remaining glue is minimal, making it less prone to vertical tearing.""","""With minimal glue residue, it is less prone to tearing vertically."""
324,※被着体、塗料の種類によっては貼り跡やのり残りが発生する場合がありますので、問題がないことを確かめてからご使用下さい。,"Please ensure there are no issues before use, as adhesive marks or residue may occur depending on the type of substrate and paint.","Verify that there are no issues before using, as adhesive marks or residue may occur depending on the type of substrate and paint."
329,※ティシューは水に溶けにくいため、水洗トイレには流さないでください。,"※Tissues do not dissolve easily in water, so please do not flush them down the toilet.","Facial tissues are not easily dissolvable in water, so please do not flush them down the toilet."
331,※引火の原因になりますので、火気の近くに置かないでください。,"Please do not place it near open flames, as it may cause ignition.",Please do not place it near fire; it may ignite.
334,プロユーザーにも安心してご使用いただける品質の、弱粘着タイプ養生テープです。,This is a low-adhesion masking tape with quality that ensures peace of mind for professional users.,This is a low-adhesion masking tape with reliable quality that even professional users can trust.
339,手で簡単にカットできる養生用ポリエチレンクロステープで耐候性・耐水性に優れています。,This polyethylene cloth tape for protection can be easily cut by hand and offers excellent weather resistance and water resistance.,"This polyethylene cloth tape for protection can be easily cut by hand, and it offers excellent weather and water resistance."
340,再はくり性が良好です。,"The translation of ""再はくり性が良好です。"" is ""The re-peelability is good.""",The adhesive can be peeled off and reapplied effectively.
341,※貼る対象物や使用環境によっては、粘着力等数値通りの値が出ない場合がございます。,"Depending on the object to which it is applied or the usage environment, the adhesive strength and other values may not match the specified numbers.","Depending on the object to which it is applied or the usage environment, the adhesive strength and other properties may not correspond to the specified values."
349,※養生後、テープを早く剥すと破断する恐れがありますので、ゆっくり剥してください。,"※ After curing, there is a risk of breakage if the tape is removed quickly, so please peel it off slowly.","※ After setting, there is a risk of rupture if the tape is removed quickly, so remove it slowly."
350,※粘着剤特有のにおいがありますので、換気の良い所でのご使用をお勧めします。,"※ There is a distinctive odor from the adhesive, so it is recommended to use it in a well-ventilated area.","※ The adhesive has a characteristic odor, so it is recommended to use it in a well-ventilated area."
351,※被着体と養生期間によっては、被着体を汚染・損傷する場合がありますので、ご使用前にお確かめください。,"Please note that depending on the adherend and the curing period, there may be cases where the adherend could be contaminated or damaged, so please verify before use.","Please note that depending on the substrate and the curing time in terms of potential contamination or damage, the substrate may become contaminated or damaged, so ensure to verify before use."
356,従来品に比べ耐候性がアップしました。,"""Compared to conventional products, weather resistance has been improved.""","""Compared to conventional products, weather resistance has increased."""
360,保管する場合は密閉することを推奨します。,It is recommended to seal tightly when storing.,It is recommended to ensure a tight seal when storing.
362,※一度ご使用された製品を再度ご使用にされることで、結束力不足により不具合が発生する可能性があります。,※There is a possibility of malfunction due to insufficient cohesion if a product that has been used once is used again.,There is a possibility of malfunction due to insufficient binding force if a previously used product is reused.
365,※取り付けの際には現車取り付け部に真っ直ぐ取り付け作業を行ってください。,"When installing, please ensure that the installation is carried out straight onto the mounting section of the actual vehicle.","When installing, please ensure that the installation is carried out directly onto the mounting section on the vehicle."
368,現在販売している商品は品質確認済になりますのでご安心してご使用下さい。,"The products currently on sale have been quality-checked, so please feel confident in using them.",The products currently on sale have been quality-checked. Please use them with peace of mind.
369,※当製品は交換作業を整備業者へ依頼して行う事をおすすめします。,※We recommend that you request a maintenance professional to perform the replacement work for this product.,We recommend having a qualified technician handle the replacement work.
370,個人で交換作業を行った場合は補償出来ない場合もございます。,"If the replacement work is carried out individually, there may be cases where compensation cannot be provided.","If the replacement work is carried out personally, we might not be able to offer compensation in some cases."
371,※ネジ寸法が各オイルフィルターで異なっている為、高さや外径などが同じフィルターに見えても取り付け前に再度、車種とネジ寸法をご確認ください。,"Please double-check the vehicle model and screw dimensions before installation, as the screw dimensions vary for each oil filter, and filters that appear to have the same height and outer diameter may differ.","Please double-check the vehicle model and screw dimensions, as the screw dimensions vary for each oil filter, and even if filters appear to have the same height and outer diameter, they may differ."
373,※わずかな違いでも大きなトラブルになる場合がございます。,"""Even a slight difference can lead to significant trouble.""","""Even a slight difference can cause big trouble."""
378,白メリヤスウエス 中古生地,"""White jersey rags made from used fabric""","""White knit rags made from second-hand fabric"""
380,ウエス製品の中で優れた製品です。,"""It is an excellent product among the wiper products.""","""It is an excellent product among cleaning cloths."""
382,カット済。,"""Cut"" or ""Already cut.""",Already cut.
390,※用途以外に使用しないでください。,"""Please do not use for purposes other than intended.""","""Please do not use for any other purposes than those intended."""
393,ケミカル製品と接触することによって色落ちが発生する可能性がありますのでケミカル品のご使用をお避けください。,"There is a possibility of discoloration occurring due to contact with chemical products, so please avoid using chemical products.","Discoloration may occur due to contact with chemical products, so please avoid using them."
395,食品に触れる用途には使用しないでください。,"""Do not use for applications that involve contact with food.""","""Do not use for any purpose involving contact with food."""
398,※ケミカル製品と接触することによって色落ちが発生する可能性がありますのでケミカル品のご使用をお避けください。,"※ There is a possibility of color fading due to contact with chemical products, so please avoid using chemical items.","Color fading may occur if the product comes into contact with chemical products, so please avoid using them."
399,ハンドクリーナー 工業用 オレンジエキス保湿成分配合 スクラブ入り,Industrial Hand Cleaner with Orange Extract Moisturizing Ingredients and Scrubbing Particles,Hand cleaner with moisturizing orange extract and scrub particles
409,異物感が残る場合は、眼科医にご相談ください。,"If you continue to feel a foreign body sensation, please consult an ophthalmologist.","If a foreign body sensation remains, please consult an ophthalmologist."
421,※使用後の本製品の廃棄は、お住まいの各自治体で定められたゴミ廃棄方法に従ってください。,Please dispose of this product after use in accordance with the waste disposal methods specified by the local government in your area.,Please dispose of this product in accordance with the waste disposal methods specified by your local municipality.
422,※袋を閉じる際は結束バンドでしっかり結んでください。,"When closing the bag, please make sure to securely fasten it with a tie band.","When closing the bag, please securely fasten it with a cable tie."
428,※本来の用途以外には使用しないでください。,"""Please do not use for purposes other than the intended use.""","""Do not use for any other purposes than its intended use."""
434,※フタが開けにくい際はフタを少し潰す様に押すと開けやすくなります。,"*If the lid is difficult to open, it will be easier to open if you press it slightly to crush it.*","If the lid is difficult to open, try pressing it slightly to make it easier to open."
435,※内容物、洗浄廃液や容器を廃棄する場合は、都道府県の許可を受けた専門の廃棄物処理業者に委託してください。,"※ When disposing of the contents, cleaning waste liquid, or containers, please entrust the task to a specialized waste disposal contractor authorized by the prefecture.","※ When disposing of the contents, cleaning waste liquid or containers, please use a specialized waste disposal contractor authorized by the prefectural authorities."
438,透明度があり加工後も封入物の文字をクッキリ読めます。,"""The transparency allows you to clearly read the text of the enclosed items even after processing.""","""The transparency of the material allows you to clearly read the text within the inclusions, even after processing."""
439,※機器には接着加工してあるシール部分から挿入してください。,Please insert through the sealed part that has been adhered to the device.,Please insert through the seal part attached to the device.
443,※一度加工したシートは再生不能となります。,"""※ Once the sheet has been processed, it cannot be restored.""","Note: Once processed, the sheet cannot be reproduced."
450,※工業用の薬品やアルコール、石油製品などには絶対に使用しないで下さい。,"Please do not use this with industrial chemicals, alcohol, petroleum products, etc.","Do not absolutely use this with industrial chemicals, alcohol, petroleum products etc."
451,※熱湯は入れないで下さい。,*Please do not pour boiling water.*,Please do not add boiling water.
455,中身が漏れる恐れがございます。,There is a risk of contents leaking.,There is a risk of the contents leaking.
459,店頭でフックなどに吊り下げることができる便利な穴付きです。,"""It has a convenient hole that allows it to be hung on hooks at the store.""","""It has a convenient hole that allows it to be hung on hooks or other items."""
460,フック用穴と本体の間はミシン目入りなので、フックに掛けて本体を引っ張れば穴の下から切れて使える構造になっています。,"The area between the hole for the hook and the main body has perforations, so when you hang it on a hook and pull the main body, it tears off below the hole, making it usable.","The area between the hole for the hook and the main body has perforations, so when you hang it on a hook and pull the main body, it tears off below the hole, allowing it to be used as intended."
461,表面にエンボス加工入り。,"""Embossed on the surface.""","""The surface features embossing."""
464,※幼児や子供がかぶって遊ぶと窒息などの危険がありますのでご注意ください。,Please be aware that there is a risk of suffocation if infants or children wear this as a plaything.,Please be aware that there are risks such as suffocation if infants or children wear and play with it.
465,※高温多湿を避け、火の気のない場所で保管してください。,"Please store in a cool, dry place away from high temperatures, humidity, and fire.","Please store away from heat, humidity, and open flames."
481,OPPテープ 透明色,"OPP tape, transparent color","Oriented Polypropylene Tape, Transparent"
482,梱包用テープとして、価格も安く強度も強い為、良く使われています。,"As a packaging tape, it is often used because it is inexpensive and strong.","As a packaging tape, it is often used due to its affordability and strength, with its price being particularly cost-effective."
487,※梱包用途以外の使用は避けてください。,※ Please avoid using for purposes other than packaging.,* Please do not use for anything other than packaging.
488,貼る面を損傷する場合がございます。,"""The surface to which it is applied may be damaged.""","""Applying it may cause damage to the surface."""
492,※物性は測定値であり、規格値或いは保証値でありません。,※The physical properties are measured values and are not standard or guaranteed values.,"The physical properties are measured values, not standard values or guaranteed ones."
499,※内容物、洗浄廃液や容器を廃棄する場合は、都道府県の許可を受けた専門の廃棄物処理業者に委託してください。,"※ When disposing of the contents, cleaning waste liquid, or containers, please entrust the task to a professional waste disposal contractor authorized by the prefecture.","※ When disposing of the contents, cleaning waste liquid, or containers, please hire a specialized waste disposal company authorized by the local government."
