index,original,zero_shot_translation,reference_translation
152,20代～シニアまで申込める保険 - 【生命保険】はなさく生命,Insurance available for people in their 20s to seniors - [Life Insurance] Hanasaku Life,Insurance anyone in their 20s to the elderly can apply for - 【Life Insurance】Hanasaku Life Insurance
161,素肌が喜ぶ、FOOD(食べもの)から生まれた化粧品。,"Skincare that delights your bare skin, cosmetics derived from food.",A cosmetic product made from FOOD that makes your skin happy.
162,食べてカラダにいいFOODをお肌にも！,"""Eat food that's good for your body and also for your skin!""",Food good for your body is also good for your skin!
164,特別セールやキャンペーンをお見逃しなく。,Don't miss out on special sales and campaigns.,Don't miss the special sale campaign.
165,韓国で人気のスキンフード・韓国コスメのスキンフード・SKINFOOD公式通販。,"SKINFOOD, a popular skincare and cosmetics brand in South Korea, official online store.","SKINFOOD, popular in Korea, Korean cosmetic SKINFOOD, SKINFOOD official online shop."
166,【広島】ホットヨガTOP3 - 人気No1のホットヨガスタジオ,[Hiroshima] Top 3 Hot Yoga - The Most Popular Hot Yoga Studio No. 1,【Hiroshima】 TOP 3 Hot Yoga spots - No.1 most popular hot yoga studio
169,お得なキャンペーン中,"""Special promotion ongoing""",Currently having a special campaign
175,活力サポートサプリ・テストフェン配合・スーパーマカ配合。,Vitality Support Supplement - Contains Testofen - Contains Super Maca.,Vitality supplements containing testofen and super maca.
177,【東京23区】で一戸建て探しならオープンハウス。,"If you're looking for a house in the 23 wards of Tokyo, Open House is the place to go.",Open House is the best place to find detached homes within the【23 Tokyo Wards】
180,厳選した大泉学園の一戸建てを掲載中。,We are featuring a carefully selected collection of single-family homes in Ōizumigakuen.,Carefully selected detached homes in Oizumigakuen are available now.
186,宿泊&航空券をあんしん予約。,"""Book accommodations and flights with peace of mind.""",Book accommodations & flights with peace of mind.
196,モテ髪ヘアカタログ・人気サロンをネット予約・ネット予約でポイントGet。,Popular salon hairstyles catalog - Make online reservations and earn points with online booking.,"Browse our hottest hair catalogs, reserve popular salons online, and earn points."
198,クチコミ比較、最安値予約、現地払い。,"Review comparison, lowest price booking, pay on site.","Compare reviews, book at the cheapest prices, pay-on-arrival."
204,全国のビューティーサロンの検索、空席確認、ネット予約。,"Search for beauty salons nationwide, check availability, and make online reservations.","Search for beauty salons throughout the country, check availability, and book online."
206,理想の照明がない… - 取扱いブランド数、日本最大級,"""The ideal lighting is not available... - Number of brands handled, one of the largest in Japan.""",I can't find the ideal lighting... - we feature the largest number of brands in Japan.
209,各種カード、ポイント還元・日本最大級2万点の品ぞろえ。,"Various cards, point rewards - Japan's largest selection with 20,000 items.","Earn reward points with various cards, we offer Japan's largest selection of 20,000 items."
214,"【公式】ヴァージンクリニック - 全身医療脱毛5回88,000円／京都","[Official] Virgin Clinic - Full Body Medical Hair Removal 5 Sessions for 88,000 Yen / Kyoto","【Official】Virgin Clinic - Full body medical hair removal, 5 treatments 88,000 yen/Kyoto"
217,追加料金も0円で安心,"""No additional charges, so you can feel at ease.""",No worries with zero additional charges
218,幕張本郷 口コミ第1位の整体院 - 多くの専門家が絶賛する技術,Makuhari Hongō's No. 1 Rated Chiropractic Clinic - Techniques Highly Praised by Many Experts,Makuharihongo No.1 reviewed chiropractic clinic - Techniques highly praised by numerous experts
232,料金も時間も節約しよう。,"""Let's save both money and time.""",Save your time and money.
234,お気に入りの宿を特別料金で。,"""Your favorite accommodation at a special rate.""",Special rates at your favorite accommodations.
238,自分で淹れたおいしい一杯を味わいながら、プロの技をマスター。,"""Master professional techniques while enjoying a delicious cup you brewed yourself.""",Master professional techniques while enjoying delicious coffee you made yourself.
244,25歳以下または対象期間内に引越した方でAirターミナル5を購入・契約し、開通後アンケート回答で,"""Those who are 25 years old or younger, or who have moved during the specified period, and have purchased or contracted Air Terminal 5, will receive a survey after activation.""","For those under 25 years of age or those who have moved within the eligible period, after purchasing an Air Terminal 5, signing a contract, and answering a questionnaire after service has started."
246,3層タイプのプリーツマスクで、オメガ形状のプリーツが大きく広がり、鼻や口を圧迫しにくく、呼吸しやすくなっています。,"With its three-layer pleated design, the omega-shaped pleats of the mask expand widely, making it less likely to press against the nose and mouth, thus allowing for easier breathing.","These three-layer masks feature omega-shaped pleats which open wide to reduce pressure on the nose and mouth, making it easier to breathe."
248,10枚/袋×2袋で包装しており、持ち運び便利な仕様です。,"It is packaged as 10 pieces per bag × 2 bags, making it convenient to carry.",Packaged in 2 bags of 10 masks/bag for convenience and ease-of-carrying.
249,ゴム紐は6mmの平ゴム形状なので、耳への当たりが柔らかく、よくある耳の痛みも軽減してくれます。,"The elastic cord has a 6mm flat shape, making it soft on the ears and helping to reduce the common pain associated with wearing it.","The strap has a flat and 6mm wide, making it easy on the ears and reducing common ear pain."
263,※A4 5冊入の商品に掲載の画像は新しいパッケージの商品です。,The image shown for the product containing 5 A4 notebooks is of the new packaging.,*The image shown for the A4 5-pack uses the new package design.
264,以前のパッケージ商品の用紙と仕様は同一です。,"""The paper and specifications of the previous packaged product are the same.""",The paper and specifications are identical to those of the previous design.
266,箱に記載されている注文コードと500枚入の包装紙記載の注文コードは異なります。,The order code listed on the box is different from the order code listed on the packaging of 500 sheets.,The order code on the box and the order code on the wrapping paper of the 500-sheet pack differ.
267,(500枚入の1冊で販売するためです),"""(This is because it is sold as a book containing 500 sheets)""",(To sell 500-sheet packs as a single pack.)
270,ブレーキライニングやブレーキドラムや機械部品等に付着したオイルやグリース等の汚れをきれいに落としブレーキ装置から発生する様々な粉塵を空気中に飛散させることなく、油脂類やカーボン等の汚れを素早くきれいに落とします。,"It effectively cleans oil, grease, and other dirt adhered to brake linings, brake drums, and mechanical parts, and quickly removes grease, carbon, and other contaminants without dispersing various dust particles generated from the brake system into the air.","Quickly clean oil, grease, and other grime from brake linings, brake drums, mechanical parts, etc., as well as remove oil, grease, carbon, and other contaminants without dispersing particles into the air."
271,又、オゾン層の破壊や環境汚染の原因となるフロン及びトリクロロエタンを一切含まない有機溶剤中毒予防規則適用外の洗浄剤です。,"Additionally, this cleaning agent does not contain any chlorofluorocarbons (CFCs) or 1,1,1-trichloroethane, which cause ozone layer depletion and environmental pollution, and is exempt from the Organic Solvent Poisoning Prevention Regulations.","Also, this cleaning agent doesn't contain any chlorofluorocarbons or trichloroethane, which attribute to ozone layer depletion and environmental pollution, so it does not fall under the Ordinance on the Prevention of Organic Solvent Poisoning."
274,缶の逆さ使用OK。,"""It is okay to use the can upside down.""",This product can be sprayed even when the can is upside-down.
276,ニトリルゴム手袋 極薄 粉なし ブルー色 100枚入,"Nitrile rubber gloves, ultra-thin, powder-free, blue color, pack of 100.","Nitrile rubber gloves, extra thin, powder free, blue, 100 pack"
277,柔らかく手にピッタリフィットするので、長時間の細かな作業に適しています。,"It fits softly and perfectly in your hand, making it suitable for detailed work over long periods.","Soft and snugly fitting, these gloves are ideal for tasks requiring detailed work over a long period of time."
279,便利な左右兼用タイプのためムダなくお使いいただけます。,You can use it efficiently without waste because it is a convenient type that is suitable for both left and right-handed use.,Convenient left/right dual usage allows for waste-free use.
283,※体質によっては、かゆみ、かぶれ、発疹等をおこすことがあります。,"※ Depending on your constitution, it may cause itching, rashes, or other skin reactions.","*Some people may experience itchiness, rashes, etc."
286,膨潤、浸透、老化することがあります。,"The translation from Japanese to English is: ""It may swell, permeate, and age.""","The gloves might swell, deteriorate, or the chemical/solvent might permeate through."
289,※爪先、刃物や尖ったもの等で傷をつけないよう注意してください。,"Please be careful not to scratch or damage it with your fingertips, blades, or other sharp objects.","*Be careful not to damage them with your fingernails, blades, or other sharp objects."
290,水漏れの原因になります。,"""It can cause a water leak.""",This leads to leakage.
295,サイズが一目瞭然のデザイン。,A design where the size is immediately apparent.,The design makes the size obvious at first glance.
299,※電池のアルカリ液が目に入ったときは失明などのおそれがあるので、すぐに多量のきれいな水で洗い流し、 医師の治療を受ける。,"If alkaline battery fluid gets into your eyes, there is a risk of blindness, so immediately rinse with plenty of clean water and seek medical attention.","*If the alkaline liquid from a battery gets in your eyes, it can cause loss of vision, so immediately rinse your eyes with a large amount of clean water, and then receive treatment from a doctor."
306,※この電池は充電式でないので、充電すると液漏れ、発熱、破裂のおそれがある。,"※This battery is not rechargeable, so attempting to recharge it may result in leakage, overheating, or rupture.","*These batteries are not rechargeable, so charging them can lead to leakage, overheating, or rupture."
315,着け具合も柔らかくフィット感のある軍手です。,These are work gloves that are soft and have a comfortable fit.,These gloves are soft and well-fitting.
318,※回転体を伴う機械作業では、使用しないでください。,"""Please do not use during machine operations involving rotating bodies.""",*Do not use during mechanical work involving rotating parts.
321,マスキングテープ 高品質 和紙基材,"Masking tape, high quality, Japanese paper base",High Quality Washi Paper-based Masking Tape
323,のり残りが少なくタテ裂けが起こりにくいです。,"""The remaining glue is minimal, making it less prone to vertical tearing.""","Minimal adhesive residue, and vertical tearing is unlikely to occur."
324,※被着体、塗料の種類によっては貼り跡やのり残りが発生する場合がありますので、問題がないことを確かめてからご使用下さい。,"Please ensure there are no issues before use, as adhesive marks or residue may occur depending on the type of substrate and paint.","*Depending on the type of surface or paint used, adhesive marks or adhesive residue may remain, so please test that there are no issues before use."
329,※ティシューは水に溶けにくいため、水洗トイレには流さないでください。,"※Tissues do not dissolve easily in water, so please do not flush them down the toilet.","*Tissues don't dissolve in water, so please don't flush them down the toilet."
331,※引火の原因になりますので、火気の近くに置かないでください。,"Please do not place it near open flames, as it may cause ignition.","*Do not place near fire, as they are combustible."
334,プロユーザーにも安心してご使用いただける品質の、弱粘着タイプ養生テープです。,This is a low-adhesion masking tape with quality that ensures peace of mind for professional users.,Weak adhesive masking tape with a quality that is suitable even for professional use.
339,手で簡単にカットできる養生用ポリエチレンクロステープで耐候性・耐水性に優れています。,This polyethylene cloth tape for protection can be easily cut by hand and offers excellent weather resistance and water resistance.,This polyethylene cloth masking tape can be easily torn by hand and has superior weather and water resistance.
340,再はくり性が良好です。,"The translation of ""再はくり性が良好です。"" is ""The re-peelability is good.""",It can easily be peeled off and reapplied.
341,※貼る対象物や使用環境によっては、粘着力等数値通りの値が出ない場合がございます。,"Depending on the object to which it is applied or the usage environment, the adhesive strength and other values may not match the specified numbers.","*Depending on the surface or environment, adhesive strength and other aspects may not perform as expected."
349,※養生後、テープを早く剥すと破断する恐れがありますので、ゆっくり剥してください。,"※ After curing, there is a risk of breakage if the tape is removed quickly, so please peel it off slowly.","*After masking, remove the tape slowly, as it may tear if peeled too quickly."
350,※粘着剤特有のにおいがありますので、換気の良い所でのご使用をお勧めします。,"※ There is a distinctive odor from the adhesive, so it is recommended to use it in a well-ventilated area.","*The adhesive has a distinctive smell, so it's recommended to use this product in a well ventilated area."
351,※被着体と養生期間によっては、被着体を汚染・損傷する場合がありますので、ご使用前にお確かめください。,"Please note that depending on the adherend and the curing period, there may be cases where the adherend could be contaminated or damaged, so please verify before use.","*Depending on the surface and the period of masking, it is possible to mark or damage the surface, so please test before use."
356,従来品に比べ耐候性がアップしました。,"""Compared to conventional products, weather resistance has been improved.""",They have superior weatherproofing compared to other cable ties.
360,保管する場合は密閉することを推奨します。,It is recommended to seal tightly when storing.,Storing them in an airtight container is recommended.
362,※一度ご使用された製品を再度ご使用にされることで、結束力不足により不具合が発生する可能性があります。,※There is a possibility of malfunction due to insufficient cohesion if a product that has been used once is used again.,*Reusing the cable ties may cause problems due to a loss in binding strength.
365,※取り付けの際には現車取り付け部に真っ直ぐ取り付け作業を行ってください。,"When installing, please ensure that the installation is carried out straight onto the mounting section of the actual vehicle.","*When installing, please install flush with the vehicle's mounting area."
368,現在販売している商品は品質確認済になりますのでご安心してご使用下さい。,"The products currently on sale have been quality-checked, so please feel confident in using them.",Please be assured that all of the products we currently sell are quality assured.
369,※当製品は交換作業を整備業者へ依頼して行う事をおすすめします。,※We recommend that you request a maintenance professional to perform the replacement work for this product.,*It is recommended that this product be fitted by a mechanic.
370,個人で交換作業を行った場合は補償出来ない場合もございます。,"If the replacement work is carried out individually, there may be cases where compensation cannot be provided.",In some cases we may not be able to compensate you if you do the work yourself.
371,※ネジ寸法が各オイルフィルターで異なっている為、高さや外径などが同じフィルターに見えても取り付け前に再度、車種とネジ寸法をご確認ください。,"Please double-check the vehicle model and screw dimensions before installation, as the screw dimensions vary for each oil filter, and filters that appear to have the same height and outer diameter may differ.","*Screw dimensions differ between oil filters, so even if the height and outer diameter look the same, please check the model of car and screw dimensions before installation."
373,※わずかな違いでも大きなトラブルになる場合がございます。,"""Even a slight difference can lead to significant trouble.""",*Even slight differences can cause major problems.
378,白メリヤスウエス 中古生地,"""White jersey rags made from used fabric""","White Knitwear Ragcloth, Made from Used Fabric"
380,ウエス製品の中で優れた製品です。,"""It is an excellent product among the wiper products.""",An excellent product even among ragcloths.
382,カット済。,"""Cut"" or ""Already cut.""",Pre-cut.
390,※用途以外に使用しないでください。,"""Please do not use for purposes other than intended.""",*Use only for the intended purpose.
393,ケミカル製品と接触することによって色落ちが発生する可能性がありますのでケミカル品のご使用をお避けください。,"There is a possibility of discoloration occurring due to contact with chemical products, so please avoid using chemical products.","Avoid using together with chemical products, as contact with them may cause the color to fade."
395,食品に触れる用途には使用しないでください。,"""Do not use for applications that involve contact with food.""",Do not use for applications where the product comes in contact with foodstuffs.
398,※ケミカル製品と接触することによって色落ちが発生する可能性がありますのでケミカル品のご使用をお避けください。,"※ There is a possibility of color fading due to contact with chemical products, so please avoid using chemical items.","*Please avoid using together with chemical products, as contact with them can cause the color to fade."
399,ハンドクリーナー 工業用 オレンジエキス保湿成分配合 スクラブ入り,Industrial Hand Cleaner with Orange Extract Moisturizing Ingredients and Scrubbing Particles,"Industrial hand cleaner, including orange extract moisturizing agents and exfoliant"
409,異物感が残る場合は、眼科医にご相談ください。,"If you continue to feel a foreign body sensation, please consult an ophthalmologist.","If a strange sensation persists, consult an eye specialist."
421,※使用後の本製品の廃棄は、お住まいの各自治体で定められたゴミ廃棄方法に従ってください。,Please dispose of this product after use in accordance with the waste disposal methods specified by the local government in your area.,"*After use, please dispose of this product in accordance with the proper garbage disposal methods specified by your local government."
422,※袋を閉じる際は結束バンドでしっかり結んでください。,"When closing the bag, please make sure to securely fasten it with a tie band.","*When closing the bag, tie it tightly with a zip tie."
428,※本来の用途以外には使用しないでください。,"""Please do not use for purposes other than the intended use.""",*Please do not use it for other than its intended purpose.
434,※フタが開けにくい際はフタを少し潰す様に押すと開けやすくなります。,"*If the lid is difficult to open, it will be easier to open if you press it slightly to crush it.*","*If you experience difficulty in opening the lid, pressing down on it slightly will make it easier to open."
435,※内容物、洗浄廃液や容器を廃棄する場合は、都道府県の許可を受けた専門の廃棄物処理業者に委託してください。,"※ When disposing of the contents, cleaning waste liquid, or containers, please entrust the task to a specialized waste disposal contractor authorized by the prefecture.","*When disposing the contents, detergent wastewater or container, please use the service of a specialised waste disposal company authorized by the respective prefecture."
438,透明度があり加工後も封入物の文字をクッキリ読めます。,"""The transparency allows you to clearly read the text of the enclosed items even after processing.""",The film's transparency allows clear readability of the covered contents even after application.
439,※機器には接着加工してあるシール部分から挿入してください。,Please insert through the sealed part that has been adhered to the device.,*Please insert it into the device from the adhesive part of the film.
443,※一度加工したシートは再生不能となります。,"""※ Once the sheet has been processed, it cannot be restored.""",*The sheet is non-reusable after being processed.
450,※工業用の薬品やアルコール、石油製品などには絶対に使用しないで下さい。,"Please do not use this with industrial chemicals, alcohol, petroleum products, etc.","*DO NOT use for industrial chemicals, alcohol, or oil-based products."
451,※熱湯は入れないで下さい。,*Please do not pour boiling water.*,*Please do not use it for boiling water.
455,中身が漏れる恐れがございます。,There is a risk of contents leaking.,There's a risk of the contents leaking.
459,店頭でフックなどに吊り下げることができる便利な穴付きです。,"""It has a convenient hole that allows it to be hung on hooks at the store.""",Comes equipped with a hole for easy hanging from a hook when being displayed in storefront.
460,フック用穴と本体の間はミシン目入りなので、フックに掛けて本体を引っ張れば穴の下から切れて使える構造になっています。,"The area between the hole for the hook and the main body has perforations, so when you hang it on a hook and pull the main body, it tears off below the hole, making it usable.","The hook hole and the bag are separated by a perforation, which allows for easy tearing and detachment of the bag by simply pulling downward."
461,表面にエンボス加工入り。,"""Embossed on the surface.""",Surface with embossing process.
464,※幼児や子供がかぶって遊ぶと窒息などの危険がありますのでご注意ください。,Please be aware that there is a risk of suffocation if infants or children wear this as a plaything.,"*Caution, toddlers and children may suffocate if they place the bags over their heads to play."
465,※高温多湿を避け、火の気のない場所で保管してください。,"Please store in a cool, dry place away from high temperatures, humidity, and fire.","*Please avoid storing it in high temperature, humid, or flammable environments."
481,OPPテープ 透明色,"OPP tape, transparent color","Oriented polypropylene tape, transparent"
482,梱包用テープとして、価格も安く強度も強い為、良く使われています。,"As a packaging tape, it is often used because it is inexpensive and strong.","Commonly used as packing tape, due to its low cost and high durability."
487,※梱包用途以外の使用は避けてください。,※ Please avoid using for purposes other than packaging.,*Please do not use it for other than its intended purpose.
488,貼る面を損傷する場合がございます。,"""The surface to which it is applied may be damaged.""",It may damage the adhering surface.
492,※物性は測定値であり、規格値或いは保証値でありません。,※The physical properties are measured values and are not standard or guaranteed values.,*The properties show the measured value; they do not represent any standard or guarantee value.
499,※内容物、洗浄廃液や容器を廃棄する場合は、都道府県の許可を受けた専門の廃棄物処理業者に委託してください。,"※ When disposing of the contents, cleaning waste liquid, or containers, please entrust the task to a professional waste disposal contractor authorized by the prefecture.","*When disposing of the contents, detergent drain, or container, please use the service of a specialised waste disposal company certified by the respective prefecture."
