index,original,zero_shot_translation,improved_translation
31,賃貸アパート、マンション、一戸建て。,"Rental apartments, condominiums, and detached houses.","Rental apartments, condos, and detached houses."
33,地元に密着・写真は最大30枚・無料の物件査定も実施中。,Locally focused - Up to 30 photos - Free property valuation available.,Local experts - See up to 30 photos - Free property valuation available.
36,お急ぎ便が使い放題。,Unlimited access to express delivery.,Unlimited use of express delivery.
40,ポイントが貯まる・スマホアプリあり・数億種の品揃え。,"Earn points, has a smartphone app, and offers hundreds of millions of products.","Earn points, use our smartphone app, and choose from millions of products."
45,あの人気漫画を今こそ一気読み。,Now is the perfect time to binge-read that popular manga.,Now's a great time to read that popular manga all at once.
46,全作品試し読みアリ・買うよりお得。,Try before you buy with full previews - more value than buying!,Read full previews before you buy—a better value than purchasing!
50,クチコミ情報も満載です。,It's packed with word-of-mouth information.,It's full of word-of-mouth reviews.
51,タイムセールや限定プランも。,"Also, time-limited sales and exclusive plans.",Includes time-limited sales and exclusive plans.
52,自宅で簡単予約・ビジネスホテルが充実・プラン充実・会員登録でポイント貯まる。,"Easy booking from home, extensive selection of business hotels, wide variety of plans, earn points with membership registration.","Easy booking from home, a wide selection of business hotels, a wide range of plans, and earn points by registering for membership."
54,端子台 貫通をこの価格で買える通販モノタロウ。,Terminal blocks (feed-through) available for purchase at this price on MonotaRO online store.,Feed-through terminal blocks available at this price on MonotaRO online store.
56,端子台 貫通の通販。,"Terminal block, feed-through type, online shopping.",Online shopping for feed-through terminal blocks.
59,紀伊御坊駅の格安ホテル - 【じゃらん】公式サイト,Budget Hotels near Kii-Gobo Station - [Jalan] Official Website,Cheap hotels near Kii-Gobo Station - [Jalan] Official Website
62,【紀伊御坊駅】のホテル・旅館を予約するならじゃらん。,"If you're booking a hotel or ryokan near Kii-Gobo Station, use Jalan.","For hotels and ryokan near Kii-Gobo Station, book with Jalan.net."
63,じゃらん限定・格安プランも充実。,Jalan exclusive - Plenty of affordable plans available!,Jalan exclusive - Many affordable plans are available.
64,会員登録でポイント貯まる・当日予約OKの宿多数・お得なクーポン配布中。,"Earn points with membership registration, many hotels offer same-day booking, and special coupons are available.","Earn points by registering for a membership, many hotels offer same-day booking, and special coupons are available."
65,入力簡単60秒で無料査定依頼 - 路線価・地価の相場を調べるなら,"Easy Input, Free Appraisal Request in 60 Seconds - If you want to check route values and land price market rates.","Easy input, free appraisal request in 60 seconds—check route values and land price market rates here."
66,マンション・土地・一戸建ての無料売却査定が可能。,"Free appraisal for selling your apartment, land, or detached house is available.","Get a free appraisal for your apartment, land, or detached house."
67,エリアから価格相場の把握ができます。,You can get an idea of price ranges from the area.,You can understand price ranges in the area.
68,不動産売却のお悩みはプロが解決！,Real estate sale troubles? Let a pro solve them!,Trouble selling your real estate? Let a professional solve it!
71,マンションの売却・査定・最適な売却プランをご提案・売主様へ安心サポート。,"Sale of apartments, appraisal, proposal of optimal sales plan, and reliable support for sellers.","Apartment sales, appraisal, optimal sales plan proposals, and worry-free support for sellers."
75,ダイキン エアコン お客様 センター見つけましょう。,Let's find the Daikin air conditioner customer center.,Let's find the Daikin air conditioner customer support center.
78,来場予約キャンペーン実施中 - 都市型狭小3階建てモデルハウス,Visiting Reservation Campaign in Progress - Urban Compact 3-Story Model House,Now Accepting Reservations for Our Urban Compact 3-Story Model House
83,ITツールを駆使し業務コストを削減し、リーズナブルな価格でのサービス提供を実現,"By fully utilizing IT tools, we reduce operational costs and achieve service provision at reasonable prices.","By fully utilizing IT tools, we reduce business costs and achieve service provision at reasonable prices."
92,どうしても今すぐお金が必要 - 【厳選3社】即日キャッシング,I desperately need money right now - [Carefully Selected Top 3] Same-day Cash Loans,I urgently need money right now - [Top 3 Picks] Same-Day Cash Loans
98,レストラン予約するなら一休.com、お店の口コミも掲載。,"If you're booking a restaurant, use Ikkyu.com. They also have restaurant reviews.","For restaurant reservations, Ikkyu.com also has restaurant reviews."
102,幸せウエディングを叶える情報満載／結婚式準備はゼクシィ。,Packed with information to make your dream wedding a reality / Wedding preparations? Zexy.,Full of information to make your dream wedding a reality / Wedding preparation? Zexy.
107,ゴールドカードはメリットばかり！,Gold cards are nothing but benefits!,Gold cards are full of benefits!
110,自宅用のホームルーターをお探しの方必見！,A must-read for those looking for a home router for home use!,"If you're looking for a Wi-Fi router for home use, this is a must-read!"
112,置くだけで使えるWiFiも！,Ready-to-use WiFi that you just set down!,Instant Wi-Fi—just set it down!
115,蒲田イン ソーシャル- トリップアドバイザー,Kamata Inn Social - Tripadvisor,Kamata Inn Social - Trip Advisor
119,ショートが似合うか不安な方でもしっかりとカウンセリングして似合わせをいっしょに考えます。,"Even if you're worried about whether short hair will suit you, we'll provide thorough counseling and work together to find a style that suits you.","Even if you're worried about whether short hair will suit you, we'll provide thorough counseling and collaborate with you to create a flattering style."
124,ロハコ限定、くらしになじむデザインが多数。,"LOHACO exclusive, with many designs that blend into your everyday life.","Exclusively at LOHACO, discover numerous designs that seamlessly complement your daily life."
125,最短翌日お届け、PayPay決済対応。,"Delivered as early as the next day, supports PayPay payment.",Get next-day delivery and pay with PayPay.
127,都心へのマルチアクセスを叶えるタワーレジデンス。,A tower residence offering multi-access to the city center.,A tower residence with easy access to the city center.
128,4路線利用できる‘目黒’駅に誕生。,"Born at 'Meguro' Station, accessible by 4 train lines.","Located at Meguro Station, accessible by four train lines."
129,野村不動産グループ×JR東日本グループ開発エリア【MEGURO MARC】の32階建タワー。,Nomura Real Estate Group x JR East Group Development Area [MEGURO MARC]'s 32-story tower.,"The 32-story MEGURO MARC tower, a development by Nomura Real Estate Group and JR East Group."
132,続くから変われる、人生を変える英会話の力をあなたへ。,Continuing allows you to change; giving you the power of English conversation to change your life.,"By continuing, you can transform your life with the power of English language skills."
136,クラウド電話を1内線200円から - 【公式】サテライトオフィス,Cloud phone from 200 yen per extension - [Official] Satellite Office,Cloud phone starting at ¥200 per extension - Satellite Office (Official)
145,glovesdepoを探すなら、日本最大級通販ショップ楽天市場。,"If you're looking for glovesdepo, Rakuten, one of Japan's largest online shopping sites.","If you're looking for GlovesDepo, check out Rakuten, one of the largest online shopping sites in Japan."
148,目黒 恵比寿 五反田エリアで顧問弁護士をお探しなら目黒国際法律事務所。,"If you are looking for a consulting lawyer in the Meguro, Ebisu, or Gotanda area, Meguro International Law Office is the place to go.","If you are looking for an advisor lawyer in the Meguro, Ebisu, or Gotanda area, Meguro International Law Office can help you."
151,若手弁護士がフットワーク軽く迅速に対応します。,Young lawyers provide prompt service with agility.,Our young lawyers provide quick and agile service.
152,20代～シニアまで申込める保険 - 【生命保険】はなさく生命,Insurance for ages 20s to seniors - [Life Insurance] Hanasakuseimei,Insurance for adults of all ages - [Life Insurance] Hanasakuseimei
161,素肌が喜ぶ、FOOD(食べもの)から生まれた化粧品。,Cosmetics born from FOOD(food) that your bare skin will love.,Cosmetics made from food that your skin will love.
162,食べてカラダにいいFOODをお肌にも！,Good-for-you food to eat is also good for your skin!,Healthy food for your body is also good for your skin!
164,特別セールやキャンペーンをお見逃しなく。,Don't miss out on special sales and campaigns.,Be sure not to miss our special sale and campaign.
165,韓国で人気のスキンフード・韓国コスメのスキンフード・SKINFOOD公式通販。,Popular Skinfood and Korean Cosmetics Skinfood in Korea - SKINFOOD Official Online Store.,"skinfood, popular Korean cosmetics from SKINFOOD in Korea – SKINFOOD Official Online Store."
166,【広島】ホットヨガTOP3 - 人気No1のホットヨガスタジオ,[Hiroshima] Top 3 Hot Yoga - #1 Most Popular Hot Yoga Studio,[Hiroshima] Top 3 hot yoga studios - Number 1 most popular
169,お得なキャンペーン中,Special promotion ongoing.,Ongoing special promotion.
175,活力サポートサプリ・テストフェン配合・スーパーマカ配合。,Energy support supplement with Testofen and Super Maca.,Vitality supplement with Testofen and Super Maca.
177,【東京23区】で一戸建て探しならオープンハウス。,"If you're looking for a detached house in Tokyo's 23 wards, Open House is the place to go.","For detached house listings in Tokyo's 23 wards, consider Open House."
180,厳選した大泉学園の一戸建てを掲載中。,Carefully selected detached houses in Oizumi-gakuen are listed.,Carefully selected single-family homes in Oizumi-gakuen are listed.
186,宿泊&航空券をあんしん予約。,Book your accommodation & flights with confidence.,Book flights and accommodation with peace of mind.
196,モテ髪ヘアカタログ・人気サロンをネット予約・ネット予約でポイントGet。,"Popular Hairstyle Catalog for Attracting Attention, Online Booking for Popular Salons, Get Points with Online Booking.","Browse Popular Hairstyle Catalogues to Attract Attention, Book Popular Salons Online, and Earn Points!"
198,クチコミ比較、最安値予約、現地払い。,"Reviews comparison, lowest price booking, pay at location.","Compare reviews, book at the lowest price, pay at the property."
204,全国のビューティーサロンの検索、空席確認、ネット予約。,"Search, check availability, and make online reservations for beauty salons nationwide.","Find, check availability, and book online at beauty salons across the country."
206,理想の照明がない… - 取扱いブランド数、日本最大級,No ideal lighting...,Can't find the ideal lighting? We offer the largest selection of brands in Japan!
209,各種カード、ポイント還元・日本最大級2万点の品ぞろえ。,"Various cards accepted, point rewards, and Japan's largest selection of 20,000 items.","We accept various cards, earn points, and offer Japan's largest selection of 20,000 items."
214,"【公式】ヴァージンクリニック - 全身医療脱毛5回88,000円／京都","[Official] Virgin Clinic - Full Body Medical Hair Removal 5 Sessions for 88,000 Yen / Kyoto","[Official] Virgin Clinic - Full body medical hair removal: 5 sessions for ¥88,000 / Kyoto"
217,追加料金も0円で安心,"No additional fees, so you can rest assured.","No extra charge, for your peace of mind."
218,幕張本郷 口コミ第1位の整体院 - 多くの専門家が絶賛する技術,Makuharihongo's #1 rated chiropractic clinic - Technique highly praised by many experts.,The top-rated osteopathic clinic in Makuharihongo - Technique highly praised by many experts.
232,料金も時間も節約しよう。,Let's save money and time.,Let's save both time and costs.
234,お気に入りの宿を特別料金で。,Your favorite hotels at special prices.,Special prices on your favorite hotels.
238,自分で淹れたおいしい一杯を味わいながら、プロの技をマスター。,Master the skills of a pro while savoring a delicious cup you brewed yourself.,Refine your professional skills while savoring a delicious cup you brewed yourself.
244,25歳以下または対象期間内に引越した方でAirターミナル5を購入・契約し、開通後アンケート回答で,"Those who are 25 years old or younger, or who moved within the eligible period, purchased and contracted for Air Terminal 5, and completed the post-installation questionnaire.","If you are 25 years old or younger, or moved during the eligibility period, and purchased and subscribed to Air Terminal 5 after completing the installation questionnaire."
246,3層タイプのプリーツマスクで、オメガ形状のプリーツが大きく広がり、鼻や口を圧迫しにくく、呼吸しやすくなっています。,"A three-layer pleated mask with an omega-shaped pleat design that expands widely, making it less likely to press against the nose and mouth, and easier to breathe.","This three-layer pleated mask features an omega-shaped pleat design that expands significantly, reducing pressure on the nose and mouth for enhanced breathability."
248,10枚/袋×2袋で包装しており、持ち運び便利な仕様です。,Packaged as 10 sheets/bag x 2 bags for convenient portability.,"Packaged in two bags, each containing 10 sheets, for convenient portability."
249,ゴム紐は6mmの平ゴム形状なので、耳への当たりが柔らかく、よくある耳の痛みも軽減してくれます。,"The elastic band is a 6mm flat elastic, so it's gentle on the ears and reduces common ear pain.","Because the 6mm flat elastic band is soft against the ears, it reduces common ear discomfort."
263,※A4 5冊入の商品に掲載の画像は新しいパッケージの商品です。,The image shown for the A4 5-book set is the new packaging.,The image shown is of the new packaging for the A4 5-book set.
264,以前のパッケージ商品の用紙と仕様は同一です。,The paper and specifications are the same as the previous packaged product.,The paper and specifications are the same as in the previous packaging.
266,箱に記載されている注文コードと500枚入の包装紙記載の注文コードは異なります。,The order code on the box and the order code on the package of 500 wrapping papers are different.,The order code on the box differs from the order code on the 500-sheet wrapping paper package.
267,(500枚入の1冊で販売するためです),Because they are sold in packs of 500 sheets.,This is because they are sold as a single pack of 500 sheets.
270,ブレーキライニングやブレーキドラムや機械部品等に付着したオイルやグリース等の汚れをきれいに落としブレーキ装置から発生する様々な粉塵を空気中に飛散させることなく、油脂類やカーボン等の汚れを素早くきれいに落とします。,"Quickly and cleanly removes oil, grease, and other dirt adhering to brake linings, brake drums, and mechanical parts, and quickly and cleanly removes oil stains and carbon deposits without scattering various types of dust generated from brake devices into the air.","It quickly and cleanly removes oil, grease, and other dirt from brake linings, brake drums, and mechanical parts, and rapidly eliminates oil and carbon deposits without scattering dust generated from brake devices into the air."
271,又、オゾン層の破壊や環境汚染の原因となるフロン及びトリクロロエタンを一切含まない有機溶剤中毒予防規則適用外の洗浄剤です。,"Also, this is a cleaning agent that does not contain any ozone-depleting or environmentally polluting chlorofluorocarbons or trichloroethane, and is not subject to the Ordinance on Prevention of Organic Solvent Poisoning.","Also, this cleaning agent contains no ozone-depleting or environmentally polluting chlorofluorocarbons or trichloroethane and is not subject to the Industrial Safety and Health Act Ordinance on Prevention of Organic Solvent Poisoning."
274,缶の逆さ使用OK。,Inverted can use OK.,Can be used upside down.
276,ニトリルゴム手袋 極薄 粉なし ブルー色 100枚入,"Nitrile rubber gloves, extra thin, powder-free, blue, 100 count","Nitrile rubber gloves, extra thin, powder-free, blue, pack of 100."
277,柔らかく手にピッタリフィットするので、長時間の細かな作業に適しています。,"Because they are soft and fit perfectly in your hand, they are suitable for detailed work over long periods of time.","Because they are soft and fit your hand perfectly, they are suitable for detailed work over long periods of time."
279,便利な左右兼用タイプのためムダなくお使いいただけます。,"Because it is a convenient ambidextrous type, you can use it without waste.","As it is a convenient, ambidextrous type, you can use it efficiently."
283,※体質によっては、かゆみ、かぶれ、発疹等をおこすことがあります。,"Depending on your constitution, it may cause itching, rash, or other skin irritations.","Depending on your physical condition, it may cause itching, rash, or other skin irritations."
286,膨潤、浸透、老化することがあります。,"May swell, permeate, or age.","It may swell, permeate, or age."
289,※爪先、刃物や尖ったもの等で傷をつけないよう注意してください。,"Please be careful not to scratch the surface with your nails, blades, sharp objects, etc.","Avoid scratching the surface with your fingertips, blades, or other sharp objects."
290,水漏れの原因になります。,Can cause water leaks.,This can cause water leaks.
295,サイズが一目瞭然のデザイン。,A design where the size is immediately obvious.,A design where the size is obvious at a glance.
299,※電池のアルカリ液が目に入ったときは失明などのおそれがあるので、すぐに多量のきれいな水で洗い流し、 医師の治療を受ける。,"If alkaline battery fluid gets into your eyes, there is a risk of blindness, so immediately flush them with plenty of clean water and seek medical attention.","If alkali fluid from a battery gets into your eyes, there is a risk of blindness, so immediately flush them with plenty of clean water, and seek medical attention."
306,※この電池は充電式でないので、充電すると液漏れ、発熱、破裂のおそれがある。,"Since this battery is not rechargeable, attempting to charge it may cause leakage, heat generation, or rupture.","Because this battery is not rechargeable, charging it may cause leakage, heat generation, or rupture."
315,着け具合も柔らかくフィット感のある軍手です。,These work gloves are soft to wear and have a snug fit.,These work gloves are soft and fit snugly.
318,※回転体を伴う機械作業では、使用しないでください。,Do not use when performing machine work involving rotating parts.,Do not use during machine operations involving rotating machinery.
321,マスキングテープ 高品質 和紙基材,"Masking tape, high quality, washi paper base",High-quality masking tape with a washi base.
323,のり残りが少なくタテ裂けが起こりにくいです。,Leaves little adhesive residue and is resistant to tearing vertically.,It leaves little adhesive residue and resists longitudinal tearing.
324,※被着体、塗料の種類によっては貼り跡やのり残りが発生する場合がありますので、問題がないことを確かめてからご使用下さい。,Please test in an inconspicuous area to ensure no adhesive residue or damage occurs as some surfaces and paint types may be affected.,"As some surfaces and paint types may be affected, test in an inconspicuous area first to check for adhesive marks or residue and potential damage."
329,※ティシューは水に溶けにくいため、水洗トイレには流さないでください。,Please do not flush tissues down the toilet as they do not dissolve easily in water.,Please do not flush facial tissues down the toilet as they don't dissolve well in water.
331,※引火の原因になりますので、火気の近くに置かないでください。,"To prevent ignition, do not place near open flames or sources of heat.","To prevent fire, do not place near sources of ignition."
334,プロユーザーにも安心してご使用いただける品質の、弱粘着タイプ養生テープです。,This is a low-tack masking tape with a quality that professional users can rely on.,This is a low-tack masking tape of a quality suitable for professional users.
339,手で簡単にカットできる養生用ポリエチレンクロステープで耐候性・耐水性に優れています。,This is a polyethylene cloth tape for temporary use that can be easily cut by hand and has excellent weather resistance and water resistance.,"This polyethylene cloth tape, easily cut by hand, offers excellent weather and water resistance."
340,再はくり性が良好です。,It has good re-releasing properties.,It has good repositionability.
341,※貼る対象物や使用環境によっては、粘着力等数値通りの値が出ない場合がございます。,Please note that the adhesive strength and other values may not meet the stated specifications depending on the object to which the product is applied and the usage environment.,Note that the adhesive strength and other values may not achieve the stated values depending on the object and environment.
349,※養生後、テープを早く剥すと破断する恐れがありますので、ゆっくり剥してください。,"After curing, peeling the tape off quickly may cause tearing, so please peel it off slowly.","After application, removing the tape quickly may cause tearing, so please peel it off slowly."
350,※粘着剤特有のにおいがありますので、換気の良い所でのご使用をお勧めします。,"※Due to the adhesive's characteristic odor, it is recommended to use it in a well-ventilated area.","※Due to the adhesive's odor, it is recommended to use it in a well-ventilated area."
351,※被着体と養生期間によっては、被着体を汚染・損傷する場合がありますので、ご使用前にお確かめください。,Please test before use as certain substrates and curing periods may result in staining or damage to the substrate.,"Test before use, as some adherends and curing times may stain or damage the surface."
356,従来品に比べ耐候性がアップしました。,"Compared to the conventional product, the weather resistance has been improved.","Compared to the conventional product, the weatherability has been improved."
360,保管する場合は密閉することを推奨します。,Sealing is recommended for storage.,Sealing is recommended when storing.
362,※一度ご使用された製品を再度ご使用にされることで、結束力不足により不具合が発生する可能性があります。,Reusing a product that has already been used may cause defects due to insufficient binding force.,Reusing a product that has already been used may cause defects due to insufficient adhesion.
365,※取り付けの際には現車取り付け部に真っ直ぐ取り付け作業を行ってください。,"When installing, make sure to install it straight onto the mounting area of the actual vehicle.","When installing, ensure you install it straight onto the mounting location."
368,現在販売している商品は品質確認済になりますのでご安心してご使用下さい。,"The products currently being sold have had their quality checked, so please use them with confidence.","The products currently being sold have been quality checked, so please use them with confidence."
369,※当製品は交換作業を整備業者へ依頼して行う事をおすすめします。,We recommend that you have a professional mechanic perform the replacement work for this product.,We recommend having a certified technician perform the replacement of this product.
370,個人で交換作業を行った場合は補償出来ない場合もございます。,We may not be able to provide compensation if you performed the replacement work yourself.,We may not be able to provide compensation if you did the work yourself.
371,※ネジ寸法が各オイルフィルターで異なっている為、高さや外径などが同じフィルターに見えても取り付け前に再度、車種とネジ寸法をご確認ください。,"※Because screw dimensions differ for each oil filter, even if filters appear to be the same in height or outer diameter, please reconfirm the vehicle model and screw dimensions before installation.","※Because screw dimensions differ for each oil filter, double-check the vehicle model and screw dimensions before installation, even if oil filters seem similar in height or outer diameter."
373,※わずかな違いでも大きなトラブルになる場合がございます。,Even slight differences can lead to major problems.,Even minor differences can cause significant problems.
378,白メリヤスウエス 中古生地,"White knitted wiping cloths, used fabric",used white cotton rags
380,ウエス製品の中で優れた製品です。,It is an excellent product among WES products.,It is an excellent product among wiping cloths.
382,カット済。,Cut済 = Already cut.,Pre-cut.
390,※用途以外に使用しないでください。,Do not use for purposes other than those specified.,Use only as directed.
393,ケミカル製品と接触することによって色落ちが発生する可能性がありますのでケミカル品のご使用をお避けください。,Please avoid using chemical products as contact with them may cause discoloration.,"Please avoid using chemical substances, as contact with chemical products may cause discoloration."
395,食品に触れる用途には使用しないでください。,Do not use for food contact applications.,Do not use in applications where the item touches food.
398,※ケミカル製品と接触することによって色落ちが発生する可能性がありますのでケミカル品のご使用をお避けください。,Please avoid using chemical products as contact with them may cause discoloration.,"Please avoid using chemical cleaning agents, as contact with them may cause discoloration."
399,ハンドクリーナー 工業用 オレンジエキス保湿成分配合 スクラブ入り,Industrial hand cleaner with orange extract moisturizer and scrub.,Industrial hand cleaner with moisturizing orange extract and scrub.
409,異物感が残る場合は、眼科医にご相談ください。,"If a foreign body sensation remains, please consult an ophthalmologist.","If you continue to feel a foreign object in your eye, please consult an ophthalmologist."
421,※使用後の本製品の廃棄は、お住まいの各自治体で定められたゴミ廃棄方法に従ってください。,Please dispose of this product according to the waste disposal methods defined by your local municipality.,please dispose of this product according to your local municipality's waste disposal guidelines.
422,※袋を閉じる際は結束バンドでしっかり結んでください。,"When closing the bag, be sure to tie it securely with a cable tie.","When closing the bag, make sure to tie it securely with a zip tie."
428,※本来の用途以外には使用しないでください。,Do not use for purposes other than its intended use.,Do not use this product for anything other than its intended purpose.
434,※フタが開けにくい際はフタを少し潰す様に押すと開けやすくなります。,"If the lid is difficult to open, pressing down on it slightly as if to crush it a little can make it easier to open.","If the lid is difficult to open, depress it slightly to ease opening."
435,※内容物、洗浄廃液や容器を廃棄する場合は、都道府県の許可を受けた専門の廃棄物処理業者に委託してください。,"When disposing of the contents, cleaning waste fluid, or containers, please entrust disposal to a specialized waste disposal contractor licensed by the prefectural government.","When disposing of the contents, waste fluid from cleaning, or containers, please ensure disposal is handled by a specialized waste disposal contractor licensed by the prefectural government."
438,透明度があり加工後も封入物の文字をクッキリ読めます。,It has transparency and allows you to clearly read the enclosed text even after processing.,Its transparency allows for clear reading of the enclosed text even after processing.
439,※機器には接着加工してあるシール部分から挿入してください。,Please insert from the seal area that has been bonded to the device.,Please insert the item starting at the adhesive seal on the device.
443,※一度加工したシートは再生不能となります。,"Once the sheet has been processed, it cannot be restored.","Once modified, the sheet cannot be restored."
450,※工業用の薬品やアルコール、石油製品などには絶対に使用しないで下さい。,"Do not use with industrial chemicals, alcohol, petroleum products, etc. under any circumstances.","Do not use with industrial chemicals, alcohol, or petroleum products."
451,※熱湯は入れないで下さい。,Please do not pour boiling water.,Do not use boiling water.
455,中身が漏れる恐れがございます。,The contents may leak.,The content may leak.
459,店頭でフックなどに吊り下げることができる便利な穴付きです。,Convenient hole for hanging on hooks or other fixtures in stores.,Features a convenient hole for hanging on store display hooks.
460,フック用穴と本体の間はミシン目入りなので、フックに掛けて本体を引っ張れば穴の下から切れて使える構造になっています。,"The area between the hanging hole and the main body is perforated, so you can hang it on a hook and pull the main body to tear it off from below the hole.","With perforations between the hook hole and the body, you can hang the product on a hook and tear it off below the hole by pulling on the body."
461,表面にエンボス加工入り。,Embossed surface.,Features an embossed surface.
464,※幼児や子供がかぶって遊ぶと窒息などの危険がありますのでご注意ください。,Please be careful as there is a risk of suffocation if infants or children play with this by putting it on their heads.,Warning: Choking hazard. Do not allow infants or children to play with this by putting it on their heads.
465,※高温多湿を避け、火の気のない場所で保管してください。,"Please store in a cool, dry place away from fire.","Store in a cool, dry place away from fire."
481,OPPテープ 透明色,Clear OPP tape,Transparent OPP tape
482,梱包用テープとして、価格も安く強度も強い為、良く使われています。,Packing tape is often used because it's inexpensive and strong.,Packing tape is a popular choice due to its low cost and high strength.
487,※梱包用途以外の使用は避けてください。,Please avoid using for purposes other than packaging.,Please do not use for purposes other than packaging.
488,貼る面を損傷する場合がございます。,The surface may be damaged when applying/attaching it.,Applying it may damage the surface.
492,※物性は測定値であり、規格値或いは保証値でありません。,The physical properties are measured values and are not standard or guaranteed values.,The physical properties are measured data and are not standard or guaranteed.
499,※内容物、洗浄廃液や容器を廃棄する場合は、都道府県の許可を受けた専門の廃棄物処理業者に委託してください。,"When disposing of contents, cleaning waste liquid, and containers, please entrust the disposal to a specialized waste disposal contractor licensed by the prefecture.","When disposing of contents, waste liquid after cleaning, and containers, they should be disposed of by a specialized waste disposal contractor licensed by the prefecture."
