index,original,single_agent_translation,single_agent_improved_translation
68,不動産売却のお悩みはプロが解決！,Real estate sale troubles? Let a pro solve them!,Real estate sale problems? Let a professional solve them!
71,マンションの売却・査定・最適な売却プランをご提案・売主様へ安心サポート。,"Sale of apartments, appraisal, proposal of optimal sales plan, and reliable support for sellers.","Sale of apartments, appraisals, optimal sales plan proposals, and reliable support for sellers."
75,ダイキン エアコン お客様 センター見つけましょう。,Let's find the Daikin air conditioner customer center.,Let's find the Daikin Air Conditioner Customer Center.
78,来場予約キャンペーン実施中 - 都市型狭小3階建てモデルハウス,Visiting Reservation Campaign in Progress - Urban Compact 3-Story Model House,Visiting Reservation Campaign Underway - Urban Compact 3-Story Model Home
83,ITツールを駆使し業務コストを削減し、リーズナブルな価格でのサービス提供を実現,"By fully utilizing IT tools, we reduce operational costs and achieve service provision at reasonable prices.","By fully utilizing IT tools, we reduce operational costs, enabling us to provide services at reasonable prices."
92,どうしても今すぐお金が必要 - 【厳選3社】即日キャッシング,I desperately need money right now - [Carefully Selected Top 3] Same-day Cash Loans,I desperately need money right now - Top 3 carefully selected same-day cash loans.
98,レストラン予約するなら一休.com、お店の口コミも掲載。,"If you're booking a restaurant, use Ikkyu.com. They also have restaurant reviews.","If you're booking a restaurant, use Ikkyu.com, which also features restaurant reviews."
102,幸せウエディングを叶える情報満載／結婚式準備はゼクシィ。,Packed with information to make your dream wedding a reality / Wedding preparations? Zexy.,Packed with information to make your dream wedding come true! Wedding planning? Zexy.
107,ゴールドカードはメリットばかり！,Gold cards are nothing but benefits!,Gold cards have mostly benefits!
110,自宅用のホームルーターをお探しの方必見！,A must-read for those looking for a home router for home use!,Must-read for anyone looking for a home router!
112,置くだけで使えるWiFiも！,Ready-to-use WiFi that you just set down!,Ready-to-use WiFi—just set it down!
115,蒲田イン ソーシャル- トリップアドバイザー,Kamata Inn Social - Tripadvisor,Kamata Inn Social - TripAdvisor
119,ショートが似合うか不安な方でもしっかりとカウンセリングして似合わせをいっしょに考えます。,"Even if you're worried about whether short hair will suit you, we'll provide thorough counseling and work together to find a style that suits you.","Even if you're unsure whether short hair will suit you, we'll provide thorough consultation and work together to find a flattering style."
124,ロハコ限定、くらしになじむデザインが多数。,"LOHACO exclusive, with many designs that blend into your everyday life.","LOHACO exclusive, featuring a wide selection of designs that complement your lifestyle."
125,最短翌日お届け、PayPay決済対応。,"Delivered as early as the next day, supports PayPay payment.","Delivered the next day as early as possible, supports PayPay payments."
127,都心へのマルチアクセスを叶えるタワーレジデンス。,A tower residence offering multi-access to the city center.,A tower residence offering convenient access to the city center.
128,4路線利用できる‘目黒’駅に誕生。,"Born at 'Meguro' Station, accessible by 4 train lines.","Available at 'Meguro' Station, accessible by 4 train lines."
129,野村不動産グループ×JR東日本グループ開発エリア【MEGURO MARC】の32階建タワー。,Nomura Real Estate Group x JR East Group Development Area [MEGURO MARC]'s 32-story tower.,Nomura Real Estate Group and JR East Group present the 32-story tower in the [MEGURO MARC] development area.
132,続くから変われる、人生を変える英会話の力をあなたへ。,Continuing allows you to change; giving you the power of English conversation to change your life.,"Keep learning, keep changing: English conversation skills that can transform your life."
136,クラウド電話を1内線200円から - 【公式】サテライトオフィス,Cloud phone from 200 yen per extension - [Official] Satellite Office,Cloud phone service from 200 yen per extension - [Official] Satellite Office
145,glovesdepoを探すなら、日本最大級通販ショップ楽天市場。,"If you're looking for glovesdepo, Rakuten, one of Japan's largest online shopping sites.","If you're looking for glovesdepo, check out Rakuten, one of Japan's largest online shopping sites."
148,目黒 恵比寿 五反田エリアで顧問弁護士をお探しなら目黒国際法律事務所。,"If you are looking for a consulting lawyer in the Meguro, Ebisu, or Gotanda area, Meguro International Law Office is the place to go.","If you are looking for a consulting lawyer in the Meguro, Ebisu, or Gotanda area, consider Meguro International Law Office."
151,若手弁護士がフットワーク軽く迅速に対応します。,Young lawyers provide prompt service with agility.,Young lawyers provide prompt and agile service.
152,20代～シニアまで申込める保険 - 【生命保険】はなさく生命,Insurance for ages 20s to seniors - [Life Insurance] Hanasakuseimei,Insurance for ages 20 to senior - [Life Insurance] Hanasaku Life Insurance
161,素肌が喜ぶ、FOOD(食べもの)から生まれた化粧品。,Cosmetics born from FOOD(food) that your bare skin will love.,Cosmetics made from food that your bare skin will love.
162,食べてカラダにいいFOODをお肌にも！,Good-for-you food to eat is also good for your skin!,"Good for your body, good for your skin!"
164,特別セールやキャンペーンをお見逃しなく。,Don't miss out on special sales and campaigns.,Don't miss out on special offers and promotions.
165,韓国で人気のスキンフード・韓国コスメのスキンフード・SKINFOOD公式通販。,Popular Skinfood and Korean Cosmetics Skinfood in Korea - SKINFOOD Official Online Store.,Popular Korean skincare brand Skinfood - SKINFOOD Official Online Store.
166,【広島】ホットヨガTOP3 - 人気No1のホットヨガスタジオ,[Hiroshima] Top 3 Hot Yoga - #1 Most Popular Hot Yoga Studio,[Hiroshima] Top 3 Hot Yoga Studios - The Most Popular Hot Yoga Studio
169,お得なキャンペーン中,Special promotion ongoing.,Special offer available.
175,活力サポートサプリ・テストフェン配合・スーパーマカ配合。,Energy support supplement with Testofen and Super Maca.,Energy support supplement with Testofen and Super Maca blend.
177,【東京23区】で一戸建て探しならオープンハウス。,"If you're looking for a detached house in Tokyo's 23 wards, Open House is the place to go.",Open House is your best choice for finding a detached house in Tokyo's 23 wards.
180,厳選した大泉学園の一戸建てを掲載中。,Carefully selected detached houses in Oizumi-gakuen are listed.,Carefully selected detached houses in Oizumi-gakuen are now listed.
186,宿泊&航空券をあんしん予約。,Book your accommodation & flights with confidence.,Book your accommodation and flights with confidence.
196,モテ髪ヘアカタログ・人気サロンをネット予約・ネット予約でポイントGet。,"Popular Hairstyle Catalog for Attracting Attention, Online Booking for Popular Salons, Get Points with Online Booking.","Popular Hairstyle Catalog, Online Booking for Popular Salons, Earn Points with Online Booking."
198,クチコミ比較、最安値予約、現地払い。,"Reviews comparison, lowest price booking, pay at location.","Compare reviews, book at the lowest price, and pay on-site."
204,全国のビューティーサロンの検索、空席確認、ネット予約。,"Search, check availability, and make online reservations for beauty salons nationwide.","Search, check availability, and book online appointments at beauty salons nationwide."
206,理想の照明がない… - 取扱いブランド数、日本最大級,No ideal lighting...,No ideal lighting… - Largest selection of brands in Japan
209,各種カード、ポイント還元・日本最大級2万点の品ぞろえ。,"Various cards accepted, point rewards, and Japan's largest selection of 20,000 items.","Various cards accepted, earn points, and choose from Japan's largest selection of 20,000 items."
214,"【公式】ヴァージンクリニック - 全身医療脱毛5回88,000円／京都","[Official] Virgin Clinic - Full Body Medical Hair Removal 5 Sessions for 88,000 Yen / Kyoto","[Official] Virgin Clinic - Full Body Medical Laser Hair Removal: 5 Sessions for ¥88,000 / Kyoto"
217,追加料金も0円で安心,"No additional fees, so you can rest assured.","No additional fees, giving you peace of mind."
218,幕張本郷 口コミ第1位の整体院 - 多くの専門家が絶賛する技術,Makuharihongo's #1 rated chiropractic clinic - Technique highly praised by many experts.,Makuharihongo's top-rated chiropractic clinic - A technique highly praised by experts.
232,料金も時間も節約しよう。,Let's save money and time.,Let's save on costs and time.
234,お気に入りの宿を特別料金で。,Your favorite hotels at special prices.,Your favorite stays at special prices.
238,自分で淹れたおいしい一杯を味わいながら、プロの技をマスター。,Master the skills of a pro while savoring a delicious cup you brewed yourself.,Master professional techniques while enjoying a delicious cup you brewed yourself.
244,25歳以下または対象期間内に引越した方でAirターミナル5を購入・契約し、開通後アンケート回答で,"Those who are 25 years old or younger, or who moved within the eligible period, purchased and contracted for Air Terminal 5, and completed the post-installation questionnaire.","Those who are 25 years old or younger, or who moved within the eligible period and purchased/contracted for Air Terminal 5, will receive [benefit] after completing the post-installation questionnaire."
246,3層タイプのプリーツマスクで、オメガ形状のプリーツが大きく広がり、鼻や口を圧迫しにくく、呼吸しやすくなっています。,"A three-layer pleated mask with an omega-shaped pleat design that expands widely, making it less likely to press against the nose and mouth, and easier to breathe.","A three-layer pleated mask with an omega-shaped pleat that expands significantly, reducing pressure on the nose and mouth while improving breathability."
248,10枚/袋×2袋で包装しており、持ち運び便利な仕様です。,Packaged as 10 sheets/bag x 2 bags for convenient portability.,"Packaged as 10 sheets per bag x 2 bags, making it conveniently portable."
249,ゴム紐は6mmの平ゴム形状なので、耳への当たりが柔らかく、よくある耳の痛みも軽減してくれます。,"The elastic band is a 6mm flat elastic, so it's gentle on the ears and reduces common ear pain.","The 6mm flat elastic band is soft on the ears, reducing common ear pain."
263,※A4 5冊入の商品に掲載の画像は新しいパッケージの商品です。,The image shown for the A4 5-book set is the new packaging.,The image shown for the A4 5-book set is of the new packaging.
264,以前のパッケージ商品の用紙と仕様は同一です。,The paper and specifications are the same as the previous packaged product.,The paper and specifications are the same as in the previous packaging.
266,箱に記載されている注文コードと500枚入の包装紙記載の注文コードは異なります。,The order code on the box and the order code on the package of 500 wrapping papers are different.,The order code on the box differs from the order code on the package of 500 wrapping sheets.
267,(500枚入の1冊で販売するためです),Because they are sold in packs of 500 sheets.,They are sold in packs of 500 sheets.
270,ブレーキライニングやブレーキドラムや機械部品等に付着したオイルやグリース等の汚れをきれいに落としブレーキ装置から発生する様々な粉塵を空気中に飛散させることなく、油脂類やカーボン等の汚れを素早くきれいに落とします。,"Quickly and cleanly removes oil, grease, and other dirt adhering to brake linings, brake drums, and mechanical parts, and quickly and cleanly removes oil stains and carbon deposits without scattering various types of dust generated from brake devices into the air.","Quickly and cleanly removes oil, grease, and other dirt adhering to brake linings, brake drums, and mechanical parts, and rapidly and cleanly removes oil and carbon deposits without dispersing dust generated from brake systems into the air."
271,又、オゾン層の破壊や環境汚染の原因となるフロン及びトリクロロエタンを一切含まない有機溶剤中毒予防規則適用外の洗浄剤です。,"Also, this is a cleaning agent that does not contain any ozone-depleting or environmentally polluting chlorofluorocarbons or trichloroethane, and is not subject to the Ordinance on Prevention of Organic Solvent Poisoning.","This is a cleaning agent that contains no chlorofluorocarbons or trichloroethane, which deplete the ozone layer and cause environmental pollution, and is not subject to the Ordinance on Prevention of Organic Solvent Poisoning."
274,缶の逆さ使用OK。,Inverted can use OK.,It is OK to use the can inverted.
276,ニトリルゴム手袋 極薄 粉なし ブルー色 100枚入,"Nitrile rubber gloves, extra thin, powder-free, blue, 100 count","Nitrile rubber gloves, ultra-thin, powder-free, blue color, 100 count"
277,柔らかく手にピッタリフィットするので、長時間の細かな作業に適しています。,"Because they are soft and fit perfectly in your hand, they are suitable for detailed work over long periods of time.","Because they are soft and fit snugly in your hand, they are suitable for detailed work over long periods."
279,便利な左右兼用タイプのためムダなくお使いいただけます。,"Because it is a convenient ambidextrous type, you can use it without waste.","Because it's a convenient ambidextrous design, you can use it efficiently."
283,※体質によっては、かゆみ、かぶれ、発疹等をおこすことがあります。,"Depending on your constitution, it may cause itching, rash, or other skin irritations.","Depending on your constitution, it may cause itching, rash, or other skin irritations."
286,膨潤、浸透、老化することがあります。,"May swell, permeate, or age.","May swell, permeate, or deteriorate with age."
289,※爪先、刃物や尖ったもの等で傷をつけないよう注意してください。,"Please be careful not to scratch the surface with your nails, blades, sharp objects, etc.",Please be careful not to scratch the surface with sharp objects such as fingernails or blades.
290,水漏れの原因になります。,Can cause water leaks.,Can cause water leakage.
295,サイズが一目瞭然のデザイン。,A design where the size is immediately obvious.,A design that makes the size immediately clear.
299,※電池のアルカリ液が目に入ったときは失明などのおそれがあるので、すぐに多量のきれいな水で洗い流し、 医師の治療を受ける。,"If alkaline battery fluid gets into your eyes, there is a risk of blindness, so immediately flush them with plenty of clean water and seek medical attention.","If alkaline battery fluid gets into your eyes, it can cause blindness, so immediately flush them with plenty of clean water and seek medical attention."
306,※この電池は充電式でないので、充電すると液漏れ、発熱、破裂のおそれがある。,"Since this battery is not rechargeable, attempting to charge it may cause leakage, heat generation, or rupture.","This battery is not rechargeable; charging it may cause leakage, overheating, or rupture."
315,着け具合も柔らかくフィット感のある軍手です。,These work gloves are soft to wear and have a snug fit.,These work gloves are soft and fit snugly.
318,※回転体を伴う機械作業では、使用しないでください。,Do not use when performing machine work involving rotating parts.,Do not use during machine work involving rotating parts.
321,マスキングテープ 高品質 和紙基材,"Masking tape, high quality, washi paper base",Masking tape with a high-quality washi paper base
323,のり残りが少なくタテ裂けが起こりにくいです。,Leaves little adhesive residue and is resistant to tearing vertically.,Leaves little adhesive residue and resists vertical tearing.
324,※被着体、塗料の種類によっては貼り跡やのり残りが発生する場合がありますので、問題がないことを確かめてからご使用下さい。,Please test in an inconspicuous area to ensure no adhesive residue or damage occurs as some surfaces and paint types may be affected.,"Please test in an inconspicuous area to ensure no adhesive residue or damage occurs, as some surfaces and paint types may be affected."
329,※ティシューは水に溶けにくいため、水洗トイレには流さないでください。,Please do not flush tissues down the toilet as they do not dissolve easily in water.,"Please do not flush tissues down the toilet, as they are not easily dissolved in water."
331,※引火の原因になりますので、火気の近くに置かないでください。,"To prevent ignition, do not place near open flames or sources of heat.","Do not place near open flames, as this may cause ignition."
334,プロユーザーにも安心してご使用いただける品質の、弱粘着タイプ養生テープです。,This is a low-tack masking tape with a quality that professional users can rely on.,This low-tack adhesive tape offers quality that professional users can rely on.
339,手で簡単にカットできる養生用ポリエチレンクロステープで耐候性・耐水性に優れています。,This is a polyethylene cloth tape for temporary use that can be easily cut by hand and has excellent weather resistance and water resistance.,This polyethylene cloth tape for temporary use is easy to cut by hand and offers excellent weather and water resistance.
340,再はくり性が良好です。,It has good re-releasing properties.,It has good repositionable properties.
341,※貼る対象物や使用環境によっては、粘着力等数値通りの値が出ない場合がございます。,Please note that the adhesive strength and other values may not meet the stated specifications depending on the object to which the product is applied and the usage environment.,Please note that the adhesive strength and other values may vary depending on the object to which the product is applied and the usage environment.
349,※養生後、テープを早く剥すと破断する恐れがありますので、ゆっくり剥してください。,"After curing, peeling the tape off quickly may cause tearing, so please peel it off slowly.","After curing, removing the tape quickly may cause it to tear, so please remove it slowly."
350,※粘着剤特有のにおいがありますので、換気の良い所でのご使用をお勧めします。,"※Due to the adhesive's characteristic odor, it is recommended to use it in a well-ventilated area.","※Due to the adhesive's characteristic odor, it is recommended to use this product in a well-ventilated area."
351,※被着体と養生期間によっては、被着体を汚染・損傷する場合がありますので、ご使用前にお確かめください。,Please test before use as certain substrates and curing periods may result in staining or damage to the substrate.,"Please test before use, as certain substrates and curing periods may cause staining or damage."
356,従来品に比べ耐候性がアップしました。,"Compared to the conventional product, the weather resistance has been improved.",The weather resistance is improved compared to the previous model.
360,保管する場合は密閉することを推奨します。,Sealing is recommended for storage.,Sealed storage is recommended.
362,※一度ご使用された製品を再度ご使用にされることで、結束力不足により不具合が発生する可能性があります。,Reusing a product that has already been used may cause defects due to insufficient binding force.,Reusing a product that has already been used may cause malfunctions due to insufficient binding.
365,※取り付けの際には現車取り付け部に真っ直ぐ取り付け作業を行ってください。,"When installing, make sure to install it straight onto the mounting area of the actual vehicle.","When installing, ensure you align the component straight with the mounting surface on the vehicle."
368,現在販売している商品は品質確認済になりますのでご安心してご使用下さい。,"The products currently being sold have had their quality checked, so please use them with confidence.","The products currently being sold have been quality checked, so please use them with confidence."
369,※当製品は交換作業を整備業者へ依頼して行う事をおすすめします。,We recommend that you have a professional mechanic perform the replacement work for this product.,We recommend having a qualified technician perform the replacement of this product.
370,個人で交換作業を行った場合は補償出来ない場合もございます。,We may not be able to provide compensation if you performed the replacement work yourself.,We may not be able to provide compensation if you perform the replacement work yourself.
371,※ネジ寸法が各オイルフィルターで異なっている為、高さや外径などが同じフィルターに見えても取り付け前に再度、車種とネジ寸法をご確認ください。,"※Because screw dimensions differ for each oil filter, even if filters appear to be the same in height or outer diameter, please reconfirm the vehicle model and screw dimensions before installation.","※As screw dimensions vary between oil filters, please double-check the vehicle model and screw dimensions before installation, even if the filters appear to be the same height and outer diameter."
373,※わずかな違いでも大きなトラブルになる場合がございます。,Even slight differences can lead to major problems.,Even minor differences can lead to significant problems.
378,白メリヤスウエス 中古生地,"White knitted wiping cloths, used fabric","White knit wiping cloths, used material"
380,ウエス製品の中で優れた製品です。,It is an excellent product among WES products.,It is an excellent product in the WES product line.
382,カット済。,Cut済 = Already cut.,Pre-cut.
390,※用途以外に使用しないでください。,Do not use for purposes other than those specified.,Do not use for any purpose other than that specified.
393,ケミカル製品と接触することによって色落ちが発生する可能性がありますのでケミカル品のご使用をお避けください。,Please avoid using chemical products as contact with them may cause discoloration.,"Please avoid using chemical products, as contact with them may cause discoloration."
395,食品に触れる用途には使用しないでください。,Do not use for food contact applications.,Do not use for applications involving contact with food.
398,※ケミカル製品と接触することによって色落ちが発生する可能性がありますのでケミカル品のご使用をお避けください。,Please avoid using chemical products as contact with them may cause discoloration.,"Please avoid using chemical products, as contact with them may cause discoloration."
399,ハンドクリーナー 工業用 オレンジエキス保湿成分配合 スクラブ入り,Industrial hand cleaner with orange extract moisturizer and scrub.,"Industrial hand cleaner with orange extract, moisturizer, and scrub for industrial use."
409,異物感が残る場合は、眼科医にご相談ください。,"If a foreign body sensation remains, please consult an ophthalmologist.","If the foreign body sensation persists, consult an ophthalmologist."
421,※使用後の本製品の廃棄は、お住まいの各自治体で定められたゴミ廃棄方法に従ってください。,Please dispose of this product according to the waste disposal methods defined by your local municipality.,Please dispose of this product according to the waste disposal methods defined by your local municipality.
422,※袋を閉じる際は結束バンドでしっかり結んでください。,"When closing the bag, be sure to tie it securely with a cable tie.","When closing the bag, be sure to tie it securely with a cable tie."
428,※本来の用途以外には使用しないでください。,Do not use for purposes other than its intended use.,Do not use this product for anything other than its intended purpose.
434,※フタが開けにくい際はフタを少し潰す様に押すと開けやすくなります。,"If the lid is difficult to open, pressing down on it slightly as if to crush it a little can make it easier to open.","If the lid is hard to open, try pressing down on it slightly to make it easier to open."
435,※内容物、洗浄廃液や容器を廃棄する場合は、都道府県の許可を受けた専門の廃棄物処理業者に委託してください。,"When disposing of the contents, cleaning waste fluid, or containers, please entrust disposal to a specialized waste disposal contractor licensed by the prefectural government.","When disposing of the contents, cleaning waste fluid, or containers, please entrust the disposal to a specialized waste disposal contractor licensed by the prefecture."
438,透明度があり加工後も封入物の文字をクッキリ読めます。,It has transparency and allows you to clearly read the enclosed text even after processing.,It is transparent and allows the enclosed text to be read clearly even after processing.
439,※機器には接着加工してあるシール部分から挿入してください。,Please insert from the seal area that has been bonded to the device.,Please insert the device starting from the sealed edge.
443,※一度加工したシートは再生不能となります。,"Once the sheet has been processed, it cannot be restored.","Once a sheet has been processed, it cannot be reused."
450,※工業用の薬品やアルコール、石油製品などには絶対に使用しないで下さい。,"Do not use with industrial chemicals, alcohol, petroleum products, etc. under any circumstances.","Do not use this product with industrial chemicals, alcohol, petroleum products, or similar substances."
451,※熱湯は入れないで下さい。,Please do not pour boiling water.,Do not add boiling water.
455,中身が漏れる恐れがございます。,The contents may leak.,The contents may be at risk of leaking.
459,店頭でフックなどに吊り下げることができる便利な穴付きです。,Convenient hole for hanging on hooks or other fixtures in stores.,Convenient hole for hanging on hooks or other fixtures in stores.
460,フック用穴と本体の間はミシン目入りなので、フックに掛けて本体を引っ張れば穴の下から切れて使える構造になっています。,"The area between the hanging hole and the main body is perforated, so you can hang it on a hook and pull the main body to tear it off from below the hole.","The area between the hanging hole and the main body is perforated, allowing you to hang it on a hook and tear it off from below the hole by pulling the main body."
461,表面にエンボス加工入り。,Embossed surface.,Embossed finish on the surface.
464,※幼児や子供がかぶって遊ぶと窒息などの危険がありますのでご注意ください。,Please be careful as there is a risk of suffocation if infants or children play with this by putting it on their heads.,Please be careful as there is a risk of suffocation if infants or children play with this by putting it on their heads.
465,※高温多湿を避け、火の気のない場所で保管してください。,"Please store in a cool, dry place away from fire.","Please store in a cool, dry place away from heat and flames."
481,OPPテープ 透明色,Clear OPP tape,Clear OPP tape
482,梱包用テープとして、価格も安く強度も強い為、良く使われています。,Packing tape is often used because it's inexpensive and strong.,Packing tape is often used because it is inexpensive and strong.
487,※梱包用途以外の使用は避けてください。,Please avoid using for purposes other than packaging.,Avoid using this product for purposes other than packaging.
488,貼る面を損傷する場合がございます。,The surface may be damaged when applying/attaching it.,The surface may be damaged during application.
492,※物性は測定値であり、規格値或いは保証値でありません。,The physical properties are measured values and are not standard or guaranteed values.,The physical properties are measured values and not standard or guaranteed values.
499,※内容物、洗浄廃液や容器を廃棄する場合は、都道府県の許可を受けた専門の廃棄物処理業者に委託してください。,"When disposing of contents, cleaning waste liquid, and containers, please entrust the disposal to a specialized waste disposal contractor licensed by the prefecture.","When disposing of contents, cleaning waste liquid, or containers, please entrust the disposal to a specialized waste disposal contractor licensed by the prefecture."
