index,original,zero_shot_translation,reference_translation
75,ダイキン エアコン お客様 センター見つけましょう。,Let's find the Daikin air conditioner customer center.,Find a Daikin Customer Center.
78,来場予約キャンペーン実施中 - 都市型狭小3階建てモデルハウス,Visiting Reservation Campaign in Progress - Urban Compact 3-Story Model House,Visitor reservation promotion underway - Urban-style compact three-story model house
83,ITツールを駆使し業務コストを削減し、リーズナブルな価格でのサービス提供を実現,"By fully utilizing IT tools, we reduce operational costs and achieve service provision at reasonable prices.",Make full use of IT tools to reduce operation costs and provide services at a reasonable cost
92,どうしても今すぐお金が必要 - 【厳選3社】即日キャッシング,I desperately need money right now - [Carefully Selected Top 3] Same-day Cash Loans,Desperately Need Money Now - 【Three Hand-Picked Companies】 Same-Day Small Loans
98,レストラン予約するなら一休.com、お店の口コミも掲載。,"If you're booking a restaurant, use Ikkyu.com. They also have restaurant reviews.","For restaurant reservations, use ikyu.com, which also includes restaurant reviews."
102,幸せウエディングを叶える情報満載／結婚式準備はゼクシィ。,Packed with information to make your dream wedding a reality / Wedding preparations? Zexy.,Full of information to make your dream wedding a reality/Zexy for wedding ceremonies
107,ゴールドカードはメリットばかり！,Gold cards are nothing but benefits!,Gold cards are full of benefits!
110,自宅用のホームルーターをお探しの方必見！,A must-read for those looking for a home router for home use!,Must see if you're looking for a residential-use home router!
112,置くだけで使えるWiFiも！,Ready-to-use WiFi that you just set down!,WiFi that can be used just by plugging in also featured!
115,蒲田イン ソーシャル- トリップアドバイザー,Kamata Inn Social - Tripadvisor,Business Hotel Social Kamata - Trip Advisor
119,ショートが似合うか不安な方でもしっかりとカウンセリングして似合わせをいっしょに考えます。,"Even if you're worried about whether short hair will suit you, we'll provide thorough counseling and work together to find a style that suits you.","For those unsure if short hairstyles will work for them, we offer thorough counseling and work with you to find the right fit."
124,ロハコ限定、くらしになじむデザインが多数。,"LOHACO exclusive, with many designs that blend into your everyday life.",Many LOHACO exclusive designs which fit your daily life are available.
125,最短翌日お届け、PayPay決済対応。,"Delivered as early as the next day, supports PayPay payment.","Next-day delivery at the earliest, PayPay payments supported."
127,都心へのマルチアクセスを叶えるタワーレジデンス。,A tower residence offering multi-access to the city center.,Tower residences with multiple routes of access to central Tokyo.
128,4路線利用できる‘目黒’駅に誕生。,"Born at 'Meguro' Station, accessible by 4 train lines.","Located near 'Meguro' Station, with access to 4 train lines."
129,野村不動産グループ×JR東日本グループ開発エリア【MEGURO MARC】の32階建タワー。,Nomura Real Estate Group x JR East Group Development Area [MEGURO MARC]'s 32-story tower.,32-story Tower in the Nomura Real Estate Group x East Japan Railway Company development area 【MEGURO MARC】
132,続くから変われる、人生を変える英会話の力をあなたへ。,Continuing allows you to change; giving you the power of English conversation to change your life.,"Things can change because they continue, delivering the life-changing power of English conversation to you."
136,クラウド電話を1内線200円から - 【公式】サテライトオフィス,Cloud phone from 200 yen per extension - [Official] Satellite Office,Cloud telephony starting from 200 yen per extension -【Official】Satellite Office
145,glovesdepoを探すなら、日本最大級通販ショップ楽天市場。,"If you're looking for glovesdepo, Rakuten, one of Japan's largest online shopping sites.","If you're looking for glovesdepo items, Rakuten Marketplace is one of the largest online shops in Japan."
148,目黒 恵比寿 五反田エリアで顧問弁護士をお探しなら目黒国際法律事務所。,"If you are looking for a consulting lawyer in the Meguro, Ebisu, or Gotanda area, Meguro International Law Office is the place to go.","If you are looking for a legal advisor in the: Meguro, Ebisu, or Gotanda area, head to the Meguro International Law Office."
151,若手弁護士がフットワーク軽く迅速に対応します。,Young lawyers provide prompt service with agility.,Our young lawyers respond promptly and proactively.
152,20代～シニアまで申込める保険 - 【生命保険】はなさく生命,Insurance for ages 20s to seniors - [Life Insurance] Hanasakuseimei,Insurance anyone in their 20s to the elderly can apply for - 【Life Insurance】Hanasaku Life Insurance
161,素肌が喜ぶ、FOOD(食べもの)から生まれた化粧品。,Cosmetics born from FOOD(food) that your bare skin will love.,A cosmetic product made from FOOD that makes your skin happy.
162,食べてカラダにいいFOODをお肌にも！,Good-for-you food to eat is also good for your skin!,Food good for your body is also good for your skin!
164,特別セールやキャンペーンをお見逃しなく。,Don't miss out on special sales and campaigns.,Don't miss the special sale campaign.
165,韓国で人気のスキンフード・韓国コスメのスキンフード・SKINFOOD公式通販。,Popular Skinfood and Korean Cosmetics Skinfood in Korea - SKINFOOD Official Online Store.,"SKINFOOD, popular in Korea, Korean cosmetic SKINFOOD, SKINFOOD official online shop."
166,【広島】ホットヨガTOP3 - 人気No1のホットヨガスタジオ,[Hiroshima] Top 3 Hot Yoga - #1 Most Popular Hot Yoga Studio,【Hiroshima】 TOP 3 Hot Yoga spots - No.1 most popular hot yoga studio
169,お得なキャンペーン中,Special promotion ongoing.,Currently having a special campaign
175,活力サポートサプリ・テストフェン配合・スーパーマカ配合。,Energy support supplement with Testofen and Super Maca.,Vitality supplements containing testofen and super maca.
177,【東京23区】で一戸建て探しならオープンハウス。,"If you're looking for a detached house in Tokyo's 23 wards, Open House is the place to go.",Open House is the best place to find detached homes within the【23 Tokyo Wards】
180,厳選した大泉学園の一戸建てを掲載中。,Carefully selected detached houses in Oizumi-gakuen are listed.,Carefully selected detached homes in Oizumigakuen are available now.
186,宿泊&航空券をあんしん予約。,Book your accommodation & flights with confidence.,Book accommodations & flights with peace of mind.
196,モテ髪ヘアカタログ・人気サロンをネット予約・ネット予約でポイントGet。,"Popular Hairstyle Catalog for Attracting Attention, Online Booking for Popular Salons, Get Points with Online Booking.","Browse our hottest hair catalogs, reserve popular salons online, and earn points."
198,クチコミ比較、最安値予約、現地払い。,"Reviews comparison, lowest price booking, pay at location.","Compare reviews, book at the cheapest prices, pay-on-arrival."
204,全国のビューティーサロンの検索、空席確認、ネット予約。,"Search, check availability, and make online reservations for beauty salons nationwide.","Search for beauty salons throughout the country, check availability, and book online."
206,理想の照明がない… - 取扱いブランド数、日本最大級,No ideal lighting...,I can't find the ideal lighting... - we feature the largest number of brands in Japan.
209,各種カード、ポイント還元・日本最大級2万点の品ぞろえ。,"Various cards accepted, point rewards, and Japan's largest selection of 20,000 items.","Earn reward points with various cards, we offer Japan's largest selection of 20,000 items."
214,"【公式】ヴァージンクリニック - 全身医療脱毛5回88,000円／京都","[Official] Virgin Clinic - Full Body Medical Hair Removal 5 Sessions for 88,000 Yen / Kyoto","【Official】Virgin Clinic - Full body medical hair removal, 5 treatments 88,000 yen/Kyoto"
217,追加料金も0円で安心,"No additional fees, so you can rest assured.",No worries with zero additional charges
218,幕張本郷 口コミ第1位の整体院 - 多くの専門家が絶賛する技術,Makuharihongo's #1 rated chiropractic clinic - Technique highly praised by many experts.,Makuharihongo No.1 reviewed chiropractic clinic - Techniques highly praised by numerous experts
232,料金も時間も節約しよう。,Let's save money and time.,Save your time and money.
234,お気に入りの宿を特別料金で。,Your favorite hotels at special prices.,Special rates at your favorite accommodations.
238,自分で淹れたおいしい一杯を味わいながら、プロの技をマスター。,Master the skills of a pro while savoring a delicious cup you brewed yourself.,Master professional techniques while enjoying delicious coffee you made yourself.
244,25歳以下または対象期間内に引越した方でAirターミナル5を購入・契約し、開通後アンケート回答で,"Those who are 25 years old or younger, or who moved within the eligible period, purchased and contracted for Air Terminal 5, and completed the post-installation questionnaire.","For those under 25 years of age or those who have moved within the eligible period, after purchasing an Air Terminal 5, signing a contract, and answering a questionnaire after service has started."
246,3層タイプのプリーツマスクで、オメガ形状のプリーツが大きく広がり、鼻や口を圧迫しにくく、呼吸しやすくなっています。,"A three-layer pleated mask with an omega-shaped pleat design that expands widely, making it less likely to press against the nose and mouth, and easier to breathe.","These three-layer masks feature omega-shaped pleats which open wide to reduce pressure on the nose and mouth, making it easier to breathe."
248,10枚/袋×2袋で包装しており、持ち運び便利な仕様です。,Packaged as 10 sheets/bag x 2 bags for convenient portability.,Packaged in 2 bags of 10 masks/bag for convenience and ease-of-carrying.
249,ゴム紐は6mmの平ゴム形状なので、耳への当たりが柔らかく、よくある耳の痛みも軽減してくれます。,"The elastic band is a 6mm flat elastic, so it's gentle on the ears and reduces common ear pain.","The strap has a flat and 6mm wide, making it easy on the ears and reducing common ear pain."
263,※A4 5冊入の商品に掲載の画像は新しいパッケージの商品です。,The image shown for the A4 5-book set is the new packaging.,*The image shown for the A4 5-pack uses the new package design.
264,以前のパッケージ商品の用紙と仕様は同一です。,The paper and specifications are the same as the previous packaged product.,The paper and specifications are identical to those of the previous design.
266,箱に記載されている注文コードと500枚入の包装紙記載の注文コードは異なります。,The order code on the box and the order code on the package of 500 wrapping papers are different.,The order code on the box and the order code on the wrapping paper of the 500-sheet pack differ.
267,(500枚入の1冊で販売するためです),Because they are sold in packs of 500 sheets.,(To sell 500-sheet packs as a single pack.)
270,ブレーキライニングやブレーキドラムや機械部品等に付着したオイルやグリース等の汚れをきれいに落としブレーキ装置から発生する様々な粉塵を空気中に飛散させることなく、油脂類やカーボン等の汚れを素早くきれいに落とします。,"Quickly and cleanly removes oil, grease, and other dirt adhering to brake linings, brake drums, and mechanical parts, and quickly and cleanly removes oil stains and carbon deposits without scattering various types of dust generated from brake devices into the air.","Quickly clean oil, grease, and other grime from brake linings, brake drums, mechanical parts, etc., as well as remove oil, grease, carbon, and other contaminants without dispersing particles into the air."
271,又、オゾン層の破壊や環境汚染の原因となるフロン及びトリクロロエタンを一切含まない有機溶剤中毒予防規則適用外の洗浄剤です。,"Also, this is a cleaning agent that does not contain any ozone-depleting or environmentally polluting chlorofluorocarbons or trichloroethane, and is not subject to the Ordinance on Prevention of Organic Solvent Poisoning.","Also, this cleaning agent doesn't contain any chlorofluorocarbons or trichloroethane, which attribute to ozone layer depletion and environmental pollution, so it does not fall under the Ordinance on the Prevention of Organic Solvent Poisoning."
274,缶の逆さ使用OK。,Inverted can use OK.,This product can be sprayed even when the can is upside-down.
276,ニトリルゴム手袋 極薄 粉なし ブルー色 100枚入,"Nitrile rubber gloves, extra thin, powder-free, blue, 100 count","Nitrile rubber gloves, extra thin, powder free, blue, 100 pack"
277,柔らかく手にピッタリフィットするので、長時間の細かな作業に適しています。,"Because they are soft and fit perfectly in your hand, they are suitable for detailed work over long periods of time.","Soft and snugly fitting, these gloves are ideal for tasks requiring detailed work over a long period of time."
279,便利な左右兼用タイプのためムダなくお使いいただけます。,"Because it is a convenient ambidextrous type, you can use it without waste.",Convenient left/right dual usage allows for waste-free use.
283,※体質によっては、かゆみ、かぶれ、発疹等をおこすことがあります。,"Depending on your constitution, it may cause itching, rash, or other skin irritations.","*Some people may experience itchiness, rashes, etc."
286,膨潤、浸透、老化することがあります。,"May swell, permeate, or age.","The gloves might swell, deteriorate, or the chemical/solvent might permeate through."
289,※爪先、刃物や尖ったもの等で傷をつけないよう注意してください。,"Please be careful not to scratch the surface with your nails, blades, sharp objects, etc.","*Be careful not to damage them with your fingernails, blades, or other sharp objects."
290,水漏れの原因になります。,Can cause water leaks.,This leads to leakage.
295,サイズが一目瞭然のデザイン。,A design where the size is immediately obvious.,The design makes the size obvious at first glance.
299,※電池のアルカリ液が目に入ったときは失明などのおそれがあるので、すぐに多量のきれいな水で洗い流し、 医師の治療を受ける。,"If alkaline battery fluid gets into your eyes, there is a risk of blindness, so immediately flush them with plenty of clean water and seek medical attention.","*If the alkaline liquid from a battery gets in your eyes, it can cause loss of vision, so immediately rinse your eyes with a large amount of clean water, and then receive treatment from a doctor."
306,※この電池は充電式でないので、充電すると液漏れ、発熱、破裂のおそれがある。,"Since this battery is not rechargeable, attempting to charge it may cause leakage, heat generation, or rupture.","*These batteries are not rechargeable, so charging them can lead to leakage, overheating, or rupture."
315,着け具合も柔らかくフィット感のある軍手です。,These work gloves are soft to wear and have a snug fit.,These gloves are soft and well-fitting.
318,※回転体を伴う機械作業では、使用しないでください。,Do not use when performing machine work involving rotating parts.,*Do not use during mechanical work involving rotating parts.
321,マスキングテープ 高品質 和紙基材,"Masking tape, high quality, washi paper base",High Quality Washi Paper-based Masking Tape
323,のり残りが少なくタテ裂けが起こりにくいです。,Leaves little adhesive residue and is resistant to tearing vertically.,"Minimal adhesive residue, and vertical tearing is unlikely to occur."
324,※被着体、塗料の種類によっては貼り跡やのり残りが発生する場合がありますので、問題がないことを確かめてからご使用下さい。,Please test in an inconspicuous area to ensure no adhesive residue or damage occurs as some surfaces and paint types may be affected.,"*Depending on the type of surface or paint used, adhesive marks or adhesive residue may remain, so please test that there are no issues before use."
329,※ティシューは水に溶けにくいため、水洗トイレには流さないでください。,Please do not flush tissues down the toilet as they do not dissolve easily in water.,"*Tissues don't dissolve in water, so please don't flush them down the toilet."
331,※引火の原因になりますので、火気の近くに置かないでください。,"To prevent ignition, do not place near open flames or sources of heat.","*Do not place near fire, as they are combustible."
334,プロユーザーにも安心してご使用いただける品質の、弱粘着タイプ養生テープです。,This is a low-tack masking tape with a quality that professional users can rely on.,Weak adhesive masking tape with a quality that is suitable even for professional use.
339,手で簡単にカットできる養生用ポリエチレンクロステープで耐候性・耐水性に優れています。,This is a polyethylene cloth tape for temporary use that can be easily cut by hand and has excellent weather resistance and water resistance.,This polyethylene cloth masking tape can be easily torn by hand and has superior weather and water resistance.
340,再はくり性が良好です。,It has good re-releasing properties.,It can easily be peeled off and reapplied.
341,※貼る対象物や使用環境によっては、粘着力等数値通りの値が出ない場合がございます。,Please note that the adhesive strength and other values may not meet the stated specifications depending on the object to which the product is applied and the usage environment.,"*Depending on the surface or environment, adhesive strength and other aspects may not perform as expected."
349,※養生後、テープを早く剥すと破断する恐れがありますので、ゆっくり剥してください。,"After curing, peeling the tape off quickly may cause tearing, so please peel it off slowly.","*After masking, remove the tape slowly, as it may tear if peeled too quickly."
350,※粘着剤特有のにおいがありますので、換気の良い所でのご使用をお勧めします。,"※Due to the adhesive's characteristic odor, it is recommended to use it in a well-ventilated area.","*The adhesive has a distinctive smell, so it's recommended to use this product in a well ventilated area."
351,※被着体と養生期間によっては、被着体を汚染・損傷する場合がありますので、ご使用前にお確かめください。,Please test before use as certain substrates and curing periods may result in staining or damage to the substrate.,"*Depending on the surface and the period of masking, it is possible to mark or damage the surface, so please test before use."
356,従来品に比べ耐候性がアップしました。,"Compared to the conventional product, the weather resistance has been improved.",They have superior weatherproofing compared to other cable ties.
360,保管する場合は密閉することを推奨します。,Sealing is recommended for storage.,Storing them in an airtight container is recommended.
362,※一度ご使用された製品を再度ご使用にされることで、結束力不足により不具合が発生する可能性があります。,Reusing a product that has already been used may cause defects due to insufficient binding force.,*Reusing the cable ties may cause problems due to a loss in binding strength.
365,※取り付けの際には現車取り付け部に真っ直ぐ取り付け作業を行ってください。,"When installing, make sure to install it straight onto the mounting area of the actual vehicle.","*When installing, please install flush with the vehicle's mounting area."
368,現在販売している商品は品質確認済になりますのでご安心してご使用下さい。,"The products currently being sold have had their quality checked, so please use them with confidence.",Please be assured that all of the products we currently sell are quality assured.
369,※当製品は交換作業を整備業者へ依頼して行う事をおすすめします。,We recommend that you have a professional mechanic perform the replacement work for this product.,*It is recommended that this product be fitted by a mechanic.
370,個人で交換作業を行った場合は補償出来ない場合もございます。,We may not be able to provide compensation if you performed the replacement work yourself.,In some cases we may not be able to compensate you if you do the work yourself.
371,※ネジ寸法が各オイルフィルターで異なっている為、高さや外径などが同じフィルターに見えても取り付け前に再度、車種とネジ寸法をご確認ください。,"※Because screw dimensions differ for each oil filter, even if filters appear to be the same in height or outer diameter, please reconfirm the vehicle model and screw dimensions before installation.","*Screw dimensions differ between oil filters, so even if the height and outer diameter look the same, please check the model of car and screw dimensions before installation."
373,※わずかな違いでも大きなトラブルになる場合がございます。,Even slight differences can lead to major problems.,*Even slight differences can cause major problems.
378,白メリヤスウエス 中古生地,"White knitted wiping cloths, used fabric","White Knitwear Ragcloth, Made from Used Fabric"
380,ウエス製品の中で優れた製品です。,It is an excellent product among WES products.,An excellent product even among ragcloths.
382,カット済。,Cut済 = Already cut.,Pre-cut.
390,※用途以外に使用しないでください。,Do not use for purposes other than those specified.,*Use only for the intended purpose.
393,ケミカル製品と接触することによって色落ちが発生する可能性がありますのでケミカル品のご使用をお避けください。,Please avoid using chemical products as contact with them may cause discoloration.,"Avoid using together with chemical products, as contact with them may cause the color to fade."
395,食品に触れる用途には使用しないでください。,Do not use for food contact applications.,Do not use for applications where the product comes in contact with foodstuffs.
398,※ケミカル製品と接触することによって色落ちが発生する可能性がありますのでケミカル品のご使用をお避けください。,Please avoid using chemical products as contact with them may cause discoloration.,"*Please avoid using together with chemical products, as contact with them can cause the color to fade."
399,ハンドクリーナー 工業用 オレンジエキス保湿成分配合 スクラブ入り,Industrial hand cleaner with orange extract moisturizer and scrub.,"Industrial hand cleaner, including orange extract moisturizing agents and exfoliant"
409,異物感が残る場合は、眼科医にご相談ください。,"If a foreign body sensation remains, please consult an ophthalmologist.","If a strange sensation persists, consult an eye specialist."
421,※使用後の本製品の廃棄は、お住まいの各自治体で定められたゴミ廃棄方法に従ってください。,Please dispose of this product according to the waste disposal methods defined by your local municipality.,"*After use, please dispose of this product in accordance with the proper garbage disposal methods specified by your local government."
422,※袋を閉じる際は結束バンドでしっかり結んでください。,"When closing the bag, be sure to tie it securely with a cable tie.","*When closing the bag, tie it tightly with a zip tie."
428,※本来の用途以外には使用しないでください。,Do not use for purposes other than its intended use.,*Please do not use it for other than its intended purpose.
434,※フタが開けにくい際はフタを少し潰す様に押すと開けやすくなります。,"If the lid is difficult to open, pressing down on it slightly as if to crush it a little can make it easier to open.","*If you experience difficulty in opening the lid, pressing down on it slightly will make it easier to open."
435,※内容物、洗浄廃液や容器を廃棄する場合は、都道府県の許可を受けた専門の廃棄物処理業者に委託してください。,"When disposing of the contents, cleaning waste fluid, or containers, please entrust disposal to a specialized waste disposal contractor licensed by the prefectural government.","*When disposing the contents, detergent wastewater or container, please use the service of a specialised waste disposal company authorized by the respective prefecture."
438,透明度があり加工後も封入物の文字をクッキリ読めます。,It has transparency and allows you to clearly read the enclosed text even after processing.,The film's transparency allows clear readability of the covered contents even after application.
439,※機器には接着加工してあるシール部分から挿入してください。,Please insert from the seal area that has been bonded to the device.,*Please insert it into the device from the adhesive part of the film.
443,※一度加工したシートは再生不能となります。,"Once the sheet has been processed, it cannot be restored.",*The sheet is non-reusable after being processed.
450,※工業用の薬品やアルコール、石油製品などには絶対に使用しないで下さい。,"Do not use with industrial chemicals, alcohol, petroleum products, etc. under any circumstances.","*DO NOT use for industrial chemicals, alcohol, or oil-based products."
451,※熱湯は入れないで下さい。,Please do not pour boiling water.,*Please do not use it for boiling water.
455,中身が漏れる恐れがございます。,The contents may leak.,There's a risk of the contents leaking.
459,店頭でフックなどに吊り下げることができる便利な穴付きです。,Convenient hole for hanging on hooks or other fixtures in stores.,Comes equipped with a hole for easy hanging from a hook when being displayed in storefront.
460,フック用穴と本体の間はミシン目入りなので、フックに掛けて本体を引っ張れば穴の下から切れて使える構造になっています。,"The area between the hanging hole and the main body is perforated, so you can hang it on a hook and pull the main body to tear it off from below the hole.","The hook hole and the bag are separated by a perforation, which allows for easy tearing and detachment of the bag by simply pulling downward."
461,表面にエンボス加工入り。,Embossed surface.,Surface with embossing process.
464,※幼児や子供がかぶって遊ぶと窒息などの危険がありますのでご注意ください。,Please be careful as there is a risk of suffocation if infants or children play with this by putting it on their heads.,"*Caution, toddlers and children may suffocate if they place the bags over their heads to play."
465,※高温多湿を避け、火の気のない場所で保管してください。,"Please store in a cool, dry place away from fire.","*Please avoid storing it in high temperature, humid, or flammable environments."
481,OPPテープ 透明色,Clear OPP tape,"Oriented polypropylene tape, transparent"
482,梱包用テープとして、価格も安く強度も強い為、良く使われています。,Packing tape is often used because it's inexpensive and strong.,"Commonly used as packing tape, due to its low cost and high durability."
487,※梱包用途以外の使用は避けてください。,Please avoid using for purposes other than packaging.,*Please do not use it for other than its intended purpose.
488,貼る面を損傷する場合がございます。,The surface may be damaged when applying/attaching it.,It may damage the adhering surface.
492,※物性は測定値であり、規格値或いは保証値でありません。,The physical properties are measured values and are not standard or guaranteed values.,*The properties show the measured value; they do not represent any standard or guarantee value.
499,※内容物、洗浄廃液や容器を廃棄する場合は、都道府県の許可を受けた専門の廃棄物処理業者に委託してください。,"When disposing of contents, cleaning waste liquid, and containers, please entrust the disposal to a specialized waste disposal contractor licensed by the prefecture.","*When disposing of the contents, detergent drain, or container, please use the service of a specialised waste disposal company certified by the respective prefecture."
