index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
31,"Rental apartments, apartment complexes, detached houses.","Rental apartment, condominium, detached house.","Rental apartments, apartments, and detached houses.","Rental apartment, condominium, detached house.",0.0682,0.2074,0.0682,0.1695,0.526,0.1695,0.7334,0.7485,0.7334,0.8827,0.8769,0.8827
33,"Local-oriented, up to 30 pictures, also currently offering free property appraisals.","""Closely connected to the local area; up to 30 photos; free property assessments also available.""","""Focused on the local area, includes up to 30 photos, and free property appraisals are also being conducted.""","""Deeply rooted in the local community; up to 30 photos; free property assessments also available.""",0.0652,0.0783,0.0652,0.4934,0.4808,0.4934,0.7537,0.7621,0.7471,0.8391,0.8589,0.8422
36,Unlimited express delivery.,Unlimited use of express delivery.,Unlimited express delivery service.,Unlimited use of express delivery.,0.2171,0.2857,0.2171,0.7986,0.6048,0.7986,0.7205,0.829,0.7205,0.9281,0.9656,0.9281
40,"Earn points, smartphone app available, hundreds of millions of products.","Points can be accumulated, a smartphone app is available, and there is a selection of hundreds of millions of products.","You can earn points, a smartphone app is available, and there is a selection of billions of products.","Points can be accumulated, a smartphone app is available, and there is a selection of billions of products.",0.2568,0.0768,0.0708,0.7081,0.7968,0.6226,0.6905,0.7105,0.674,0.8853,0.8874,0.8757
45,Now is the time to read that popular manga in one go.,Now is the time to binge-read that popular manga.,Now's the perfect time to dive into that popular manga.,Now is the time to binge-read that popular manga.,0.4008,0.1097,0.4008,0.5913,0.378,0.5913,0.7276,0.7478,0.7276,0.8564,0.7982,0.8564
46,"Free trial available for all titles, better value than buying.","""All works available for trial reading - more economical than buying.""","""All works available for trial reading—better value than buying.""","""All works available for trial reading - better value than buying.""",0.093,0.262,0.3161,0.3125,0.4505,0.5569,0.6385,0.6889,0.7138,0.8707,0.8705,0.8929
50,Also full of informative reviews.,"The translation of the Japanese sentence ""クチコミ情報も満載です。"" to English is: ""It is also full of reviews.""",It is also packed with user-generated content and reviews.,It is also full of review information.,0.026,0.0446,0.065,0.4827,0.1852,0.5662,0.4024,0.7313,0.791,0.6743,0.7548,0.8745
51,Limited time sale and exclusive plans also available.,"""Time sales and exclusive plans, too.""","""There are also flash sales and exclusive plans.""","""There are also time sales and exclusive plans available.""",0.1122,0.106,0.1153,0.3775,0.4688,0.727,0.5723,0.7179,0.6506,0.7957,0.8721,0.8662
52,"Reserve easily from home, wide range of business hotels, wide variety of plans, earn points by registering to become a member.",Easily book from home - Business hotels are well-equipped - Comprehensive plans - Earn points by registering as a member.,Easily book from home; Business hotels are plentiful; A wide range of plans available; Earn points when you register as a member.,"Easily book from home, well-equipped business hotels, comprehensive plans, earn points by registering as a member.",0.0755,0.0779,0.3236,0.3937,0.3786,0.5642,0.7017,0.7588,0.7656,0.8345,0.8706,0.8724
54,You can buy feed-through terminal blocks at these prices through the Monotaro site.,"""MonotaRO, an online store where you can buy terminal blocks with through-holes at this price.""","""MonotaRO is an online store where you can purchase through-hole terminal blocks.""","MonotaRO, an online store where you can buy terminal blocks with through-holes at this price.",0.0337,0.0332,0.0381,0.4261,0.1981,0.4261,0.6357,0.6362,0.6317,0.7518,0.7664,0.7647
56,Online shopping for feed-through terminal blocks.,Terminal block through-hole online shopping.,Online shopping for terminal blocks with through connections.,Online shopping for terminal block pass-throughs.,0.0411,0.1562,0.1858,0.1695,0.6048,0.625,0.4234,0.5735,0.5781,0.6861,0.785,0.8
59,Budget Hotels at Kii-Gobo Station 【Jalan】Official Site,Budget Hotels Near Kii-Gobo Station - [Jalan] Official Website,Budget Hotels Near Kii-Gobō Station – Jalan Official Website (a Japanese travel agency),Budget Hotels at Kii-Gobo Station [Jalan] Official Website,0.0564,0.0309,0.3928,0.5208,0.3363,0.7014,0.7411,0.5854,0.827,0.9093,0.8173,0.9166
62,Jalan for hotel or ryokan reservations near【Kii-Gobo Station】,"If you're looking to book hotels or inns near Kii-Gobo Station, try Jalan.","If you're looking to book hotels or inns near Kii-Gobo-eki, consider using じゃらん, a popular Japanese travel booking site.","If you're looking to book hotels or inns associated with Kii-Gobo Station, consider using Jalan.",0.0146,0.0083,0.0128,0.2206,0.206,0.2155,0.6584,0.4463,0.6307,0.701,0.7163,0.6847
63,Wide range of Jalan-exclusive and discount plans also available.,Exclusive to Jalan: Affordable plans are also available.,"Exclusive to Jalan, comprehensive and affordable plans are available.",Jalan offers a wide range of exclusive and affordable plans.,0.1122,0.0474,0.0501,0.2871,0.1667,0.4121,0.7486,0.7657,0.7937,0.7931,0.8118,0.8681
64,"Earn points by registering as a member, many accommodations that accept same-day reservation, special coupons available.","Earn points with membership registration, many accommodations available for same-day booking, and great coupons currently being distributed.","Earn points by registering as a member, many lodgings offer same-day booking, and great coupons are currently available.","Earn points with membership registration, numerous accommodations available for same-day booking, and great coupons currently being distributed.",0.0713,0.4381,0.0297,0.3175,0.6627,0.2311,0.7647,0.7838,0.7664,0.8619,0.8945,0.8593
65,Request a free appraisal in 60 seconds with easy input - for market prices of roadside land and land prices,"""Request a free appraisal in just 60 seconds - If you're looking to check the standard land prices and market values.""","""Get a free appraisal in just 60 seconds. Check rosenka (standard land prices) and chika (market values).""","""Request a free appraisal in just 60 seconds - Check the standard land prices and market values here.""",0.1942,0.1347,0.2342,0.5029,0.3222,0.5105,0.65,0.6247,0.6518,0.8378,0.7017,0.8555
66,"We can appraise apartment buildings, land, and detached houses for free.","Free sale assessments are available for apartments, land, and single-family homes.","We offer free sale assessments for condominiums, land, and detached houses.","Free sale assessments are available for apartments, land, and single-family homes.",0.1967,0.3975,0.1967,0.2869,0.4646,0.2869,0.7475,0.7997,0.7475,0.8529,0.887,0.8529
67,You can grasp average market prices by area.,"""You can grasp the price range from the area.""","""You can understand the price level from the area.""","""You can understand the price range from the area.""",0.106,0.0509,0.0509,0.3155,0.1235,0.1235,0.6801,0.684,0.6837,0.8255,0.8153,0.8129
68,Professionals will solve your real estate sales concerns!,"""Real estate sale concerns? Let the professionals solve them!""","""Concerned about selling real estate? Let the professionals handle it.""","""Real estate sale concerns? Let the professionals solve them!""",0.022,0.0302,0.022,0.3897,0.122,0.3897,0.7836,0.7161,0.7836,0.8852,0.8177,0.8852
71,"We offer plan proposals for selling apartment buildings, appraisals, optimal sale, and reliable support for sellers.","Sale and appraisal of apartments, proposal of the optimal sale plan, and reliable support for sellers.","Sale and appraisal of condominiums, proposing the optimal sale plan, and providing reliable support for sellers.","Sale and appraisal of condominiums, proposal of the optimal sale plan, and reliable support for sellers.",0.3403,0.2423,0.3403,0.4203,0.3967,0.4203,0.706,0.7183,0.7084,0.8664,0.8659,0.8728
75,Find a Daikin Customer Center.,Let's find the Daikin Air Conditioner Customer Center.,Let's locate the Customer Center for Daikin Air Conditioners.,Find the Daikin Air Conditioner Customer Center.,0.1122,0.0474,0.1562,0.5955,0.1852,0.607,0.6741,0.6785,0.7323,0.8274,0.7691,0.8669
78,Visitor reservation promotion underway - Urban-style compact three-story model house,Ongoing Visit Reservation Campaign - Urban Narrow Three-Story Model House,Ongoing Visit Reservation Campaign - Urban-Style Compact Three-Story Model House,Ongoing Visit Reservation Campaign - Urban Narrow Three-Story Model House,0.0211,0.0211,0.0211,0.446,0.6918,0.446,0.6177,0.7084,0.6177,0.7342,0.794,0.7342
83,Make full use of IT tools to reduce operation costs and provide services at a reasonable cost,Utilize IT tools to reduce operational costs and achieve the provision of services at a reasonable price.,Make full use of IT tools to reduce costs and provide services at a reasonable price.,Utilize IT tools to reduce operational costs and achieve the provision of services at a reasonable price.,0.3026,0.7625,0.3026,0.7004,0.8865,0.7004,0.8159,0.8403,0.8159,0.9323,0.9482,0.9323
92,Desperately Need Money Now - 【Three Hand-Picked Companies】 Same-Day Small Loans,"""I really need money right now - [Carefully Selected 3 Companies] Same-Day Cash Advance""","""I urgently need money right now: 3 Carefully Selected Companies for Quick Loans""","""I really need money right now - Carefully Selected 3 Companies for Same-Day Cash Advance""",0.0128,0.0123,0.0137,0.3947,0.1674,0.3912,0.6715,0.722,0.6734,0.8809,0.8689,0.8686
98,"For restaurant reservations, use ikyu.com, which also includes restaurant reviews.","If you're making a restaurant reservation, try Ikkyu.com, which also features customer reviews.","If you're making a restaurant reservation, consider using Ikyu.com. It also features customer reviews.","If you're making a restaurant reservation, try Ikyu.com, which also features customer reviews.",0.0779,0.0287,0.0779,0.3064,0.1923,0.433,0.7854,0.7989,0.7905,0.878,0.8953,0.8896
102,Full of information to make your dream wedding a reality/Zexy for wedding ceremonies,Information packed with everything you need for a happy wedding / Wedding preparations with Zexy.,Information full of making a happy wedding come true. Wedding preparations with ZEXY.,Information to achieve a happy wedding and wedding preparations with Zexy.,0.0162,0.0174,0.0222,0.1894,0.3689,0.2906,0.6334,0.6395,0.6075,0.8207,0.8346,0.8169
107,Gold cards are full of benefits!,"""The gold card has nothing but benefits!""","""The gold card is full of benefits!""",The gold card offers only benefits!,0.0446,0.2627,0.0699,0.3074,0.6148,0.4259,0.7061,0.8422,0.7293,0.9043,0.9477,0.928
110,Must see if you're looking for a residential-use home router!,A must-see for those looking for a home router!,"If you're looking for a router for home use, don't miss this.",A must-see for those looking for a home use router!,0.1438,0.249,0.1121,0.4889,0.5011,0.446,0.7892,0.7317,0.8051,0.9014,0.8822,0.9186
112,WiFi that can be used just by plugging in also featured!,"""WiFi that you can use just by placing it!""","""WiFi that is ready to use as soon as you set it down.""","""WiFi that works just by placing it!""",0.0564,0.026,0.0546,0.413,0.1339,0.2411,0.4593,0.5003,0.472,0.8186,0.7891,0.8047
115,Business Hotel Social Kamata - Trip Advisor,Kamata Inn Social - TripAdvisor,Kamata Inn Social – TripAdvisor,Kamata Hotel Social - TripAdvisor,0.0474,0.0428,0.0906,0.2206,0.1471,0.4642,0.5169,0.5347,0.558,0.7707,0.7875,0.8106
119,"For those unsure if short hairstyles will work for them, we offer thorough counseling and work with you to find the right fit.","Even if you're worried about whether a short hairstyle will suit you, we will provide thorough consultation and work together to find a style that suits you.","Even if you're worried about whether short hair will suit you, we will provide thorough consultation and work with you to find a style that suits you.","Even if you're worried about whether a short hairstyle will suit you, we will provide thorough consultation and work together to find a style that complements you.",0.0272,0.1942,0.0272,0.3541,0.4319,0.3541,0.7865,0.7956,0.7776,0.8737,0.8733,0.8781
124,Many LOHACO exclusive designs which fit your daily life are available.,"LOHACO exclusive, numerous designs that blend into everyday life.",Lohaco offers numerous designs that seamlessly fit into daily living.,"LOHACO exclusive, numerous designs that blend seamlessly into everyday life.",0.0458,0.0243,0.0453,0.0926,0.1835,0.0917,0.6955,0.7566,0.7156,0.8525,0.8041,0.8143
125,"Next-day delivery at the earliest, PayPay payments supported.","""Delivery as soon as the next day, PayPay payment supported.""","""Next-day delivery available, with PayPay payment supported.""","Delivery as soon as the next day, PayPay payment supported.",0.0452,0.0624,0.0539,0.3117,0.3235,0.5439,0.7433,0.767,0.7671,0.8472,0.8613,0.8403
127,Tower residences with multiple routes of access to central Tokyo.,A tower residence that provides multi-access to the city center.,A tower residence that fulfills the promise of providing multiple convenient access points to the city center.,A tower residence that provides multiple access to the city center.,0.0224,0.0162,0.0428,0.2556,0.3985,0.4416,0.7198,0.6976,0.7365,0.8142,0.821,0.8461
128,"Located near 'Meguro' Station, with access to 4 train lines.","Born at ""Meguro"" Station, where four lines are available.","Opened at Meguro Station, where four lines are accessible.","Opened at Meguro Station, where four lines are available.",0.0391,0.0395,0.0395,0.101,0.101,0.101,0.6458,0.7111,0.698,0.6125,0.7575,0.7344
129,32-story Tower in the Nomura Real Estate Group x East Japan Railway Company development area 【MEGURO MARC】,"The 32-story tower in the development area of [MEGURO MARC], a collaboration between the Nomura Real Estate Group and the JR East Group.",The 32-story tower located in the MEGURO MARC development area is a collaboration between the Nomura Real Estate Group and the JR East Group.,"The 32-story tower in the development area of [MEGURO MARC], a collaboration between the Nomura Real Estate Group and the JR East Group.",0.171,0.1856,0.171,0.5957,0.571,0.5957,0.6429,0.6415,0.6429,0.8165,0.834,0.8165
132,"Things can change because they continue, delivering the life-changing power of English conversation to you.","""Because it continues, you can change; the power of English conversation that can change your life, to you.""","""You can change because it continues; the power of English conversation that can change your life is for you.""","""The ability to change comes from continuity; the power of English conversation to transform your life is yours.""",0.1669,0.1706,0.1819,0.4902,0.487,0.4395,0.5967,0.6636,0.7199,0.7347,0.7614,0.7532
136,Cloud telephony starting from 200 yen per extension -【Official】Satellite Office,Cloud phone from 200 yen per extension - [Official] Satellite Office,Cloud phone service starting at ¥200 per extension – 【Official】 Satellite Office,Cloud phone from 200 yen per line - Official Satellite Office,0.3146,0.0453,0.2597,0.6658,0.3647,0.5569,0.6456,0.7438,0.5377,0.873,0.8801,0.8402
145,"If you're looking for glovesdepo items, Rakuten Marketplace is one of the largest online shops in Japan.","If you're looking for glovesdepo, check out Rakuten Ichiba, Japan's largest online shopping site.","If you're looking for glovesdepo, visit Rakuten ichiba, one of Japan's largest online shopping sites.","If you're looking for Glovesdepo, check out Rakuten Ichiba, Japan's largest online shopping site.",0.2945,0.3171,0.2315,0.4664,0.5762,0.4664,0.73,0.6942,0.7227,0.81,0.8241,0.7999
148,"If you are looking for a legal advisor in the: Meguro, Ebisu, or Gotanda area, head to the Meguro International Law Office.","If you are looking for a legal advisor in the Meguro, Ebisu, or Gotanda area, Meguro International Law Office.","If you are looking for a legal advisor in the Meguro, Ebisu, or Gotanda area, please consider Meguro International Law Office.","If you are looking for a legal advisor in the Meguro, Ebisu, or Gotanda area, consider Meguro International Law Office.",0.7207,0.7241,0.7231,0.8715,0.8635,0.8675,0.8419,0.8712,0.878,0.8903,0.9009,0.907
151,Our young lawyers respond promptly and proactively.,A young lawyer will respond promptly and with agility.,Young lawyers will respond promptly and with flexibility.,Young lawyers will respond promptly and with agility.,0.1187,0.1349,0.1349,0.6722,0.6817,0.6817,0.7115,0.7174,0.7361,0.8813,0.9023,0.8985
152,Insurance anyone in their 20s to the elderly can apply for - 【Life Insurance】Hanasaku Life Insurance,Insurance available for people in their 20s to seniors - [Life Insurance] Hanasaku Life,Life insurance that can be applied for by people in their 20s to seniors – [Life Insurance] Hanasaku Seimei.,Life insurance from Hanasaku Life is available for people in their 20s to seniors.,0.2015,0.1382,0.1703,0.4445,0.5279,0.4017,0.7083,0.6253,0.6896,0.865,0.7838,0.8417
161,A cosmetic product made from FOOD that makes your skin happy.,"Skincare that delights your bare skin, cosmetics derived from food.","Cosmetics that make your skin happy, born from FOOD (食べもの).","Skincare that your natural skin will love, cosmetics derived from food.",0.0255,0.0967,0.0232,0.1835,0.6169,0.2273,0.5774,0.6364,0.5697,0.7546,0.8747,0.8455
162,Food good for your body is also good for your skin!,"""Eat food that's good for your body and also for your skin!""","""Eat FOOD that's beneficial for both your body and your skin.""",Eat food that's good for your body and also for your skin!,0.3154,0.0418,0.3662,0.6327,0.3382,0.7413,0.8128,0.7771,0.812,0.8928,0.8321,0.9057
164,Don't miss the special sale campaign.,Don't miss out on special sales and campaigns.,Don't miss special sales and events.,Don't miss out on special sales and promotions.,0.1187,0.1562,0.1187,0.6048,0.625,0.6048,0.7923,0.7412,0.775,0.8942,0.9065,0.8957
165,"SKINFOOD, popular in Korea, Korean cosmetic SKINFOOD, SKINFOOD official online shop.","SKINFOOD, a popular skincare and cosmetics brand in South Korea, official online store.","SKINFOOD, a popular Korean cosmetics brand in South Korea, official online store.","SKINFOOD is a popular skincare and cosmetics brand in South Korea, with a well-known official online store.",0.0499,0.055,0.0362,0.4282,0.5687,0.4134,0.686,0.7197,0.6613,0.8099,0.8196,0.7567
166,【Hiroshima】 TOP 3 Hot Yoga spots - No.1 most popular hot yoga studio,[Hiroshima] Top 3 Hot Yoga - The Most Popular Hot Yoga Studio No. 1,[Hiroshima] Top 3 Hot Yoga: The No. 1 Most Popular Hot Yoga Studio,[Hiroshima] Top 3 Hot Yoga - The No. 1 Most Popular Hot Yoga Studio,0.0612,0.0569,0.0612,0.7531,0.6106,0.7531,0.7162,0.7057,0.7073,0.8741,0.8813,0.8848
169,Currently having a special campaign,"""Special promotion ongoing""","""A special offer is currently ongoing.""","""Value campaign ongoing""",0.0,0.024,0.0537,0.0,0.1961,0.1042,0.7704,0.6648,0.5219,0.7831,0.8157,0.6601
175,Vitality supplements containing testofen and super maca.,Vitality Support Supplement - Contains Testofen - Contains Super Maca.,"Vitality Support Supplement, with Testofen and Super MACA.",Vitality Support Supplement - Contains Testofen - Contains Super Maca.,0.0224,0.0278,0.0224,0.5841,0.6817,0.5841,0.758,0.7956,0.758,0.7553,0.7719,0.7553
177,Open House is the best place to find detached homes within the【23 Tokyo Wards】,"If you're looking for a house in the 23 wards of Tokyo, Open House is the place to go.","If you're looking for a house in Tokyo's 23 special wards, Open House is the best choice.","If you're looking for a detached house in the 23 wards of Tokyo, Open House is the place to go.",0.1336,0.1779,0.1317,0.4061,0.3483,0.4606,0.653,0.6608,0.7184,0.7445,0.7099,0.7675
180,Carefully selected detached homes in Oizumigakuen are available now.,We are featuring a carefully selected collection of single-family homes in Ōizumigakuen.,"We are featuring a curated selection of detached houses in Oizumi-Gakuen, a neighborhood in Japan.",We are featuring carefully selected single-family homes in Ōizumigakuen.,0.0413,0.0163,0.0561,0.4796,0.2083,0.4956,0.6837,0.6817,0.6917,0.8194,0.743,0.8346
186,Book accommodations & flights with peace of mind.,"""Book accommodations and flights with peace of mind.""","""book accommodations and flights securely.""",Book accommodations and flights with peace of mind.,0.5193,0.0323,0.6606,0.605,0.1299,0.8648,0.882,0.6998,0.9103,0.9263,0.862,0.955
196,"Browse our hottest hair catalogs, reserve popular salons online, and earn points.",Popular salon hairstyles catalog - Make online reservations and earn points with online booking.,Catalog of Attractive Hairstyles - Book online and earn rewards points with online reservations.,Attractive hairstyle catalog - Make online reservations and earn points with online booking.,0.0743,0.0351,0.0748,0.3656,0.1537,0.2112,0.6316,0.6033,0.6467,0.8207,0.7747,0.8099
198,"Compare reviews, book at the cheapest prices, pay-on-arrival.","Review comparison, lowest price booking, pay on site.","Compare customer reviews, book at the lowest price, pay on site.","Review comparison, lowest price booking, pay at the location.",0.0248,0.299,0.0453,0.0,0.5831,0.2315,0.669,0.7502,0.6393,0.8381,0.8908,0.8367
204,"Search for beauty salons throughout the country, check availability, and book online.","Search for beauty salons nationwide, check availability, and make online reservations.","Find beauty salons nationwide, check their availability, and book online.","Search for beauty salons nationwide, check availability, and make online reservations.",0.436,0.4033,0.436,0.5814,0.5699,0.5814,0.8513,0.863,0.8513,0.9383,0.9395,0.9383
206,I can't find the ideal lighting... - we feature the largest number of brands in Japan.,"""The ideal lighting is not available... - Number of brands handled, one of the largest in Japan.""","""We don't have the ideal lighting... - We handle one of the largest numbers of brands in Japan.""","""There is no ideal lighting... - Number of brands handled, among the largest in Japan.""",0.0783,0.339,0.2111,0.3627,0.735,0.5412,0.5925,0.6323,0.5915,0.7712,0.8059,0.7637
209,"Earn reward points with various cards, we offer Japan's largest selection of 20,000 items.","Various cards, point rewards - Japan's largest selection with 20,000 items.","Various cards, point rewards; one of Japan's largest assortments of 20 000 items.","Various cards, point rewards - one of Japan's largest selections with 20,000 items.",0.2375,0.0865,0.1156,0.6511,0.4118,0.6894,0.6952,0.6803,0.6652,0.8713,0.8382,0.8626
214,"【Official】Virgin Clinic - Full body medical hair removal, 5 treatments 88,000 yen/Kyoto","[Official] Virgin Clinic - Full Body Medical Hair Removal 5 Sessions for 88,000 Yen / Kyoto","[Official] Virgin Clinic - 5 sessions of full-body medical hair removal for ¥88,000 in Kyoto.","[Official] Virgin Clinic - Full Body Medical Hair Removal 5 Sessions for 88,000 JPY / Kyoto",0.0607,0.0704,0.0607,0.6282,0.3626,0.6282,0.7372,0.7365,0.7209,0.8637,0.8648,0.8601
217,No worries with zero additional charges,"""No additional charges, so you can feel at ease.""","""Additional charges are also zero yen, for peace of mind.""","No additional charges, so you can feel at ease.",0.0364,0.017,0.0441,0.0794,0.1562,0.1587,0.7441,0.5538,0.7381,0.7846,0.7568,0.8135
218,Makuharihongo No.1 reviewed chiropractic clinic - Techniques highly praised by numerous experts,Makuhari Hongō's No. 1 Rated Chiropractic Clinic - Techniques Highly Praised by Many Experts,Top-Rated Holistic Therapy Clinic in Makuhari Hongo - Techniques Highly Praised by Many Experts,Makuhari Hongō's No. 1 Rated Bodywork Clinic - Techniques Highly Praised by Many Experts,0.0288,0.0334,0.0288,0.6506,0.5512,0.5671,0.7434,0.6472,0.6786,0.8131,0.7602,0.7784
232,Save your time and money.,"""Let's save both money and time.""","""Let's save money and time.""",Let's save both money and time.,0.0298,0.0339,0.0393,0.1961,0.2,0.1961,0.7436,0.7634,0.7672,0.8618,0.8758,0.8944
234,Special rates at your favorite accommodations.,"""Your favorite accommodation at a special rate.""","""Enjoy special rates at your preferred accommodation.""",Your favorite accommodation at a special rate.,0.0278,0.1122,0.0366,0.2459,0.6506,0.5174,0.7282,0.8248,0.764,0.9056,0.91,0.93
238,Master professional techniques while enjoying delicious coffee you made yourself.,"""Master professional techniques while enjoying a delicious cup you brewed yourself.""","""Savor a delicious cup that you brewed yourself while mastering the skills of a professional.""",Master professional techniques while enjoying a delicious cup you brewed yourself.,0.3256,0.0169,0.3883,0.5569,0.1905,0.7426,0.7584,0.6986,0.7556,0.8837,0.7868,0.8874
244,"For those under 25 years of age or those who have moved within the eligible period, after purchasing an Air Terminal 5, signing a contract, and answering a questionnaire after service has started.","""Those who are 25 years old or younger, or who have moved during the specified period, and have purchased or contracted Air Terminal 5, will receive a survey after activation.""","""Those who are 25 years old or younger, or who have moved house during the specified period, and have purchased or contracted Airターミナル5, will be asked to complete a survey after activation.""","""Those who are 25 years old or younger, or who have moved during the specified period, and have purchased or contracted Air Terminal 5, must respond to a survey after activation.""",0.1286,0.0454,0.1285,0.3581,0.2397,0.3736,0.6355,0.555,0.6456,0.7768,0.7508,0.8066
246,"These three-layer masks feature omega-shaped pleats which open wide to reduce pressure on the nose and mouth, making it easier to breathe.","With its three-layer pleated design, the omega-shaped pleats of the mask expand widely, making it less likely to press against the nose and mouth, thus allowing for easier breathing.","With its three-layer pleated design, the mask's pleats expand widely in an omega shape, reducing pressure on the nose and mouth and allowing for easier breathing.","With its three-layer pleated design, the omega-shaped pleats of the mask expand widely, making it less likely to press against the nose and mouth, thus allowing for easier breathing.",0.165,0.178,0.165,0.4762,0.4278,0.4762,0.7613,0.7805,0.7613,0.8599,0.8611,0.8599
248,Packaged in 2 bags of 10 masks/bag for convenience and ease-of-carrying.,"It is packaged as 10 pieces per bag × 2 bags, making it convenient to carry.",It is packaged as 10 pieces per bag by 2 bags and is designed to be convenient to carry.,"It is packaged as 10 pieces per bag × 2 bags, making it convenient to carry.",0.0272,0.0256,0.0272,0.2174,0.3613,0.2174,0.6793,0.681,0.6793,0.7889,0.7664,0.7889
