index,reference,zero_shot_translation,improved_translation,single_agent_translation,bleu_zero_shot,bleu_improved,bleu_single_agent,meteor_zero_shot,meteor_improved,meteor_single_agent,bleurt_zero_shot,bleurt_improved,bleurt_single_agent,comet_zero_shot,comet_improved,comet_single_agent
25,"24 hour online reservations available, low-priced aligner teeth-straightening, ￥0 adjustments.","24-hour online reservation available, affordable mouthpiece orthodontics, adjustment fee free.","24-hour online reservations available, affordable orthodontic mouthpiece treatment, adjustment fee free.","Available for 24-hour online booking, cost-effective orthodontic appliance, free adjustments.",0.0413,0.1967,0.0413,0.375,0.3713,0.1,0.5366,0.5752,0.6214,0.7786,0.7907,0.756
29,For Real Estate Matters Use the Association - Kitami Real Estate Association,Unified real estate team - Kitami real estate unified team.,Kitami Real Estate Unified Team,The Kitami Real Estate Unified Team,0.0364,0.0656,0.0743,0.4991,0.2606,0.3289,0.4377,0.4301,0.4286,0.6158,0.671,0.6847
31,"Rental apartments, apartment complexes, detached houses.","Rental apartment, condominium, detached house.","Rental apartments, condominiums, and detached houses.",賃貸アパート、マンション、一戸建て。,0.0682,0.2074,0.0,0.1695,0.625,0.0,0.7334,0.7933,0.3116,0.8827,0.9158,0.6928
33,"Local-oriented, up to 30 pictures, also currently offering free property appraisals.","Local area-focused, up to 30 photos, and free property appraisals are currently available.",The local area-focused service offers up to 30 photos and free property appraisals currently available.,"Focused on the local area, with up to 30 photos and free real estate appraisals currently available.",0.2421,0.11,0.0644,0.5022,0.5567,0.3845,0.7831,0.7402,0.7904,0.8729,0.8621,0.8574
36,Unlimited express delivery.,Same-day delivery is available unlimited.,Unlimited use of the expedited delivery service is available.,Same-day delivery (お急ぎ便) is available without limit.,0.0485,0.0278,0.0251,0.0,0.1389,0.0,0.6662,0.6621,0.4725,0.8012,0.8762,0.7746
40,"Earn points, smartphone app available, hundreds of millions of products.","Point accumulation, smartphone app available, over hundreds of millions of product selection.","The service offers a large selection of millions of products, a smartphone app, and the ability to accumulate points.","Earn points, mobile app available, vast product selection.",0.4231,0.1461,0.136,0.6783,0.344,0.3827,0.6441,0.6819,0.7732,0.8853,0.8853,0.9085
45,Now is the time to read that popular manga in one go.,"That popular manga, now is the time to read it all at once.",Now is the perfect time to read that popular comic book all at once.,Now is the time to read that popular manga all at once.,0.2926,0.3389,0.6652,0.656,0.6506,0.7495,0.749,0.7078,0.8319,0.8655,0.8491,0.9195
46,"Free trial available for all titles, better value than buying.","All works available for sample reading, more affordable than buying.","All works available for sample reading, more affordable than purchasing.","All works available for free previews, more cost-effective than purchasing.",0.1109,0.0453,0.0453,0.446,0.3156,0.372,0.6661,0.6738,0.7111,0.8491,0.83,0.8317
50,Also full of informative reviews.,Word-of-mouth information is also full.,The site also has plenty of customer reviews.,The website provides comprehensive word-of-mouth reviews.,0.0485,0.0561,0.0699,0.2,0.283,0.098,0.5129,0.6791,0.6986,0.5865,0.8352,0.7424
51,Limited time sale and exclusive plans also available.,Time sale and limited plans.,Time sales and limited plans are also available.,タイムセールや限定プランもあります。,0.0623,0.1349,0.0,0.487,0.7934,0.0,0.6222,0.6758,0.3803,0.734,0.8826,0.8245
52,"Reserve easily from home, wide range of business hotels, wide variety of plans, earn points by registering to become a member.","Easy reservation at home, well-equipped business hotels, abundant plans, and accumulate points with membership registration.","Easily reserve from home, with well-equipped and abundant business-oriented hotels, comprehensive plans, and the ability to accumulate points through membership registration.","Easily book business hotel stays from home, with a wide selection of plans and the ability to earn points through membership registration.",0.0575,0.0602,0.0632,0.209,0.2533,0.3526,0.74,0.7546,0.7845,0.7965,0.8091,0.8777
54,You can buy feed-through terminal blocks at these prices through the Monotaro site.,Terminal block through-hole can be purchased at the online store Monotaro at this price.,You can purchase a terminal block with a through-hole at the online store Monotaro at this price.,You can purchase a terminal block with through-hole at the online store Monotaro for this price.,0.0198,0.0312,0.0333,0.3255,0.4272,0.4304,0.6502,0.6793,0.6719,0.7807,0.8065,0.8176
56,Online shopping for feed-through terminal blocks.,Terminal block through-type online shopping.,Terminal block for through-wiring available for online purchase.,Through-type terminal blocks available for online purchase.,0.0411,0.0285,0.0699,0.1695,0.2419,0.2459,0.4557,0.5275,0.5847,0.6668,0.7686,0.8037
59,Budget Hotels at Kii-Gobo Station 【Jalan】Official Site,Affordable hotels near Kii-Gobo Station - Official site of [Jalan],Affordable hotels near Kii-Gobo Station - Official website of Jalan,Affordable hotels near Kii-Gobo Station - From the official Jalan website,0.036,0.0446,0.0399,0.4324,0.3501,0.3453,0.6643,0.6515,0.6673,0.8464,0.7996,0.8028
62,Jalan for hotel or ryokan reservations near【Kii-Gobo Station】,"Here is the translation:

Book hotels and inns near Kii-Gobo Station on Jalan.",Book hotels and inns at Kii-Gōbō Station on Jalan.,Book your hotel or inn near Kii-Gobo Station on the Jalan website.,0.0132,0.0211,0.0364,0.0588,0.0617,0.3042,0.5049,0.563,0.5614,0.6811,0.765,0.7838
63,Wide range of Jalan-exclusive and discount plans also available.,Abundant discounted plans exclusive to Jalan.,Jalan offers a wide range of exclusive discounted plans.,Abundant exclusive discounted plans available on the jalan travel website.,0.0256,0.0531,0.0248,0.2155,0.4167,0.206,0.6827,0.7484,0.6888,0.78,0.8801,0.8042
64,"Earn points by registering as a member, many accommodations that accept same-day reservation, special coupons available.","Many accommodations where you can accumulate points by registering as a member, accept same-day reservations, and distribute discount coupons.","Members can earn points, many accommodations accept same-day reservations, and discount coupons are currently being distributed.",宿泊施設で会員登録するとポイントが貯まり、当日予約も可能。割引クーポンも配布中。,0.3191,0.0734,0.0,0.6052,0.3194,0.0,0.7626,0.7459,0.4225,0.8685,0.8809,0.7111
65,Request a free appraisal in 60 seconds with easy input - for market prices of roadside land and land prices,"Easy input, free appraisal request in 60 seconds - If you want to check the market price and land price.","To check the market price and land price, request a free appraisal in just 60 seconds.",Easy 60-second request for a free property appraisal - Check the market price.,0.0691,0.1674,0.0259,0.5111,0.4783,0.2757,0.608,0.6466,0.5447,0.8229,0.8411,0.8007
66,"We can appraise apartment buildings, land, and detached houses for free.","Possible free real estate appraisal for condominiums, land, and detached houses.","Free real estate appraisals are available for condominiums, land, and detached houses.","Free real estate appraisal available for マンション, land, and 一戸建て.",0.3872,0.3479,0.1982,0.4055,0.4018,0.2896,0.7627,0.7897,0.5548,0.8553,0.8825,0.8324
67,You can grasp average market prices by area.,You can grasp the price range from the area.,You can understand the price range in the area.,You can understand the prevailing price levels in the area.,0.1313,0.0631,0.0564,0.5506,0.3897,0.3849,0.6941,0.7198,0.73,0.8554,0.832,0.8213
68,Professionals will solve your real estate sales concerns!,Real estate sale worries are solved by professionals!,Real estate sale concerns are resolved by experts.,Professionals can resolve your real estate sale concerns.,0.0285,0.0285,0.1349,0.4688,0.3681,0.605,0.7857,0.7789,0.8503,0.9047,0.8799,0.9408
71,"We offer plan proposals for selling apartment buildings, appraisals, optimal sale, and reliable support for sellers.","Proposal of the optimal sales plan, assessment, and sale of the condominium. Providing peace of mind support to the seller.","We propose the optimal sales plan, assessment, and sale of your apartment. We also provide peace of mind support to you as the seller.","Proposal for the optimal plan to sell your apartment, including assessment and peace of mind support for the seller.",0.0237,0.0212,0.0281,0.122,0.1488,0.3873,0.6534,0.7105,0.6643,0.8049,0.8358,0.8109
75,Find a Daikin Customer Center.,Daikin air conditioning customer center.,Let's find the Daikin air conditioning customer center.,Let's find the Daikin Air Conditioning Service Center.,0.0485,0.0251,0.0494,0.5111,0.5955,0.283,0.6034,0.6552,0.6181,0.8136,0.8282,0.7591
78,Visitor reservation promotion underway - Urban-style compact three-story model house,Come and visit campaign in progress - Urban compact 3-story model home.,Reservation campaign for visiting the urban compact 3-story model home is currently in progress.,Visit our new 3-story urban compact model home - ongoing reservation campaign.,0.0204,0.0157,0.022,0.1471,0.1442,0.1961,0.5725,0.6078,0.6321,0.7652,0.8387,0.8716
83,Make full use of IT tools to reduce operation costs and provide services at a reasonable cost,Utilizing IT tools to reduce business costs and realize the provision of services at reasonable prices.,"Utilizing IT tools, the company has reduced business costs, enabling the provision of services at reasonable prices.",Utilizing IT tools to reduce operational costs and provide services at reasonable prices.,0.2046,0.0331,0.369,0.5547,0.2508,0.6607,0.7645,0.718,0.825,0.9149,0.8666,0.9409
92,Desperately Need Money Now - 【Three Hand-Picked Companies】 Same-Day Small Loans,I need money urgently right now.,I urgently need money right now - 【Carefully Selected 3 Companies】Same-Day Cash Advance,I urgently require a cash advance right now.,0.0,0.0155,0.0,0.1786,0.3348,0.0,0.5217,0.6714,0.5354,0.6377,0.8853,0.6534
98,"For restaurant reservations, use ikyu.com, which also includes restaurant reviews.","Restaurant reservations can be made on Ikyu.com, which also features reviews of the establishments.","For restaurant reservations, use Ikyu.com, which also features reviews of the establishments.","Restaurant reservations can be made on 一休.com, which also features reviews of the establishments.",0.0724,0.3479,0.0724,0.3606,0.6593,0.2457,0.8036,0.8334,0.7237,0.8836,0.9241,0.826
102,Full of information to make your dream wedding a reality/Zexy for wedding ceremonies,"""Information-packed for realizing a happy wedding / Prepare for your wedding with Zexy.""","""Zexy, the wedding planning magazine, provides comprehensive information to help you realize your dream wedding.""","""Information-packed to help you plan a happy wedding. Zexy is your go-to resource for wedding preparation.""",0.0184,0.0627,0.0268,0.1923,0.3379,0.2797,0.5858,0.6279,0.672,0.8429,0.8671,0.8103
107,Gold cards are full of benefits!,Gold card is all benefits!,Having a gold card offers numerous benefits.,The gold card offers numerous benefits.,0.0809,0.0278,0.033,0.4331,0.3074,0.3125,0.7673,0.7688,0.7691,0.908,0.9224,0.9236
110,Must see if you're looking for a residential-use home router!,Home router for home use must-see!,Home routers for home use - a must-see recommendation!,Home Routers for Home Use: A Must-Have,0.0229,0.0244,0.0168,0.1042,0.1515,0.1546,0.556,0.5694,0.5573,0.8124,0.8548,0.7294
112,WiFi that can be used just by plugging in also featured!,Plug-and-play WiFi too!,WiFi that can be used just by placing it is also available!,置くだけで使える無線LAN,0.0129,0.5009,0.0,0.049,0.7151,0.0,0.5656,0.5865,0.3215,0.6838,0.8695,0.6313
115,Business Hotel Social Kamata - Trip Advisor,Kamata Inn Social - TripAdvisor,Kamata Inn - TripAdvisor,Kamata Social Hotel – TripAdvisor,0.0474,0.0451,0.0474,0.2206,0.1493,0.2206,0.5169,0.4056,0.6366,0.7707,0.7235,0.8564
119,"For those unsure if short hairstyles will work for them, we offer thorough counseling and work with you to find the right fit.","A person who is unsure if a short hairstyle would suit them can receive thorough counseling, and we will consider together what style would be most suitable.",The hairstylist will work with you to see if a short haircut would suit you well.,"Even if you're unsure whether a short hairstyle would suit you, we'll provide thorough consultation to help determine the most flattering style together.",0.0249,0.1143,0.0221,0.2698,0.3086,0.2085,0.784,0.6401,0.7281,0.8629,0.7808,0.8198
124,Many LOHACO exclusive designs which fit your daily life are available.,"Rohaco limited, many designs that fit into your lifestyle.","Exclusive to Lohaco, many designs that fit into your lifestyle.",LOHACO offers a wide variety of designs that harmonize well with daily life.,0.0243,0.0241,0.038,0.1852,0.2294,0.1339,0.6359,0.7217,0.7191,0.7712,0.7942,0.8567
125,"Next-day delivery at the earliest, PayPay payments supported.","Next-day delivery, PayPay payment accepted.","Next-day delivery available, PayPay payment accepted.","Next-day delivery, PayPay payment accepted.",0.068,0.0684,0.068,0.3319,0.4808,0.3319,0.7781,0.7929,0.7781,0.8651,0.8698,0.8651
127,Tower residences with multiple routes of access to central Tokyo.,A tower residence that provides multi-access to the city center.,A tower residence that offers convenient access to the city center.,A high-rise apartment building that offers multiple convenient access points to the city center.,0.0224,0.0399,0.0187,0.2556,0.3713,0.1442,0.7198,0.7312,0.7029,0.8142,0.8335,0.8322
128,"Located near 'Meguro' Station, with access to 4 train lines.","Meguro Station, where you can use 4 train lines, has been born.","Meguro Station, where you can use 4 train lines, has opened.","Meguro Station, which offers access to 4 train lines, has been opened.",0.0861,0.093,0.2926,0.2505,0.253,0.4745,0.5561,0.6635,0.6957,0.7364,0.7805,0.8065
129,32-story Tower in the Nomura Real Estate Group x East Japan Railway Company development area 【MEGURO MARC】,"Meguro Marc, a 32-story tower developed by the Nomura Real Estate Group and the JR East Japan Group.",Meguro Marc is a 32-story tower developed by the Nomura Real Estate Group and the JR East Japan Group in the development area.,The Nomura Real Estate Group and JR East Japan Group have developed a 32-story tower in the MEGURO MARC area.,0.2131,0.2063,0.1624,0.5482,0.5743,0.606,0.654,0.6524,0.6731,0.7959,0.7935,0.8374
132,"Things can change because they continue, delivering the life-changing power of English conversation to you.","Your life can change through the power of English conversation, because it continues to evolve.",Your life can change through the power of English conversation as it continues to evolve.,"Your life can be transformed through the power of English conversation, as it continues to evolve.",0.1981,0.1893,0.1647,0.4682,0.5,0.3385,0.7201,0.7447,0.7384,0.8208,0.8105,0.8239
136,Cloud telephony starting from 200 yen per extension -【Official】Satellite Office,Cloud phone from 200 yen per extension.,Cloud phone starting at 200 yen per single extension.,Cloud-based phone service starting from ¥200 per user.,0.4214,0.1242,0.0502,0.499,0.4505,0.2608,0.4627,0.5102,0.5445,0.7988,0.8084,0.784
145,"If you're looking for glovesdepo items, Rakuten Marketplace is one of the largest online shops in Japan.","Rakuten Ichiba, Japan's largest online shopping mall, is where you can find glovesdepot.","If you're looking for glovesdepot, you can find it on Rakuten Ichiba, Japan's largest online shopping marketplace.","Glovesdepo can be found on Rakuten Marketplace, Japan's largest online shopping platform.",0.0288,0.2082,0.0326,0.2687,0.4582,0.2703,0.6895,0.7241,0.7728,0.7509,0.8065,0.7738
148,"If you are looking for a legal advisor in the: Meguro, Ebisu, or Gotanda area, head to the Meguro International Law Office.","Meguro, Ebisu, and Gotanda area, if you are looking for a legal counsel, Meguro International Law Office.","If you are looking for a legal counsel in the Meguro, Ebisu, and Gotanda area, consider Meguro International Law Office.","Meguro International Law Office provides legal counsel services in the Meguro, Ebisu, and Gotanda area.",0.4316,0.5057,0.2076,0.6911,0.7627,0.3599,0.7166,0.8358,0.7686,0.8058,0.8849,0.8166
151,Our young lawyers respond promptly and proactively.,The young lawyer will respond quickly and nimbly.,Young lawyers will respond quickly and nimbly.,The young lawyer will respond promptly and agilely.,0.0339,0.0393,0.1349,0.4445,0.4509,0.6817,0.738,0.7683,0.7281,0.8051,0.855,0.9092
152,Insurance anyone in their 20s to the elderly can apply for - 【Life Insurance】Hanasaku Life Insurance,Life insurance for ages 20s to seniors - Hanasaku Life.,Life insurance that can be applied for from people in their 20s to seniors - [Hanasaku Life].,Life insurance available for ages 20 to seniors - Hanasaku Life.,0.0318,0.1425,0.0173,0.3319,0.5823,0.3297,0.6151,0.7121,0.6601,0.7911,0.829,0.8091
161,A cosmetic product made from FOOD that makes your skin happy.,Skincare products born from FOOD.,Skin-friendly cosmetics born from edible ingredients.,Skincare products born from natural food ingredients.,0.0351,0.0192,0.02,0.0962,0.0952,0.1415,0.6061,0.5478,0.5921,0.8221,0.7751,0.7943
162,Food good for your body is also good for your skin!,"Eat foods that are good for your body, and also for your skin!",Eating foods that are good for your body can also benefit your skin!,Eat foods that are good for your body and skin!,0.3389,0.2658,0.2548,0.6271,0.6271,0.4689,0.7943,0.8216,0.7747,0.8979,0.9068,0.8857
164,Don't miss the special sale campaign.,Don't miss out on special sales and campaigns.,Don't miss out on our special sales and promotions.,¥特別セールやキャンペーンをお見逃しなく。,0.1187,0.106,0.0,0.6048,0.5952,0.0,0.7923,0.7661,0.3281,0.8942,0.8984,0.7209
165,"SKINFOOD, popular in Korea, Korean cosmetic SKINFOOD, SKINFOOD official online shop.",Skinfood - popular Korean skincare brand. Official Skinfood online store.,Skinfood - a popular Korean skincare brand. Official Skinfood online store.,Skinfood - a popular Korean skincare brand. Official Skinfood online store.,0.0188,0.0188,0.0188,0.2294,0.2273,0.2273,0.5057,0.5075,0.5075,0.7262,0.7293,0.7293
166,【Hiroshima】 TOP 3 Hot Yoga spots - No.1 most popular hot yoga studio,"Here is the translation from Japanese to English:

【Hiroshima】Top 3 Hot Yoga - The most popular No. 1 Hot Yoga studio","Here is the improved translation:

【Hiroshima】Top 3 Hot Yoga Studios",【Hiroshima】Top 3 Hot Yoga Studios - The Most Popular Hot Yoga Studio.,0.0561,0.0778,0.0826,0.6235,0.2953,0.667,0.6334,0.5195,0.7431,0.7812,0.7745,0.8921
169,Currently having a special campaign,Limited-time special offer.,During a promotional campaign.,お得なキャンペーン中,0.0626,0.0639,0.0,0.1042,0.102,0.0,0.545,0.6303,0.4868,0.6945,0.6811,0.7839
175,Vitality supplements containing testofen and super maca.,Vitality support supplement - containing TestoFen - containing Super Maca.,Vitality-boosting supplement containing TestoFen and Super Maca.,Vitality support supplement containing testosterone booster and maca.,0.0248,0.0366,0.0638,0.5841,0.8552,0.5239,0.7391,0.8296,0.6891,0.8259,0.8556,0.8711
177,Open House is the best place to find detached homes within the【23 Tokyo Wards】,Open House for detached house search in the 23 wards of Tokyo.,Open House for searching detached houses in the 23 wards of Tokyo.,Open House for single-family home search in the 【Tokyo 23 Wards】.,0.0383,0.0383,0.0363,0.1449,0.2287,0.2304,0.6944,0.7178,0.6286,0.6508,0.7529,0.7796
180,Carefully selected detached homes in Oizumigakuen are available now.,Detached houses in Oizumi Gakuen are now available for viewing.,Carefully selected detached houses in Oizumi Gakuen are now on display.,Carefully selected detached houses in Oizumi Gakuen are now available.,0.0282,0.1042,0.1192,0.2198,0.4848,0.4901,0.6438,0.7322,0.7861,0.8277,0.8676,0.9086
186,Book accommodations & flights with peace of mind.,Secure reservation for accommodation and airline tickets.,Secure reservations for accommodation and airline tickets.,Book lodging and airline tickets with confidence.,0.0245,0.0245,0.0323,0.0633,0.0633,0.1266,0.6793,0.7024,0.8117,0.7686,0.7875,0.8374
196,"Browse our hottest hair catalogs, reserve popular salons online, and earn points.","Hair catalog for attracting attention, popular salon online reservation, get points by online reservation.","Hair catalog for popular salons, make online reservations to earn points.","Hairstyle Catalog for Attracting Attention, Reserve Popular Salons Online.",0.018,0.0902,0.0156,0.2095,0.3126,0.2517,0.5598,0.7105,0.4847,0.6544,0.8001,0.6387
198,"Compare reviews, book at the cheapest prices, pay-on-arrival.","Word-for-word translation:
Word-of-mouth comparison, lowest price reservation, on-site payment.","Comparing reviews, booking at the lowest price, and paying on-site.","Customer reviews comparison, best price booking, on-site payment.",0.0204,0.0514,0.0267,0.0,0.6073,0.0,0.5909,0.7579,0.6847,0.6918,0.8439,0.8161
204,"Search for beauty salons throughout the country, check availability, and book online.","Beauty salon search, vacancy check, and online booking across Japan.","Beauty salons nationwide can be searched, availability checked, and booked online.","Search for beauty salons, check availability, and book appointments online nationwide.",0.0371,0.0457,0.5181,0.2675,0.4067,0.5814,0.7197,0.8008,0.8364,0.8518,0.8915,0.9373
206,I can't find the ideal lighting... - we feature the largest number of brands in Japan.,"""There is no ideal lighting...""","""There is no ideal lighting... - the largest number of brands handled in Japan.""",The brand offers Japan's largest selection of lighting products.,0.0348,0.3816,0.0136,0.0336,0.5591,0.1307,0.4474,0.5685,0.5806,0.6771,0.7639,0.7214
209,"Earn reward points with various cards, we offer Japan's largest selection of 20,000 items.","A wide variety of cards, point redemption, and Japan's largest selection of over 20,000 items.","A wide variety of cards, with point redemption options, and Japan's largest selection of over 20,000 items.","A wide selection of cards with Japan's largest point redemption program, featuring over 20,000 products.",0.2785,0.2559,0.0799,0.5319,0.5754,0.406,0.7289,0.7424,0.6954,0.8425,0.8579,0.869
214,"【Official】Virgin Clinic - Full body medical hair removal, 5 treatments 88,000 yen/Kyoto","Virgin Clinic - Full-body medical hair removal 5 times 88,000 yen / Kyoto","Virgin Clinic - Full-body medical hair removal, 5 sessions for ¥88,000 / Kyoto","クリニック - 全身医療脱毛5回 ¥88,000 / 京都",0.1052,0.3058,0.0127,0.4224,0.4867,0.0439,0.6585,0.7111,0.2955,0.8473,0.8633,0.7121
217,No worries with zero additional charges,"Additional fees are also 0 yen, so you can rest assured.","There are no additional fees, it's completely free.","Additional fees are also free, so you can be at ease.",0.0,0.0189,0.0,0.1538,0.1613,0.0769,0.6054,0.694,0.5725,0.7563,0.8294,0.7424
218,Makuharihongo No.1 reviewed chiropractic clinic - Techniques highly praised by numerous experts,"Makuhari Honcho, the No. 1 osteopathic clinic in word-of-mouth - Highly praised techniques by many experts.","Makuhari Honcho, the No. 1 chiropractic clinic by word-of-mouth - Techniques highly praised by many experts.",幕張本郷の人気No.1整骨院 - 専門家から高い評価を受けている技術,0.0152,0.2254,0.0057,0.3439,0.5579,0.045,0.6112,0.6579,0.3292,0.7815,0.8081,0.6679
232,Save your time and money.,Save on both cost and time.,Save time and money.,Cut costs and save time.,0.0467,0.5789,0.0537,0.1961,0.7653,0.2,0.748,0.8849,0.7296,0.869,0.9664,0.8643
234,Special rates at your favorite accommodations.,Your favorite accommodation at a special rate.,Your favorite accommodation at a special rate.,your favorite accommodation at a special price.,0.0366,0.0366,0.0699,0.5174,0.5174,0.5174,0.764,0.764,0.7173,0.93,0.93,0.9121
238,Master professional techniques while enjoying delicious coffee you made yourself.,Savor a delicious cup that you brewed yourself while mastering the techniques of a professional.,"While savoring a delicious cup you brewed yourself, master the techniques of a professional.",Enjoy a delicious cup you prepared yourself while learning the techniques of a professional.,0.02,0.0193,0.0215,0.2857,0.41,0.2404,0.7021,0.6795,0.6825,0.8101,0.8041,0.8234
244,"For those under 25 years of age or those who have moved within the eligible period, after purchasing an Air Terminal 5, signing a contract, and answering a questionnaire after service has started.","25 years old or younger, or those who have moved within the target period, who have purchased or contracted for AirTerminal 5 and responded to the questionnaire after activation.","Those 25 years old or younger who have moved within the target period and have purchased or contracted for AirTerminal 5, and responded to the questionnaire after activation.","AirTerminal 5 customers 25 years old or younger, or those who have moved within the target period, who purchased the product and responded to the survey after activation.",0.2087,0.144,0.1988,0.4298,0.4061,0.3735,0.6287,0.6394,0.5817,0.8048,0.8049,0.766
246,"These three-layer masks feature omega-shaped pleats which open wide to reduce pressure on the nose and mouth, making it easier to breathe.","The pleated mask is of a 3-layer type, with large, wide omega-shaped pleats that do not easily press against the nose or mouth, making it easy to breathe.","The pleated mask is a 3-layer type, with large, wide pleats that spread out comfortably, not pressing against the nose or mouth, making it easy to breathe.","The 3-layer pleated mask features large, omega-shaped pleats that do not easily press against the nose or mouth, making it comfortable to breathe.",0.1307,0.1231,0.1593,0.4472,0.4259,0.4744,0.7055,0.7109,0.7072,0.8605,0.8462,0.8644
248,Packaged in 2 bags of 10 masks/bag for convenience and ease-of-carrying.,"20 sheets per package, packaged for easy portability.","The package contains 10 sheets/pages per bag, with 2 bags total, making it convenient to carry.",Packaged in 2 bags of 10 sheets each for easy portability.,0.0205,0.0256,0.4483,0.0935,0.3235,0.6289,0.5426,0.5664,0.6202,0.7695,0.7604,0.8513
249,"The strap has a flat and 6mm wide, making it easy on the ears and reducing common ear pain.","The rubber band has a flat rubber shape of 6mm, so it is soft on the ears and can reduce the common ear pain.",The 6mm flat elastic material is soft on the ears and can help alleviate common ear discomfort.,"The 6mm flat rubber band has a soft, gentle feel on the ears and helps alleviate common ear discomfort.",0.2405,0.1538,0.1734,0.589,0.4377,0.532,0.7143,0.689,0.7289,0.8528,0.86,0.8397
263,*The image shown for the A4 5-pack uses the new package design.,The image shown is of the new package of the product that comes in a set of 5 A4-sized items.,The image shown is of the new packaging for the product that comes in a set of 5 A4-sized items.,The image shown is of the new package for the product that comes in a set of 5 A4 items.,0.0817,0.0687,0.0913,0.3993,0.4472,0.4932,0.6545,0.6898,0.6659,0.8279,0.8421,0.8428
264,The paper and specifications are identical to those of the previous design.,The paper and specifications of the previous packaged product are the same.,The paper and specifications are the same as the previous packaged product.,The paper and specifications are the same as the previous packaged product.,0.2978,0.3439,0.3439,0.526,0.5604,0.5604,0.6867,0.7231,0.7231,0.8335,0.8398,0.8398
